"종목","기호","거래소","부문","산업"
"Dongfeng Automobile","600006","상하이","경기 민감형 소비재","자동차와 트럭 제조"
"Cnhtc Truck A","000951","심천","경기 민감형 소비재","자동차와 트럭 제조"
"Gd Chj Industry A","002345","심천","경기 민감형 소비재","보석 및 은제품"
"Markor International","600337","상하이","경기 민감형 소비재","가구와 비품"
"Shanghai Haixin B","900917","상하이","경기 민감형 소비재","의복/액세서리"
"Shanghai Haixin A","600851","상하이","경기 민감형 소비재","의복/액세서리"
"Zhejiang Jingu A","002488","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Yotrio Group A","002489","심천","경기 민감형 소비재","가구와 비품"
"Shanghai Conant Optics","300061","심천","경기 민감형 소비재","여가용 제품"
"Vanward New Elec A","002543","심천","경기 민감형 소비재","가전과 공구"
"Guangdong Xinbao A","002705","심천","경기 민감형 소비재","가전과 공구"
"FAWER Automotive","200030","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Fawer Automotive A","000030","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Guangzhou Holike Creative Home","603898","상하이","경기 민감형 소비재","가구와 비품"
"Beijing Wkw Automotive Parts A","002662","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Qibu","603557","상하이","경기 민감형 소비재","의복/액세서리"
"Giti Tire Corp","600182","상하이","경기 민감형 소비재","타이어"
"Ningbo Yak Tech A","002036","심천","경기 민감형 소비재","직물 – 비의류"
"Sinoer A","002485","심천","경기 민감형 소비재","의복/액세서리"
"Joeone","601566","상하이","경기 민감형 소비재","의복/액세서리"
"Lu Thai Textile","200726","심천","경기 민감형 소비재","의복/액세서리"
"Luthai Textile A","000726","심천","경기 민감형 소비재","의복/액세서리"
"Kuangda Technology","002516","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Ningbo Jifeng Auto Parts","603997","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Sailun Jinyu","601058","상하이","경기 민감형 소비재","타이어"
"Mianyang Fulin Machining","300432","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Ningbo Shuanglin Auto Parts","300100","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Lifan Industry","601777","상하이","경기 민감형 소비재","자동차와 트럭 제조"
"Bros Eastern","601339","상하이","경기 민감형 소비재","의복/액세서리"
"Anhui Korrun","300577","심천","경기 민감형 소비재","의복/액세서리"
"Zhejiang Taihua New Material","603055","상하이","경기 민감형 소비재","의복/액세서리"
"Xiamen King Long Motor","600686","상하이","경기 민감형 소비재","자동차와 트럭 제조"
"Dongguan Kingsun Optoelectron A","002638","심천","경기 민감형 소비재","가구와 비품"
"Elec-Tech Int A","002005","심천","경기 민감형 소비재","가전과 공구"
"Stellar Megaunion A","000892","심천","경기 민감형 소비재","여가용 제품"
"Zhejiang Hangmin","600987","상하이","경기 민감형 소비재","직물 – 비의류"
"Qianjiang Moto A","000913","심천","경기 민감형 소비재","여가용 제품"
"Metersbonwe A","002269","심천","경기 민감형 소비재","의복/액세서리"
"Fujian Longma Environment","603686","상하이","경기 민감형 소비재","자동차와 트럭 제조"
"Xilinmen Furniture","603008","상하이","경기 민감형 소비재","가구와 비품"
"Shandong Binzhou Bohai Piston","600960","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Lingyun Ind","600480","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Maiya A","000971","심천","경기 민감형 소비재","의복/액세서리"
"Septwolves Ind A","002029","심천","경기 민감형 소비재","의복/액세서리"
"Sichuan Jiuzhou A","000801","심천","경기 민감형 소비재","오디오와 비디오 장비"
"Tronly New Electronic Materials","300429","심천","경기 민감형 소비재","사진술"
"Changchun Faway Auto","600742","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Shanghai La Chapelle Fashion","603157","상하이","경기 민감형 소비재","의복/액세서리"
"Guangdong Macro Co Ltd","000533","심천","경기 민감형 소비재","가전과 공구"
"Ningbo Gaofa Auto Control","603788","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Zhejiang Weixing A","002003","심천","경기 민감형 소비재","의복/액세서리"
"Anzheng Fashion","603839","상하이","경기 민감형 소비재","의복/액세서리"
"Haima Automobile A","000572","심천","경기 민감형 소비재","자동차와 트럭 제조"
"Faw Xiali A","000927","심천","경기 민감형 소비재","자동차와 트럭 제조"
"Shanghai Jiao Yun","600676","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Shenzhen Sea Star Technology","002137","심천","경기 민감형 소비재","가구와 비품"
"Jiangsu General Science Tech","601500","상하이","경기 민감형 소비재","타이어"
"Huawei Toys A","002502","심천","경기 민감형 소비재","여가용 제품"
"Jinxi Axle","600495","상하이","경기 민감형 소비재","자동차와 트럭 제조"
"Shanghai Pret Composites","002324","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Jiangsu Xinquan Automotive","603179","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Innovation Medical","002173","심천","경기 민감형 소비재","보석 및 은제품"
"Jiangsu Pacific Precision","300258","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Jiangsu Lugang Culture","601599","상하이","경기 민감형 소비재","의복/액세서리"
"Kaiser China Holding Co Ltd","002425","심천","경기 민감형 소비재","의복/액세서리"
"BIEM.L .FDLKK Garment","002832","심천","경기 민감형 소비재","의복/액세서리"
"Xuzhou Handler Special Vehicle","300201","심천","경기 민감형 소비재","자동차와 트럭 제조"
"Chongqing QinAn","603758","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Zhejiang Tiancheng Controls","603085","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Zhejiang Red Dragonfly Footwear","603116","상하이","경기 민감형 소비재","신발"
"Greatoo A","002031","심천","경기 민감형 소비재","타이어"
"Fujian SBS Zipper Science Tech","002098","심천","경기 민감형 소비재","의복/액세서리"
"Yindu Kitchen","603277","상하이","경기 민감형 소비재","가전과 공구"
"Shenzhen Soling Industrial Co Ltd","002766","심천","경기 민감형 소비재","오디오와 비디오 장비"
"Hunan Tyen Machinery B","900946","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Hunan Tyen Machinery A","600698","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Chant Group A","002616","심천","경기 민감형 소비재","가전과 공구"
"Shanghai Lansheng","600826","상하이","경기 민감형 소비재","의복/액세서리"
"Shenyang Jinbei Auto","600609","상하이","경기 민감형 소비재","자동차와 트럭 제조"
"Asia Pacific A","002284","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Tianrun Crank A","002283","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Healthcare","603313","상하이","경기 민감형 소비재","가구와 비품"
"Jilin Fibre A","000420","심천","경기 민감형 소비재","의복/액세서리"
"Zhong Tong Bus A","000957","심천","경기 민감형 소비재","자동차와 트럭 제조"
"Bosun Tools A","002282","심천","경기 민감형 소비재","가전과 공구"
"Zhejiang Xinao Textiles","603889","상하이","경기 민감형 소비재","의복/액세서리"
"Ningxia Zhongyin Cashmere","000982","심천","경기 민감형 소비재","의복/액세서리"
"Huada Automotive","603358","상하이","경기 민감형 소비재","자동차와 트럭 제조"
"Guangdong Tonze Electric","002759","심천","경기 민감형 소비재","가전과 공구"
"Zynp A","002448","심천","경기 민감형 소비재","자동차와 트럭 부품"
"HMT Xiamen Tech Materials","603306","상하이","경기 민감형 소비재","직물 – 비의류"
"Zhejiang Aokang Shoes","603001","상하이","경기 민감형 소비재","신발"
"Liaoning SG Auto","600303","상하이","경기 민감형 소비재","자동차와 트럭 제조"
"Edifier Technology Co Ltd","002351","심천","경기 민감형 소비재","오디오와 비디오 장비"
"Orient International","600278","상하이","경기 민감형 소비재","의복/액세서리"
"Vie Science Tech A","002590","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Shanghai Baolong Auto","603197","상하이","경기 민감형 소비재","자동차와 트럭 부품"
"Tj Motor Dies A","002510","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Zhejiang Henglin Chair A","603661","상하이","경기 민감형 소비재","가구와 비품"
"Yunnan Xiyi Ind A","002265","심천","경기 민감형 소비재","자동차와 트럭 부품"
"Zhejiang Zhaofeng Mechanical","300695","심천","경기 민감형 소비재","자동차와 트럭 부품"
