"종목","기호","거래소","부문","산업"
"PetroChina A","601857","상하이","에너지","석유와 가스 운용"
"China Shenhua Energy H","601088","상하이","에너지","석탄"
"Shaanxi Coal Industry","601225","상하이","에너지","석탄"
"Sinopec Shanghai A","600688","상하이","에너지","석유와 가스 운용"
"China Coal Energy","601898","상하이","에너지","석탄"
"Yanzhou Coal Mining","600188","상하이","에너지","석탄"
"China Oilfield A","601808","상하이","에너지","유정 서비스와 장비"
"Wintime Energy","600157","상하이","에너지","석탄"
"Shanxi LuAn Energy","601699","상하이","에너지","석탄"
"Offshore Oil Engineering","600583","상하이","에너지","유정 서비스와 장비"
"Xishan Coal A","000983","심천","에너지","석탄"
"Guanghui Energy","600256","상하이","에너지","석탄"
"Kaidi Electric A","000939","심천","에너지","석탄"
"Oriental Energy A","002221","심천","에너지","석유와 가스 운용"
"Jizhong Energy A","000937","심천","에너지","석탄"
"Yangquan Coal","600348","상하이","에너지","석탄"
"Xiamen ITG","600755","상하이","에너지","석탄"
"Pengxin Mining","600490","상하이","에너지","석탄"
"Huolinhe Coal A","002128","심천","에너지","석탄"
"MeiDu Energy","600175","상하이","에너지","석유와 가스 운용"
"ZhongMan Petroleum A","603619","상하이","에너지","유정 서비스와 장비"
"Huajin Chemical A","000059","심천","에너지","석유와 가스 운용"
"Shen Huo A","000933","심천","에너지","석탄"
"Jereh Oilfield A","002353","심천","에너지","유정 서비스와 장비"
"Pingdingshan Tianan Coal","601666","상하이","에너지","석탄"
"Taiyuan Coal Gasification","000968","심천","에너지","석탄"
"Baotailong New Materials","601011","상하이","에너지","석유와 가스 운용"
"GI Technologies Beijing","300309","심천","에너지","유정 서비스와 장비"
"Henan Dayou Energy","600403","상하이","에너지","석탄"
"CCS Supply Chain","600180","상하이","에너지","석탄"
"Guizhou Panjiang Coal","600395","상하이","에너지","석탄"
"Shaanxi Heimao Coking","601015","상하이","에너지","석유와 가스 운용"
"Shanxi Coal Energy","600546","상하이","에너지","석탄"
"Geo-Jade Petroleum","600759","상하이","에너지","석유와 가스 – 통합"
"Datong Coal Industry","601001","상하이","에너지","석탄"
"Shanxi Lanhua Sci-Tech","600123","상하이","에너지","석탄"
"Anhui Hengyuan Coal and Electricity","600971","상하이","에너지","석탄"
"Kailuan Energy Chemical","600997","상하이","에너지","석유와 가스 운용"
"SDIC Xinji Energy","601918","상하이","에너지","석탄"
"Beijing Haohua Energy Resource","601101","상하이","에너지","석탄"
"Gansu Jingyuan A","000552","심천","에너지","석탄"
"Shanghai Datun Energy","600508","상하이","에너지","석탄"
"Qinghai Spring Med","600381","상하이","에너지","석탄"
"Fuchunjiang Env A","002479","심천","에너지","석탄"
"Sino Geophysical","300191","심천","에너지","유정 서비스와 장비"
"Guangju Energy A","000096","심천","에너지","석유와 가스 운용"
"Shanghai U9 Game","600652","상하이","에너지","석탄"
"Petro Cn Jinhong A","000669","심천","에너지","유정 서비스와 장비"
"Guangdong Hongda Blasting A","002683","심천","에너지","석탄"
"Pingzhuang Ener A","000780","심천","에너지","석탄"
"LandOcean Energy Services Co","300157","심천","에너지","유정 서비스와 장비"
"Sinopec Oilfield Equipment","000852","심천","에너지","유정 서비스와 장비"
"BOMESC Offshore","603727","상하이","에너지","유정 서비스와 장비"
"Shanghai Sk A","002278","심천","에너지","유정 서비스와 장비"
"Inner Mongolia Yitai Coal","900948","상하이","에너지","석탄"
"Zhejiang Haiyue","600387","상하이","에너지","석유와 가스 운용"
"China Oil Hbp A","002554","심천","에너지","유정 서비스와 장비"
"Sundiro A","000571","심천","에너지","석탄"
"Xinjiang Baihuacun","600721","상하이","에너지","석유와 가스 운용"
"Beijing Etrol Tech","300370","심천","에너지","유정 서비스와 장비"
"Xiamen Xindeco A","000701","심천","에너지","석탄"
"Xinjiang Haoyuan Gas A","002700","심천","에너지","석유와 가스 운용"
"Taishan Petrol A","000554","심천","에너지","석유와 가스 운용"
"Yunnan Yunwei A","600725","상하이","에너지","석유와 가스 운용"
"Bode Energy Equipment","300023","심천","에너지","유정 서비스와 장비"
"Lanpec Tech","601798","상하이","에너지","유정 서비스와 장비"
"Qingdao Copton Tech","603798","상하이","에너지","석유와 가스 운용"
"Tong Oil Tools","300164","심천","에너지","유정 서비스와 장비"
"Maoming Shihua A","000637","심천","에너지","석유와 가스 – 통합"
"JIANGSU LOPAL TECH","603906","상하이","에너지","석유와 가스 운용"
"XinJiang Beiken Energy","002828","심천","에너지","유정 서비스와 장비"
"Suzhou Douson Equipment","603800","상하이","에너지","유정 서비스와 장비"
"Anyuan Coal Industry","600397","상하이","에너지","석탄"
"Renzhi Oilfield A","002629","심천","에너지","유정 서비스와 장비"
"Zhenhai Petrochemical","603637","상하이","에너지","유정 서비스와 장비"
"Taiyuan Chemical Industry","600281","상하이","에너지","석유와 가스 운용"
"Qinghai Jinrui Mineral Dev","600714","상하이","에너지","석탄"
"Lanzhou Haimo Technologies Co","300084","심천","에너지","유정 서비스와 장비"
"Int Industry A","000159","심천","에너지","석유와 가스 운용"
"Xinjiang Zhundong Petroleum","002207","심천","에너지","유정 서비스와 장비"
"Jiangsu Gaoke Petrochemical","002778","심천","에너지","석유와 가스 운용"
