"종목","기호","거래소","부문","산업"
"Jinhui Liquor","603919","상하이","소비재/ 경기 방어형","음료(알코올성)"
"Fujian Anjoy Foods","603345","상하이","소비재/ 경기 방어형","식품 가공"
"Qianhe Condiment and Food","603027","상하이","소비재/ 경기 방어형","식품 가공"
"Qinghai Huzhu Barley Wine A","002646","심천","소비재/ 경기 방어형","음료(알코올성)"
"Oriental Ocean A","002086","심천","소비재/ 경기 방어형","식품 가공"
"Sz Shenbao A","000019","심천","소비재/ 경기 방어형","식품 가공"
"Shenzhen Shenbao Industrial","200019","심천","소비재/ 경기 방어형","식품 가공"
"Xinjiang Guannong","600251","상하이","소비재/ 경기 방어형","곡물"
"Shanghai Laiyifen","603777","상하이","소비재/ 경기 방어형","식품 가공"
"Guangdong Kinlong Hardware","002791","심천","소비재/ 경기 방어형","개인과 가계용 제품"
"Beingmate A","002570","심천","소비재/ 경기 방어형","식품 가공"
"Chongqing Zaisheng Tech","603601","상하이","소비재/ 경기 방어형","개인과 가계용 제품"
"Kuaijishan Shaoxing Wine","601579","상하이","소비재/ 경기 방어형","음료(알코올성)"
"Royal Group Co Ltd","002329","심천","소비재/ 경기 방어형","식품 가공"
"Shuang Ta Food A","002481","심천","소비재/ 경기 방어형","식품 가공"
"Longlive Biotech A","002604","심천","소비재/ 경기 방어형","식품 가공"
"Shanghai Xuerong Bio-Tech","300511","심천","소비재/ 경기 방어형","곡물"
"Tangrenshen Grp A","002567","심천","소비재/ 경기 방어형","식품 가공"
"Guangbo Group A","002103","심천","소비재/ 경기 방어형","사무용품"
"Daodaoquan Grain Oil","002852","심천","소비재/ 경기 방어형","식품 가공"
"Hunan Mendale A","002397","심천","소비재/ 경기 방어형","개인과 가계용 제품"
"Focus Tech A","002315","심천","소비재/ 경기 방어형","개인과 가계용 제품"
"Anhui Genuine New","603429","상하이","소비재/ 경기 방어형","담배"
"Yisheng Poultry A","002458","심천","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Shanghai Greencourt Invest B","900919","상하이","소비재/ 경기 방어형","식품 가공"
"Shanghai Greencourt Invest A","600695","상하이","소비재/ 경기 방어형","식품 가공"
"Jiangsu Changhai Compos Material","300196","심천","소비재/ 경기 방어형","개인과 가계용 제품"
"Henan Kedi Dairy Industry Co Ltd","002770","심천","소비재/ 경기 방어형","식품 가공"
"Xinjiang Tianrun Dairy","600419","상하이","소비재/ 경기 방어형","식품 가공"
"Guangdong VTR Bio-Tech","300381","심천","소비재/ 경기 방어형","식품 가공"
"Anji Foodstuff","603696","상하이","소비재/ 경기 방어형","식품 가공"
"Winall Hi tech Seed","300087","심천","소비재/ 경기 방어형","곡물"
"Layn Natural A","002166","심천","소비재/ 경기 방어형","식품 가공"
"Dohia","002761","심천","소비재/ 경기 방어형","개인과 가계용 제품"
"Ganso Co Ltd","603886","상하이","소비재/ 경기 방어형","식품 가공"
"Dl Grain & Oil A","000893","심천","소비재/ 경기 방어형","식품 가공"
"Chenguang Biotech Group","300138","심천","소비재/ 경기 방어형","식품 가공"
"Shandong Homey Aquatic Dev","600467","상하이","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Lafang China","603630","상하이","소비재/ 경기 방어형","개인과 가계용 제품"
"Jiangsu Xiuqiang Glasswork Co","300160","심천","소비재/ 경기 방어형","개인과 가계용 제품"
"Baolingbao Bio A","002286","심천","소비재/ 경기 방어형","식품 가공"
"Tianshui Zhongxing Bio-tech","002772","심천","소비재/ 경기 방어형","곡물"
"Shanghai Jinfeng Wine","600616","상하이","소비재/ 경기 방어형","음료(알코올성)"
"Baiyang Aquatic","002696","심천","소비재/ 경기 방어형","식품 가공"
"Huaying Agri A","002321","심천","소비재/ 경기 방어형","식품 가공"
"Grand Agriseeds Tech Inc","300189","심천","소비재/ 경기 방어형","곡물"
"Tianbao Foods A","002220","심천","소비재/ 경기 방어형","식품 가공"
"Guangdong Yantang Dairy","002732","심천","소비재/ 경기 방어형","식품 가공"
"Gansu Dunhuang Seed","600354","상하이","소비재/ 경기 방어형","곡물"
"Shandong Xiantan Co Ltd","002746","심천","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Kemen Noodle Manufacturing A","002661","심천","소비재/ 경기 방어형","식품 가공"
"Wei Long Grape Wine","603779","상하이","소비재/ 경기 방어형","음료(알코올성)"
"Nf Foodstuff A","000716","심천","소비재/ 경기 방어형","식품 가공"
"Sino-Agri Leading Biosciences A","603970","상하이","소비재/ 경기 방어형","개인과 가계용 제품"
"Tibet Galaxy A","000752","심천","소비재/ 경기 방어형","음료(알코올성)"
"Baotou Huazi Industry","600191","상하이","소비재/ 경기 방어형","식품 가공"
"Gd Guanghong A","000529","심천","소비재/ 경기 방어형","식품 가공"
"Petpal Pet Nutrition","300673","심천","소비재/ 경기 방어형","식품 가공"
