"종목","기호","거래소","부문","산업"
"Jiangsu Phoenix Publishing","601928","상하이","서비스","인쇄와 출판"
"Shanghai Waigaoqiao Free Trade Zone","600648","상하이","서비스","소매(백화점과 할인점)"
"Shanghai Waigaoqiao Free Trade Zone B","900912","상하이","서비스","소매(백화점과 할인점)"
"Zhejiang Daily Media","600633","상하이","서비스","광고"
"Beijing Gehua CATV Network","600037","상하이","서비스","방송과 케이블 티브이"
"Inner Mongolia Hotision Monsod","300355","심천","서비스","개인 서비스"
"Sichuan Hejia","600093","상하이","서비스","사업 서비스"
"Shenzhen Techand Eco Environment","300197","심천","서비스","개인 서비스"
"Huawen Media A","000793","심천","서비스","인쇄와 출판"
"BlueFocus Communication Group","300058","심천","서비스","사업 서비스"
"China CYTS Tours","600138","상하이","서비스","개인 서비스"
"Wasu Media Holdings A","000156","심천","서비스","방송과 케이블 티브이"
"Tianjin Capital","600874","상하이","서비스","폐기물 관리 서비스"
"Happigo Home Shopping Co Ltd","300413","심천","서비스","소매(카탈로그와 메일 주문)"
"Souyute Fashion A","002503","심천","서비스","소매(의복)"
"Pang Da Automobile","601258","상하이","서비스","소매(전문)"
"Changchun Sinoenergy","600856","상하이","서비스","소매(백화점과 할인점)"
"Rainbow Store A","002419","심천","서비스","소매(백화점과 할인점)"
"Eastern Pioneer Driving School","603377","상하이","서비스","학교"
"Wangfujing","600859","상하이","서비스","소매(백화점과 할인점)"
"Eternal Asia A","002183","심천","서비스","사업 서비스"
"Shanghai Yuyuan Tourist","600655","상하이","서비스","소매(전문)"
"Anhui Wanjiang Logistics","600575","상하이","서비스","사업 서비스"
"Zhejiang Weiming Environment","603568","상하이","서비스","폐기물 관리 서비스"
"China World Trade Center","600007","상하이","서비스","부동산 운용"
"Sinobright A","000560","심천","서비스","소매(백화점과 할인점)"
"Chongqing Tong Jun Ge","000591","심천","서비스","소매(약품)"
"Ningbo Peacebird Fashion","603877","상하이","서비스","소매(의복)"
"Guangzhou Kingmed Diagnostics","603882","상하이","서비스","사업 서비스"
"Sz Huaqiang A","000062","심천","서비스","소매(카탈로그와 메일 주문)"
"Lingnan Landscape Co Ltd","002717","심천","서비스","개인 서비스"
"Eastern Gold Jade","600086","상하이","서비스","소매(전문)"
"Hengdian Entertainment","603103","상하이","서비스","영화"
"Yunnan Hongxiang Yixintang Pharma","002727","심천","서비스","소매(약품)"
"Tianguang Fire-Fighting","002509","심천","서비스","보안 시스템과 서비스"
"Beijing Philisense Tech","300287","심천","서비스","사업 서비스"
"Harbin Hatou Invest","600864","상하이","서비스","사업 서비스"
"Jiangsu High Hope","600981","상하이","서비스","소매(백화점과 할인점)"
"Xinhua Winshare Media","601811","상하이","서비스","인쇄와 출판"
"Eastern Investment A","000673","심천","서비스","영화"
"Better Life A","002251","심천","서비스","소매(식료잡화)"
"Grandland Group A","002482","심천","서비스","사업 서비스"
"Shenzhen Agric A","000061","심천","서비스","소매(식료잡화)"
"Bestsun Energy","600681","상하이","서비스","개인 서비스"
