"종목","기호","거래소","부문","산업"
"Tianjin Tianhai Invest A","600751","상하이","테크놀로지","전자 장비와 제어기"
"Tianjin Tianhai Invest B","900938","상하이","테크놀로지","전자 장비와 제어기"
"GRG Banking Equipment","002152","심천","테크놀로지","컴퓨터 주변기기"
"Wuhu Token Sciences","300088","심천","테크놀로지","전자 장비와 제어기"
"Shanghai Putailai New Energy","603659","상하이","테크놀로지","전자 장비와 제어기"
"Nanyang Tech A","002389","심천","테크놀로지","전자 장비와 제어기"
"East Group","300376","심천","테크놀로지","전자 장비와 제어기"
"Gosuncn A","300098","심천","테크놀로지","통신 장비"
"Shenzhen Everwin Precision Tech","300115","심천","테크놀로지","전자 장비와 제어기"
"Konfoong Materials","300666","심천","테크놀로지","전자 장비와 제어기"
"Jx Sp Elec Motor A","002176","심천","테크놀로지","전자 장비와 제어기"
"Greatwall Info A","000748","심천","테크놀로지","컴퓨터 주변기기"
"HC Semitek Corp","300323","심천","테크놀로지","반도체"
"Wuxi Taiji Industry","600667","상하이","테크놀로지","반도체"
"Huatian Tech A","002185","심천","테크놀로지","반도체"
"Pci-Suntek Tech","600728","상하이","테크놀로지","소프트웨어와 프로그래밍"
"Csg Smart Science","300222","심천","테크놀로지","전자 장비와 제어기"
"Changsha Jingjia Microelectronics","300474","심천","테크놀로지","반도체"
"NetPosa Technologies Ltd","300367","심천","테크놀로지","컴퓨터 하드웨어"
"Dalian Zeus Entertainment","002354","심천","테크놀로지","소프트웨어와 프로그래밍"
"Beijing Bdstar A","002151","심천","테크놀로지","통신 장비"
"Techo Telecom A","000555","심천","테크놀로지","컴퓨터 서비스"
"Senyuan Electric A","002358","심천","테크놀로지","전자 장비와 제어기"
"Dmegc Magnetics A","002056","심천","테크놀로지","전자 장비와 제어기"
"Hangzhou Shunwang Tech","300113","심천","테크놀로지","컴퓨터 서비스"
"Suzhou Anjie Technology A","002635","심천","테크놀로지","전자 장비와 제어기"
"Beijing Thunisoft Co Ltd","300271","심천","테크놀로지","소프트웨어와 프로그래밍"
"Huagong A","000988","심천","테크놀로지","전자 장비와 제어기"
"Hand Enterprise Solutions Co","300170","심천","테크놀로지","컴퓨터 서비스"
"Xiamen Meiya Pico Information","300188","심천","테크놀로지","통신 장비"
"EVE Energy","300014","심천","테크놀로지","전자 장비와 제어기"
