"종목","기호","거래소","부문","산업"
"China Yangtze Power","600900","상하이","유틸러티","전기 유틸러티"
"China National Nuclear Power","601985","상하이","유틸러티","전기 유틸러티"
"Huaneng Power International","600011","상하이","유틸러티","전기 유틸러티"
"Zhejiang Zheneng Electric","600023","상하이","유틸러티","전기 유틸러티"
"Huaneng Lancang River A","600025","상하이","유틸러티","전기 유틸러티"
"GD Power Dev","600795","상하이","유틸러티","전기 유틸러티"
"SDIC Power","600886","상하이","유틸러티","전기 유틸러티"
"Datang International Power A","601991","상하이","유틸러티","전기 유틸러티"
"Sichuan Chuantou Energy","600674","상하이","유틸러티","전기 유틸러티"
"Huadian Power A","600027","상하이","유틸러티","전기 유틸러티"
"Guangxi Guiguan","600236","상하이","유틸러티","전기 유틸러티"
"Chongqing Water","601158","상하이","유틸러티","수도 유틸러티"
"Tus-Sound Environmental","000826","심천","유틸러티","수도 유틸러티"
"Hubei Energy Group Co Ltd","000883","심천","유틸러티","전기 유틸러티"
"Shenergy","600642","상하이","유틸러티","천연가스 유틸러티"
"Guizhou Gas A","600903","상하이","유틸러티","천연가스 유틸러티"
"Beijing Jingneng Power","600578","상하이","유틸러티","전기 유틸러티"
"Sz Energy A","000027","심천","유틸러티","전기 유틸러티"
"Guangdong Electric Power Devel","200539","심천","유틸러티","전기 유틸러티"
"Guangdong Elec A","000539","심천","유틸러티","전기 유틸러티"
"Shanghai Electric Power","600021","상하이","유틸러티","전기 유틸러티"
"Baolihua A","000690","심천","유틸러티","전기 유틸러티"
"Guangzhou Dev","600098","상하이","유틸러티","전기 유틸러티"
"Shenzhen Gas","601139","상하이","유틸러티","천연가스 유틸러티"
"MengDian HuaNeng Power","600863","상하이","유틸러티","전기 유틸러티"
"Ningxia Jiaze Renewables","601619","상하이","유틸러티","전기 유틸러티"
"Xingrong Invest A","000598","심천","유틸러티","수도 유틸러티"
"Zs Utilities A","000685","심천","유틸러티","수도 유틸러티"
"Foshan Gas A","002911","심천","유틸러티","천연가스 유틸러티"
"Golden Dragon A","000712","심천","유틸러티","수도 유틸러티"
"Shanghai DaZhong Public Utilities","600635","상하이","유틸러티","천연가스 유틸러티"
"CECEP Wind-Power","601016","상하이","유틸러티","전기 유틸러티"
"Jointo Energy A","000600","심천","유틸러티","전기 유틸러티"
"Chongqing Gas","600917","상하이","유틸러티","천연가스 유틸러티"
"Fujian Funeng","600483","상하이","유틸러티","전기 유틸러티"
"Grandblue Environment","600323","상하이","유틸러티","천연가스 유틸러티"
"Wenergy A","000543","심천","유틸러티","전기 유틸러티"
"Zhangze Elec A","000767","심천","유틸러티","전기 유틸러티"
"Chongqing Three Gorges","600116","상하이","유틸러티","전기 유틸러티"
"Guangdong Meiyan Jixiang","600868","상하이","유틸러티","전기 유틸러티"
"Wujiang Silk A","000301","심천","유틸러티","전기 유틸러티"
"Liaoning Hongyang Energy","600758","상하이","유틸러티","전기 유틸러티"
"Shaanxi Gas A","002267","심천","유틸러티","천연가스 유틸러티"
"Heilongjiang Interchina","600187","상하이","유틸러티","수도 유틸러티"
"Shaoneng A","000601","심천","유틸러티","전기 유틸러티"
"Shanxi Guoxin Energy A","600617","상하이","유틸러티","천연가스 유틸러티"
"Shanxi Guoxin Energy B","900913","상하이","유틸러티","천연가스 유틸러티"
"Jilin Power A","000875","심천","유틸러티","전기 유틸러티"
"Gepic Energy Development A","000791","심천","유틸러티","전기 유틸러티"
"Xinjiang Tianfu Energy","600509","상하이","유틸러티","전기 유틸러티"
"Anhui Guozhen A","300388","심천","유틸러티","수도 유틸러티"
"Datang HuaYin Electric","600744","상하이","유틸러티","전기 유틸러티"
"Guangxi Nanning Waterworks","601368","상하이","유틸러티","수도 유틸러티"
"Chongqing Fuling Electric","600452","상하이","유틸러티","전기 유틸러티"
"Yuneng Holding A","001896","심천","유틸러티","전기 유틸러티"
"Huadian Energy","600726","상하이","유틸러티","전기 유틸러티"
"Huadian Ener-B","900937","상하이","유틸러티","전기 유틸러티"
"Xinneng Taishan A","000720","심천","유틸러티","전기 유틸러티"
"Bohai Water A","000605","심천","유틸러티","수도 유틸러티"
"Guangxi Guidong Eletric","600310","상하이","유틸러티","전기 유틸러티"
"Xinjiang Xintai Natural Gas","603393","상하이","유틸러티","천연가스 유틸러티"
"Ganneng A","000899","심천","유틸러티","전기 유틸러티"
"Jiangxi Hongcheng Water","600461","상하이","유틸러티","수도 유틸러티"
"Gz Hengyun A","000531","심천","유틸러티","전기 유틸러티"
"Jiangsu Jiangnan Water","601199","상하이","유틸러티","수도 유틸러티"
"Qianyuan Power A","002039","심천","유틸러티","전기 유틸러티"
"Top Energy Shanxi","600780","상하이","유틸러티","전기 유틸러티"
"Guangan","600979","상하이","유틸러티","전기 유틸러티"
"Qian Jiang Water","600283","상하이","유틸러티","수도 유틸러티"
"Xinjiang Torch Gas A","603080","상하이","유틸러티","천연가스 유틸러티"
"Yunnan Wenshan Electric","600995","상하이","유틸러티","전기 유틸러티"
"Hunan Fazhan A","000722","심천","유틸러티","전기 유틸러티"
"Shenyang Jinshan","600396","상하이","유틸러티","전기 유틸러티"
"Changyuan Elec A","000966","심천","유틸러티","전기 유틸러티"
"Anhui Province Natural Gas","603689","상하이","유틸러티","천연가스 유틸러티"
"Mindong Elect A","000993","심천","유틸러티","전기 유틸러티"
"Jiangquan Ind","600212","상하이","유틸러티","전기 유틸러티"
"Leshan Electric","600644","상하이","유틸러티","전기 유틸러티"
"Nanshan Power A","000037","심천","유틸러티","전기 유틸러티"
"Shenzhen Nanshan Power","200037","심천","유틸러티","전기 유틸러티"
"Sichuan Minjiang Hydropower","600131","상하이","유틸러티","전기 유틸러티"
"Sichuan Mingxing Electric","600101","상하이","유틸러티","전기 유틸러티"
"Hunan Chen Dian Dev","600969","상하이","유틸러티","전기 유틸러티"
"Sichuan Xichang Electric","600505","상하이","유틸러티","전기 유틸러티"
"Wuhan Xianglong Power","600769","상하이","유틸러티","수도 유틸러티"
