"종목","기호","거래소","부문","산업"
"Tsaker Chemical","1986","홍콩","기초 소재","화학제조"
"China Baoli Tech","0164","홍콩","기초 소재","금속 광업"
"Youyuan Intl","2268","홍콩","기초 소재","종이와 종이 제품"
"Shougangncord Int Enterprises","0697","홍콩","기초 소재","철과 철강"
"China Sanjiang Fine Chemicals","2198","홍콩","기초 소재","화학제조"
"DaMing Intl","1090","홍콩","기초 소재","철과 철강"
"Xiwang Special Steel","1266","홍콩","기초 소재","다종 조립 제품"
"China XLX Fertiliser","1866","홍콩","기초 소재","화학제조"
"Aowei","1370","홍콩","기초 소재","금속 광업"
"Singamas Container","0716","홍콩","기초 소재","컨테이너와 포장"
"Tiangong Intl","0826","홍콩","기초 소재","철과 철강"
"North Mining Shares","0433","홍콩","기초 소재","금속 광업"
"Mobile Internet China","1439","홍콩","기초 소재","종이와 종이 제품"
"Dongguang Chemical","1702","홍콩","기초 소재","화학제조"
"China Silver","0815","홍콩","기초 소재","금속 광업"
"Xingfa Aluminium","0098","홍콩","기초 소재","금속 광업"
"China Touyun Tech","1332","홍콩","기초 소재","컨테이너와 포장"
"Xinjiang Xinxin Mining Industry Co","3833","홍콩","기초 소재","금속 광업"
"Putian Communication","1720","홍콩","기초 소재","다종 조립 제품"
"China Beidahuang Industry","0039","홍콩","기초 소재","화학제조"
"EVA Precision Industrial","0838","홍콩","기초 소재","다종 조립 제품"
"Jimei Intl Entertainment","1159","홍콩","기초 소재","화학 제품 – 플라스틱과 고무"
"Shanghai Prime Machinery Co","2345","홍콩","기초 소재","다종 조립 제품"
"Solartech International","1166","홍콩","기초 소재","다종 조립 제품"
"China Sunshine Paper","2002","홍콩","기초 소재","종이와 종이 제품"
"China Hanking Holdings","3788","홍콩","기초 소재","금속 광업"
"Sino Haijing Holdings Ltd","1106","홍콩","기초 소재","컨테이너와 포장"
"Beijing Capital Juda","1329","홍콩","기초 소재","화학제조"
"CNNC Intl","2302","홍콩","기초 소재","다종 조립 제품"
"Huajin International","2738","홍콩","기초 소재","철과 철강"
"China Ocean Fishing","8047","홍콩","기초 소재","다종 조립 제품"
"Burwill","0024","홍콩","기초 소재","다종 조립 제품"
"China Daye Non-Ferrous Metals","0661","홍콩","기초 소재","다종 조립 제품"
"Yip’s Chemical","0408","홍콩","기초 소재","화학제조"
"China Strategic","0235","홍콩","기초 소재","다종 조립 제품"
"Greenheart","0094","홍콩","기초 소재","임업과 목재 제품"
"Nature Home","2083","홍콩","기초 소재","임업과 목재 제품"
"Lingbao Gold Co","3330","홍콩","기초 소재","금속 광업"
"CITIC Dameng","1091","홍콩","기초 소재","철과 철강"
"Zhidao Intl","1220","홍콩","기초 소재","다종 조립 제품"
"CST","0985","홍콩","기초 소재","금속 광업"
"Manfield Chemical","1561","홍콩","기초 소재","화학제조"
"Affluent Partners","1466","홍콩","기초 소재","다종 조립 제품"
"Wanguo Intl Mining","3939","홍콩","기초 소재","금속 광업"
"Cybernaut Int","1020","홍콩","기초 소재","철과 철강"
"Vedan Intl","2317","홍콩","기초 소재","화학제조"
"IRC Ltd","1029","홍콩","기초 소재","금속 광업"
"EcoGreen International Group","2341","홍콩","기초 소재","화학제조"
"Century Sunshine","0509","홍콩","기초 소재","화학제조"
"Newtree","1323","홍콩","기초 소재","화학제조"
"Xinyi Automobile Glass","8328","홍콩","기초 소재","컨테이너와 포장"
"China Rare Earth","0769","홍콩","기초 소재","화학제조"
"APAC Resources","1104","홍콩","기초 소재","금속 광업"
"Hop Fung","2320","홍콩","기초 소재","컨테이너와 포장"
"Tiande Chemical","0609","홍콩","기초 소재","화학제조"
"China Automation Group","0569","홍콩","기초 소재","다종 조립 제품"
"Yusei","0096","홍콩","기초 소재","화학 제품 – 플라스틱과 고무"
"China Aluminum Cans","6898","홍콩","기초 소재","컨테이너와 포장"
"Brockman Mining Ltd","0159","홍콩","기초 소재","금속 광업"
"Sheen Tai","1335","홍콩","기초 소재","컨테이너와 포장"
"Zhengye Intl","3363","홍콩","기초 소재","컨테이너와 포장"
"Southeast Asia Properties & Finance","0252","홍콩","기초 소재","화학 제품 – 플라스틱과 고무"
"Mengke","1629","홍콩","기초 소재","종이와 종이 제품"
"Yue Da Mining","0629","홍콩","기초 소재","금속 광업"
"China Dynamics","0476","홍콩","기초 소재","금속 광업"
"Prosperity Intl HK","0803","홍콩","기초 소재","다종 조립 제품"
"Guangnan (Hold)","1203","홍콩","기초 소재","다종 조립 제품"
"CNT","0701","홍콩","기초 소재","화학제조"
"Huili Resources","1303","홍콩","기초 소재","금속 광업"
"Greentech","0195","홍콩","기초 소재","금속 광업"
"Taung Gold Intl","0621","홍콩","기초 소재","금과 은"
"Success Dragon Intl","1182","홍콩","기초 소재","컨테이너와 포장"
"China First Chemical","2121","홍콩","기초 소재","화학제조"
"Transtech Optelecom","8465","홍콩","기초 소재","다종 조립 제품"
"Huan Yue Interactive","0505","홍콩","기초 소재","금속 광업"
"Munsun Capital","1194","홍콩","기초 소재","금과 은"
"MEIGU Tech","8349","홍콩","기초 소재","조립식 플라스틱과 고무"
"Great China","0141","홍콩","기초 소재","화학제조"
"Smartac Group China","0395","홍콩","기초 소재","화학제조"
"China Ludao Tech","2023","홍콩","기초 소재","화학제조"
"Samson Paper","0731","홍콩","기초 소재","종이와 종이 제품"
"Integrated Waste Solutions","0923","홍콩","기초 소재","종이와 종이 제품"
"Tianjin TEDA Biomedical Engineering","8189","홍콩","기초 소재","화학제조"
"Teamway","1239","홍콩","기초 소재","컨테이너와 포장"
"China Environmental Resources Group","1130","홍콩","기초 소재","화학제조"
"Jia Yao","1626","홍콩","기초 소재","컨테이너와 포장"
"Yorkshine Holdings","1048","홍콩","기초 소재","다종 조립 제품"
"Lee Kee","0637","홍콩","기초 소재","다종 조립 제품"
"Golik","1118","홍콩","기초 소재","철과 철강"
"Ko Yo Chemical","0827","홍콩","기초 소재","화학제조"
"CPM","1932","홍콩","기초 소재","화학제조"
"Add New Energy Investment","2623","홍콩","기초 소재","금속 광업"
"Chia Tai Enterprises Intl","3839","홍콩","기초 소재","화학제조"
"China Vanadium Titano-Magnetite","0893","홍콩","기초 소재","금속 광업"
"Chengdu PUTIAN Telecom Cable","1202","홍콩","기초 소재","다종 조립 제품"
"Pearl Oriental Oil","0632","홍콩","기초 소재","조립식 플라스틱과 고무"
"Hifood","0442","홍콩","기초 소재","다종 조립 제품"
"World Houseware","0713","홍콩","기초 소재","조립식 플라스틱과 고무"
"Infinity Development","0640","홍콩","기초 소재","화학제조"
"VS Intl","1002","홍콩","기초 소재","조립식 플라스틱과 고무"
"China Zenith Chemical","0362","홍콩","기초 소재","화학 제품 – 플라스틱과 고무"
"Wah Sun Handbags","2683","홍콩","기초 소재","컨테이너와 포장"
"Ta Yang","1991","홍콩","기초 소재","화학 제품 – 플라스틱과 고무"
"Hong Kong Shanghai Alliance","1001","홍콩","기초 소재","다종 조립 제품"
"Changmao Biochemical Engineering","0954","홍콩","기초 소재","화학제조"
"China Polymetaliic Mining","2133","홍콩","기초 소재","금속 광업"
"Hang Sang Siu Po Intl","3626","홍콩","기초 소재","컨테이너와 포장"
"Come Sure","0794","홍콩","기초 소재","컨테이너와 포장"
"InvesTech","1087","홍콩","기초 소재","다종 조립 제품"
"Ka Shui International","0822","홍콩","기초 소재","금속 광업"
"Global Energy Resources","8192","홍콩","기초 소재","다종 조립 제품"
"E.Bon","0599","홍콩","기초 소재","다종 조립 제품"
"Grand T G Gold","8299","홍콩","기초 소재","금과 은"
"KFM Kingdom","3816","홍콩","기초 소재","컨테이너와 포장"
"GT","0263","홍콩","기초 소재","금속 광업"
"Perennial Intl","0725","홍콩","기초 소재","다종 조립 제품"
"Ngai Hing Hong","1047","홍콩","기초 소재","조립식 플라스틱과 고무"
"Junefield Department Store","0758","홍콩","기초 소재","다종 조립 제품"
"Denox Environmental & Tech","1452","홍콩","기초 소재","화학제조"
"Starlite","0403","홍콩","기초 소재","컨테이너와 포장"
"Alpha Era International","8406","홍콩","기초 소재","조립식 플라스틱과 고무"
"Shaanxi Northwest New Tech","8258","홍콩","기초 소재","화학제조"
"Loco Hong Kong","8162","홍콩","기초 소재","다종 조립 제품"
"Shenglong Splendecor","8481","홍콩","기초 소재","컨테이너와 포장"
"Ding He Mining","0705","홍콩","기초 소재","금속 광업"
"AMCO United","0630","홍콩","기초 소재","조립식 플라스틱과 고무"
"IAG Holdings","8513","홍콩","기초 소재","조립식 플라스틱과 고무"
"Sino Prosper Group","0766","홍콩","기초 소재","금과 은"
"Wan Cheng Metal Packaging","8291","홍콩","기초 소재","컨테이너와 포장"
"Great World Company Holdings","8003","홍콩","기초 소재","금속 광업"
"Zhejiang ChangAn Renheng Tech","8139","홍콩","기초 소재","화학제조"
"KAZ Minerals PLC","0847","홍콩","기초 소재","금속 광업"
"Midas Holdings Ltd","1021","홍콩","기초 소재","다종 조립 제품"
"China Molybdenum Luoyang","3993","홍콩","기초 소재","금속 광업"
"Fosun International","0656","홍콩","기초 소재","철과 철강"
"Zijin Mining Group","2899","홍콩","기초 소재","금과 은"
"중국알루미늄공사","2600","홍콩","기초 소재","금속 광업"
"China Hongqiao","1378","홍콩","기초 소재","금속 광업"
"United Company Rusal","0486","홍콩","기초 소재","금속 광업"
"Sinopec Shanghai Petrochemical H","0338","홍콩","기초 소재","화학제조"
"Jiangxi Copper","0358","홍콩","기초 소재","금속 광업"
"Nine Dragons Paper","2689","홍콩","기초 소재","컨테이너와 포장"
"Angang Steel","0347","홍콩","기초 소재","철과 철강"
"CIMC Group","2039","홍콩","기초 소재","컨테이너와 포장"
"Sinopec Oilfield Service Corp","1033","홍콩","기초 소재","화학 제품 – 플라스틱과 고무"
"Kingboard Chemical Holdings Ltd","0148","홍콩","기초 소재","화학제조"
"MMG Ltd","1208","홍콩","기초 소재","금속 광업"
"Lee & Man Paper Manufacturing","2314","홍콩","기초 소재","종이와 종이 제품"
"Shandong Chenming Paper","1812","홍콩","기초 소재","종이와 종이 제품"
"Kingboard Laminates","1888","홍콩","기초 소재","조립식 플라스틱과 고무"
"Maanshan Iron & Steel","0323","홍콩","기초 소재","철과 철강"
"Tianhe Chemicals Group","1619","홍콩","기초 소재","화학제조"
"China Zhongwang","1333","홍콩","기초 소재","다종 조립 제품"
"Chongqing Iron Steel Co","1053","홍콩","기초 소재","철과 철강"
"Yangtze Optical Fibre and Cable","6869","홍콩","기초 소재","다종 조립 제품"
"Dongfang Electric","1072","홍콩","기초 소재","컨테이너와 포장"
"China Oriental","0581","홍콩","기초 소재","철과 철강"
"Zhaojin Mining Industry","1818","홍콩","기초 소재","금과 은"
"Beijing Enterprises Clean Energy","1250","홍콩","기초 소재","종이와 종이 제품"
"Huabao International Holdings","0336","홍콩","기초 소재","화학제조"
"Dongyue Group Ltd","0189","홍콩","기초 소재","화학제조"
"Honbridge","8137","홍콩","기초 소재","금속 광업"
"China Metal Resources Utilization","1636","홍콩","기초 소재","다종 조립 제품"
"Fufeng Group Ltd","0546","홍콩","기초 소재","화학제조"
"Kuangchi Science Ltd","0439","홍콩","기초 소재","컨테이너와 포장"
"China BlueChemical","3983","홍콩","기초 소재","화학제조"
"Hengxing Gold","2303","홍콩","기초 소재","금과 은"
"Xinte Energy","1799","홍콩","기초 소재","화학제조"
"Jinchuan Intl Resources","2362","홍콩","기초 소재","금속 광업"
"China Nonferrous Mining","1258","홍콩","기초 소재","금속 광업"
"China Lumena New Materials","0067","홍콩","기초 소재","화학 제품 – 플라스틱과 고무"
