"종목","기호","거래소","부문","산업"
"페트로차이나","0857","홍콩","에너지","석유와 가스 운용"
"중국해양석유총공사","0883","홍콩","에너지","석유와 가스 운용"
"China Shenhua Energy H","1088","홍콩","에너지","석탄"
"중국석탄공사","1898","홍콩","에너지","석탄"
"Yanzhou Coal Mining","1171","홍콩","에너지","석탄"
"China Resources Gas","1193","홍콩","에너지","석유와 가스 운용"
"China Oilfield Services","2883","홍콩","에너지","유정 서비스와 장비"
"Inner Mongolia Yitai al","3948","홍콩","에너지","석탄"
"CMBC Capital","1141","홍콩","에너지","석탄"
"Towngas China Co","1083","홍콩","에너지","석유와 가스 운용"
"United Energy","0467","홍콩","에너지","유정 서비스와 장비"
"Brightoil Petroleum","0933","홍콩","에너지","석유와 가스 운용"
"CIMC Enric Holdings","3899","홍콩","에너지","유정 서비스와 장비"
"Shougang Fushan Resources","0639","홍콩","에너지","석탄"
"Sinopec Kantons","0934","홍콩","에너지","석유와 가스 운용"
"Agritrade","1131","홍콩","에너지","석탄"
"China Unienergy","1573","홍콩","에너지","석탄"
"Yuan Heng Gas","0332","홍콩","에너지","석유와 가스 운용"
"COSCO SHIPPING HK","0517","홍콩","에너지","석유와 가스 운용"
"EPI","0689","홍콩","에너지","석유와 가스 운용"
"AAG Energy Holdings Ltd","2686","홍콩","에너지","석유와 가스 – 통합"
"Honghua Group Ltd","0196","홍콩","에너지","유정 서비스와 장비"
"Kinetic Mines and Energy","1277","홍콩","에너지","석탄"
"Polytec Asset","0208","홍콩","에너지","석유와 가스 – 통합"
"Newocean Energy","0342","홍콩","에너지","석유와 가스 운용"
"CAA Resources","2112","홍콩","에너지","석탄"
"Anton Oilfield Services","3337","홍콩","에너지","유정 서비스와 장비"
"Strong Petrochemical","0852","홍콩","에너지","석유와 가스 운용"
"E -Commodities Hlds","1733","홍콩","에너지","석탄"
"Henan Jinma Energy","6885","홍콩","에너지","석유와 가스 운용"
"Shanghai Dasheng Agriculture Fin Tech","1103","홍콩","에너지","석유와 가스 운용"
"Hilong Holding","1623","홍콩","에너지","유정 서비스와 장비"
"Binhai Investment Co","2886","홍콩","에너지","석유와 가스 운용"
"Mongolian Mining Corp","0975","홍콩","에너지","석탄"
"Feishang Anthracite Resources","1738","홍콩","에너지","석탄"
"China Qinfa","0866","홍콩","에너지","석탄"
"New Times Energy Corporation","0166","홍콩","에너지","석유와 가스 운용"
"Sunshine Oilsands","2012","홍콩","에너지","석유와 가스 운용"
"Loudong General Nice Resources China","0988","홍콩","에너지","석탄"
"JTF International Holdings","8479","홍콩","에너지","석유와 가스 운용"
"King Stone Energy Group","0663","홍콩","에너지","석탄"
"Greater China Financial","0431","홍콩","에너지","석유와 가스 운용"
"SPT Energy Inc","1251","홍콩","에너지","유정 서비스와 장비"
"MIE Holdings Corp","1555","홍콩","에너지","석유와 가스 운용"
"Yanchang Petroleum Int","0346","홍콩","에너지","석유와 가스 운용"
"Tou Rong Chang Fu","0850","홍콩","에너지","석유와 가스 운용"
"Energy Intl Investments","0353","홍콩","에너지","석유와 가스 – 통합"
"Chinese People Holdings Co","0681","홍콩","에너지","유정 서비스와 장비"
"Sino Oil and Gas","0702","홍콩","에너지","석유와 가스 운용"
"Petro-king Oilfield Services","2178","홍콩","에너지","유정 서비스와 장비"
"Huscoke Resources","0704","홍콩","에너지","석유와 가스 운용"
"Polyard Petroleum Intl Group","8011","홍콩","에너지","석유와 가스 운용"
"Elife Holdings","0223","홍콩","에너지","석탄"
"Grand Ocean Resources","0065","홍콩","에너지","석탄"
"Hidili Industry Int Develop","1393","홍콩","에너지","석탄"
"China Leon Inspection","1586","홍콩","에너지","석탄"
"Asia Coal","0835","홍콩","에너지","석탄"
"Persta Resources","3395","홍콩","에너지","석유와 가스 – 통합"
"Titan Petrochemicals","1192","홍콩","에너지","유정 서비스와 장비"
"Silk Road Energy","8250","홍콩","에너지","석탄"
"South Sea Petroleum","0076","홍콩","에너지","석탄"
"KOALA Financial","8226","홍콩","에너지","석유와 가스 운용"
"Mongolia Energy","0276","홍콩","에너지","석탄"
"Nan Nan Resources Enterprise","1229","홍콩","에너지","석탄"
"F8 Enterprises","8347","홍콩","에너지","석유와 가스 운용"
"SouthGobi Resources Ltd","1878","홍콩","에너지","석탄"
"Vico International Holdings","1621","홍콩","에너지","석유와 가스 운용"
"Kaisun Energy","8203","홍콩","에너지","석탄"
"Siberian Mining","1142","홍콩","에너지","석탄"
"Rosan Resources","0578","홍콩","에너지","석탄"
"Union Asia Enterprise","8173","홍콩","에너지","석탄"
"China CBM Co","8270","홍콩","에너지","석유와 가스 – 통합"
"Ir Resources","8186","홍콩","에너지","석탄"
"Glencore","0805","홍콩","에너지","석탄"
