"종목","기호","거래소","부문","산업"
"Aeon Credit Service Asia","0900","홍콩","금융","소비자 금융 서비스"
"Convoy Global","1019","홍콩","금융","보험(다종)"
"Gome Finance Tech","0628","홍콩","금융","소비자 금융 서비스"
"Differ Holding Co","6878","홍콩","금융","소비자 금융 서비스"
"ITC Properties","0199","홍콩","금융","투자 서비스"
"Shandong International Trust","1697","홍콩","금융","다종 금융 서비스"
"China Chengtong Development","0217","홍콩","금융","투자 서비스"
"Guangdong Join-Share Guarantee Invest","1543","홍콩","금융","소비자 금융 서비스"
"Nanyang","0212","홍콩","금융","투자 서비스"
"China Merchants China Direct","0133","홍콩","금융","다종 금융 서비스"
"G-Resources Group","1051","홍콩","금융","투자 서비스"
"Shenwan Hongyuan HK","0218","홍콩","금융","투자 서비스"
"Good Resources Holdings Ltd","0109","홍콩","금융","투자 서비스"
"LT Commercial Real Estate","0112","홍콩","금융","다종 금융 서비스"
"China Huirong Financial","1290","홍콩","금융","소비자 금융 서비스"
"Rivera","0281","홍콩","금융","투자 서비스"
"Flying Financial Service Holdings","8030","홍콩","금융","소비자 금융 서비스"
"China Smartpay","8325","홍콩","금융","소비자 금융 서비스"
"Enerchina","0622","홍콩","금융","투자 서비스"
"Luzheng Futures Co","1461","홍콩","금융","투자 서비스"
"Hao Tian Development","0474","홍콩","금융","소비자 금융 서비스"
"Holly Futures Co","3678","홍콩","금융","투자 서비스"
"Yangzhou Guangling District","8252","홍콩","금융","소비자 금융 서비스"
"Pacific Plywood","0767","홍콩","금융","소비자 금융 서비스"
"Value Convergence","0821","홍콩","금융","투자 서비스"
"First Shanghai Investments","0227","홍콩","금융","투자 서비스"
"SHK HK Industries","0666","홍콩","금융","다종 금융 서비스"
"Zuoli Kechuang Micro finance Co Ltd","6866","홍콩","금융","소비자 금융 서비스"
"China Fortune Financial","0290","홍콩","금융","투자 서비스"
"Quanzhou Huixin Micro credit","1577","홍콩","금융","소비자 금융 서비스"
"Wealthy Way","3848","홍콩","금융","소비자 금융 서비스"
"KVB Kunlun Financial","6877","홍콩","금융","투자 서비스"
"Lee Hing Development","0068","홍콩","금융","투자 서비스"
"PT International","0372","홍콩","금융","투자 서비스"
"Sheng Yuan","0851","홍콩","금융","투자 서비스"
"CASH Financial Services Group","0510","홍콩","금융","투자 서비스"
"Universal Tech","1026","홍콩","금융","소비자 금융 서비스"
"China Development Bank Intl","1062","홍콩","금융","투자 서비스"
"China Success Finance","3623","홍콩","금융","다종 금융 서비스"
"Pinestone Capital","0804","홍콩","금융","소비자 금융 서비스"
"Oi Wah Pawnshop Credit","1319","홍콩","금융","소비자 금융 서비스"
"Sunwah Kingsway Capital","0188","홍콩","금융","투자 서비스"
"South China Financial","0619","홍콩","금융","투자 서비스"
"Regent Pacific","0575","홍콩","금융","투자 서비스"
"Southwest Securities Intl Securities","0812","홍콩","금융","투자 서비스"
"Finet","8317","홍콩","금융","투자 서비스"
"Target Insurance","6161","홍콩","금융","보험 (손해)"
"Cinda Intl","0111","홍콩","금융","투자 서비스"
"Gemini Investments","0174","홍콩","금융","투자 서비스"
"Shougang Concord Grand","0730","홍콩","금융","소비자 금융 서비스"
"중국공상은행","1398","홍콩","금융","단기금융시장은행"
"China Construction Bank","0939","홍콩","금융","지방 은행"
"Bank of China","3988","홍콩","금융","지방 은행"
"Agricultural Bank Of China","1288","홍콩","금융","지방 은행"
"중국평안보험","2318","홍콩","금융","보험 (생명)"
"HSBC","0005","홍콩","금융","지방 은행"
"Bank of Communications","3328","홍콩","금융","단기금융시장은행"
"China Merchants Bank","3968","홍콩","금융","단기금융시장은행"
"China Life Insurance","2628","홍콩","금융","보험 (생명)"
"AIA 그룹","1299","홍콩","금융","보험 (생명)"
"Postal Savings Bank of China","1658","홍콩","금융","지방 은행"
"China Minsheng Banking","1988","홍콩","금융","지방 은행"
"BOC 홍콩","2388","홍콩","금융","지방 은행"
"China Pacific Insurance","2601","홍콩","금융","보험 (생명)"
"China Citic Bank","0998","홍콩","금융","지방 은행"
"항생은행","0011","홍콩","금융","저축대부조합/저축은행"
"주신태부유한공사","0267","홍콩","금융","투자 서비스"
"홍콩증권거래소","0388","홍콩","금융","투자 서비스"
"CITIC Securities","6030","홍콩","금융","투자 서비스"
"China Everbright Bank","6818","홍콩","금융","지방 은행"
"China Cinda Asset Management","1359","홍콩","금융","보험 (생명)"
"PICC Property & Casualty","2328","홍콩","금융","보험 (손해)"
"Guotai Junan Securities","2611","홍콩","금융","투자 서비스"
"China Zheshang Bank","2016","홍콩","금융","지방 은행"
"New China Life Insurance","1336","홍콩","금융","보험(상해와 건강)"
"People’s Insurance Group China","1339","홍콩","금융","보험 (손해)"
"Haitong Securities","6837","홍콩","금융","투자 서비스"
"GF Securities Co Ltd","1776","홍콩","금융","투자 서비스"
"Huatai Securities Co Ltd","6886","홍콩","금융","투자 서비스"
"China Merchants","6099","홍콩","금융","투자 서비스"
"China Huarong Asset Management","2799","홍콩","금융","투자 서비스"
"China Galaxy Securities","6881","홍콩","금융","투자 서비스"
"Orient Securities H","3958","홍콩","금융","투자 서비스"
"China Taiping Insurance","0966","홍콩","금융","보험 (생명)"
"ZhongAn Online","6060","홍콩","금융","보험(다종)"
"동아은행","0023","홍콩","금융","지방 은행"
"Huishang Bank Corp","3698","홍콩","금융","지방 은행"
"China Reinsurance","1508","홍콩","금융","보험 (생명)"
"Bank of Zhengzhou Co","6196","홍콩","금융","지방 은행"
"Everbright Securities","6178","홍콩","금융","투자 서비스"
"China International Capital Corp Lt","3908","홍콩","금융","투자 서비스"
"Chongqing Ruralmmercial Bank","3618","홍콩","금융","지방 은행"
"Guangzhou RCB","1551","홍콩","금융","지방 은행"
"Bank of Jinzhou","0416","홍콩","금융","지방 은행"
"Zhongyuan Bank","1216","홍콩","금융","지방 은행"
"Bank of Chongqing","1963","홍콩","금융","지방 은행"
"Kingston Financial Group","1031","홍콩","금융","투자 서비스"
"CSC Financial","6066","홍콩","금융","투자 서비스"
"Shengjing Bank","2066","홍콩","금융","지방 은행"
"Far East Horizon","3360","홍콩","금융","소비자 금융 서비스"
"Yixin Group","2858","홍콩","금융","소비자 금융 서비스"
"Bank of Gansu","2139","홍콩","금융","지방 은행"
"China Everbright","0165","홍콩","금융","투자 서비스"
"Bank of Qingdao Co","3866","홍콩","금융","지방 은행"
"Bank of Tianjin","1578","홍콩","금융","지방 은행"
"Haitong Int Securities","0665","홍콩","금융","투자 서비스"
"Harbin Bank Co","6138","홍콩","금융","지방 은행"
"Central China Securities","1375","홍콩","금융","투자 서비스"
"Dah Sing Banking","2356","홍콩","금융","지방 은행"
"Chong Sing FinTech","8207","홍콩","금융","소비자 금융 서비스"
"Freeman FinTech","0279","홍콩","금융","투자 서비스"
"China Development Bank","1606","홍콩","금융","소비자 금융 서비스"
"Jilin Jiutai Rural Bank","6122","홍콩","금융","지방 은행"
"Guotai Junan Int","1788","홍콩","금융","투자 서비스"
"Dah Sing Financial","0440","홍콩","금융","지방 은행"
"Value Partners","0806","홍콩","금융","투자 서비스"
"Allied Properties HK","0056","홍콩","금융","소비자 금융 서비스"
"China Investment Fund","0612","홍콩","금융","다종 금융 서비스"
"Sun Hung Kai & Co","0086","홍콩","금융","소비자 금융 서비스"
"Chong Hing Bank","1111","홍콩","금융","단기금융시장은행"
"Reorient","0376","홍콩","금융","투자 서비스"
"OP Financial Investments","1140","홍콩","금융","투자 서비스"
"Allied","0373","홍콩","금융","소비자 금융 서비스"
"China Smarter Energy","1004","홍콩","금융","투자 서비스"
"Huarong International Financial","0993","홍콩","금융","투자 서비스"
"Hengtai Securities Co","1476","홍콩","금융","투자 서비스"
"China Innovative Finance","0412","홍콩","금융","소비자 금융 서비스"
"China Oceanwide","0952","홍콩","금융","투자 서비스"
"China LNG","0931","홍콩","금융","투자 서비스"
"BOCOM International","3329","홍콩","금융","투자 서비스"
"Guolian Securities Co","1456","홍콩","금융","투자 서비스"
"Sheng Ye Capital","8469","홍콩","금융","소비자 금융 서비스"
"Mason Financial Holdings","0273","홍콩","금융","투자 서비스"
"China Industrial Securities Intl","8407","홍콩","금융","소비자 금융 서비스"
"Asia Financial","0662","홍콩","금융","보험 (생명)"
"Cosmopolitan Intl","0120","홍콩","금융","투자 서비스"
"Emperor Capital","0717","홍콩","금융","투자 서비스"
