"종목","기호","거래소","부문","산업"
"China Travel Int","0308","홍콩","서비스","개인 서비스"
"Dongjiang Environmental","0895","홍콩","서비스","폐기물 관리 서비스"
"Virscend Education","1565","홍콩","서비스","학교"
"Golden Eagle Retail","3308","홍콩","서비스","소매(백화점과 할인점)"
"China ZhengTong Auto Services","1728","홍콩","서비스","소매(전문)"
"Hutchison Telecom","0215","홍콩","서비스","통신 서비스"
"China Yuhua Education","6169","홍콩","서비스","학교"
"Sa Sa Int","0178","홍콩","서비스","소매(전문)"
"Genting Hong Kong Ltd","0678","홍콩","서비스","여가 활동"
"Universal Medical Financial","2666","홍콩","서비스","렌탈과 리스"
"Mingfa Group Int","0846","홍콩","서비스","부동산 운용"
"Cafe De Coral Holdings Ltd","0341","홍콩","서비스","레스토랑"
"Television Broadcasts","0511","홍콩","서비스","방송과 케이블 티브이"
"Wisdom Education Intl","6068","홍콩","서비스","사업 서비스"
"S E A","0251","홍콩","서비스","부동산 운용"
"Miramar Hotel and Investment","0071","홍콩","서비스","호텔과 모텔"
"Pou Sheng International Holdings","3813","홍콩","서비스","소매(전문)"
"Harbour Centre Development","0051","홍콩","서비스","호텔과 모텔"
"Red Star Macalline Group Corp Ltd","1528","홍콩","서비스","소매(주택개조)"
"Grand Baoxin Auto","1293","홍콩","서비스","소매(전문)"
"HKBN Ltd","1310","홍콩","서비스","통신 서비스"
"SmarTone Telecom","0315","홍콩","서비스","통신 서비스"
"SMI Holdings","0198","홍콩","서비스","영화"
"Associated Intl Hotels","0105","홍콩","서비스","부동산 운용"
"CT Environmental","1363","홍콩","서비스","폐기물 관리 서비스"
"IMAX China","1970","홍콩","서비스","영화"
"TOM Group Ltd","2383","홍콩","서비스","인쇄와 출판"
"Emperor Int","0163","홍콩","서비스","카지노와 게임"
"Carnival Group Int","0996","홍콩","서비스","부동산 운용"
"Wing On Co Intl","0289","홍콩","서비스","소매(백화점과 할인점)"
"Ground Intl Development","0989","홍콩","서비스","통신 서비스"
"Dynam Japan","6889","홍콩","서비스","카지노와 게임"
"China Overseas Property Holdings","2669","홍콩","서비스","부동산 운용"
"CITIC Telecom Int","1883","홍콩","서비스","통신 서비스"
"Haichang","2255","홍콩","서비스","여가 활동"
"China Oceanwide","0715","홍콩","서비스","부동산 운용"
"Colour Life Services","1778","홍콩","서비스","부동산 운용"
"China Aluminum Intl Engineering","2068","홍콩","서비스","사업 서비스"
"Viva China","8032","홍콩","서비스","여가 활동"
"Lai Sun Develop","0488","홍콩","서비스","부동산 운용"
"China Harmony New Energy Auto","3836","홍콩","서비스","소매(전문)"
"China New Higher","2001","홍콩","서비스","학교"
"IB Settlement","0147","홍콩","서비스","사업 서비스"
"Tian An China Investments","0028","홍콩","서비스","부동산 운용"
"China Minsheng Financial Holding","0245","홍콩","서비스","광고"
"Giordano Int","0709","홍콩","서비스","소매(의복)"
"Macau Legend Development","1680","홍콩","서비스","카지노와 게임"
"IDG Energy","0650","홍콩","서비스","호텔과 모텔"
"China Trustful","8265","홍콩","서비스","사업 서비스"
"Wison Engineering Services","2236","홍콩","서비스","사업 서비스"
"Minsheng Education","1569","홍콩","서비스","학교"
"Cogobuy Group","0400","홍콩","서비스","소매(카탈로그와 메일 주문)"
"Dingyi Investment","0508","홍콩","서비스","레스토랑"
"China Aircraft Leasing Group Hold","1848","홍콩","서비스","렌탈과 리스"
"Tan Chong International Ltd","0693","홍콩","서비스","소매(전문)"
"Beijing Gas Blue Sky","6828","홍콩","서비스","인쇄와 출판"
"C.banner Intl","1028","홍콩","서비스","소매(의복)"
"Huayi Tencent","0419","홍콩","서비스","여가 활동"
"Huanxi Media","1003","홍콩","서비스","영화"
"Fuguiniao Co Ltd","1819","홍콩","서비스","소매(의복)"
"에스프리 홀딩스","0330","홍콩","서비스","소매(의복)"
"Regal Hotels International","0078","홍콩","서비스","호텔과 모텔"
"A-Living Services","3319","홍콩","서비스","부동산 운용"
"Minmetals Land","0230","홍콩","서비스","부동산 운용"
"Lai Sun Garment","0191","홍콩","서비스","부동산 운용"
"Liu Chong Hing Investment","0194","홍콩","서비스","부동산 운용"
"Cross-Harbour","0032","홍콩","서비스","학교"
"Melbourne Enterprises","0158","홍콩","서비스","부동산 운용"
"Maoye Int Holdings","0848","홍콩","서비스","소매(백화점과 할인점)"
"China Motor Bus","0026","홍콩","서비스","부동산 운용"
"Tian Teck Land","0266","홍콩","서비스","부동산 운용"
"Phoenix Satellite Television","2008","홍콩","서비스","방송과 케이블 티브이"
"Crown International","0727","홍콩","서비스","부동산 운용"
"Digital Domain Holdings","0547","홍콩","서비스","영화"
"Springland Int","1700","홍콩","서비스","소매(식료잡화)"
"Soundwill Holdings","0878","홍콩","서비스","부동산 운용"
"Koradior Holdings","3709","홍콩","서비스","소매(의복)"
"Dynagreen Environmental","1330","홍콩","서비스","폐기물 관리 서비스"
"Rentian Tech","0885","홍콩","서비스","소매(전문)"
"Ajisen China Holdings","0538","홍콩","서비스","레스토랑"
"Capital Environment","3989","홍콩","서비스","폐기물 관리 서비스"
"Fairwood Holdings Ltd","0052","홍콩","서비스","레스토랑"
"PAX Global Technology","0327","홍콩","서비스","보안 시스템과 서비스"
"Landsea Green Properties","0106","홍콩","서비스","부동산 운용"
"Paliburg","0617","홍콩","서비스","호텔과 모텔"
"Guangdong Yueyun Transportation","3399","홍콩","서비스","사업 서비스"
"China Greenland Broad","1253","홍콩","서비스","개인 서비스"
"Wuzhou Int","1369","홍콩","서비스","부동산 운용"
"Yunnan Water Investment","6839","홍콩","서비스","폐기물 관리 서비스"
"Silver Grant Intl Industries","0171","홍콩","서비스","부동산 운용"
"Orient Victory China","0265","홍콩","서비스","개인 서비스"
"Sino Hotels","1221","홍콩","서비스","호텔과 모텔"
"Pico Far East Holdings","0752","홍콩","서비스","광고"
"China MeiDong Auto","1268","홍콩","서비스","소매(전문)"
"Lifestyle China","2136","홍콩","서비스","소매(백화점과 할인점)"
"Union Medical Healthcare","2138","홍콩","서비스","개인 서비스"
"Poly Culture Corp","3636","홍콩","서비스","소매(전문)"
"APT Satellite","1045","홍콩","서비스","통신 서비스"
"Branding China","0863","홍콩","서비스","광고"
"China Pioneer Pharma","1345","홍콩","서비스","소매(약품)"
"Sinolink Worldwide","1168","홍콩","서비스","부동산 운용"
"Clear Media","0100","홍콩","서비스","광고"
"HMV Digital China","8078","홍콩","서비스","영화"
"Symphony","1223","홍콩","서비스","소매(의복)"
"New World Department Store China","0825","홍콩","서비스","소매(백화점과 할인점)"
"Kangda Int Environmental","6136","홍콩","서비스","폐기물 관리 서비스"
"Chuang’s Consortium Intl","0367","홍콩","서비스","부동산 운용"
"Mega Expo","1360","홍콩","서비스","여가 활동"
"Emperor Watch & Jewellery","0887","홍콩","서비스","소매(전문)"
"China Rundong Auto","1365","홍콩","서비스","소매(전문)"
"Kunming Dianchi Water","3768","홍콩","서비스","폐기물 관리 서비스"
"Convenience Retail Asia","0831","홍콩","서비스","소매(식료잡화)"
"Get Nice","0064","홍콩","서비스","호텔과 모텔"
"Kakiko Group","2225","홍콩","서비스","사업 서비스"
"Asia Satellite Telecommunications","1135","홍콩","서비스","통신 서비스"
"Hong Kong Television Network","1137","홍콩","서비스","영화"
"Cheuk Nang","0131","홍콩","서비스","부동산 운용"
"Lianhua Supermarket","0980","홍콩","서비스","소매(식료잡화)"
"Great Wall Pan Asia","0583","홍콩","서비스","부동산 운용"
"China Water Industry Group","1129","홍콩","서비스","폐기물 관리 서비스"
"China Animation Characters","1566","홍콩","서비스","소매(전문)"
"Asia Standard Intl","0129","홍콩","서비스","호텔과 모텔"
"Henry","0859","홍콩","서비스","부동산 운용"
"International Entertainment","1009","홍콩","서비스","부동산 운용"
"Dan Form","0271","홍콩","서비스","렌탈과 리스"
"Hopefluent Group","0733","홍콩","서비스","부동산 운용"
"In Technical Productions","8446","홍콩","서비스","사업 서비스"
"Sparkle Roll","0970","홍콩","서비스","소매(전문)"
"Keck Seng Investments HK","0184","홍콩","서비스","호텔과 모텔"
"SMIT","2239","홍콩","서비스","보안 시스템과 서비스"
"RM Group","0932","홍콩","서비스","소매(식료잡화)"
"PARKSON Retail","3368","홍콩","서비스","소매(백화점과 할인점)"
"Century City Intl","0355","홍콩","서비스","호텔과 모텔"
"Safety Godown","0237","홍콩","서비스","부동산 운용"
"Hospital Corporation","3869","홍콩","서비스","사업 서비스"
"New Universe Intl","0436","홍콩","서비스","폐기물 관리 서비스"
"Oriental Press Group","0018","홍콩","서비스","인쇄와 출판"
"Emperor Entertainment Hotel","0296","홍콩","서비스","카지노와 게임"
"Pioneer Global","0224","홍콩","서비스","부동산 운용"
"China Nuclear Energy Tech Corp","0611","홍콩","서비스","레스토랑"
"Future World Fin","0572","홍콩","서비스","소매(전문)"
"Magnificent Hotel Investments","0201","홍콩","서비스","호텔과 모텔"
"Henderson Investment","0097","홍콩","서비스","소매(백화점과 할인점)"
"YT Realty","0075","홍콩","서비스","부동산 운용"
"AMVIG","2300","홍콩","서비스","인쇄 서비스"
"Tang Palace China","1181","홍콩","서비스","레스토랑"
"Pokfulam Development","0225","홍콩","서비스","부동산 운용"
"Guoan International","0143","홍콩","서비스","사업 서비스"
"Wang On Group","1222","홍콩","서비스","부동산 운용"
"Fortunet e-Commerce","1039","홍콩","서비스","소매(카탈로그와 메일 주문)"
"Mei Ah Entertainment","0391","홍콩","서비스","영화"
