"종목","기호","거래소","부문","산업"
"IPE","0929","홍콩","테크놀로지","컴퓨터 데이터 저장 장치"
"S.A.S. Dragon","1184","홍콩","테크놀로지","전자 장비와 제어기"
"New Sports","0299","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"Technovator Intl","1206","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"IRICO New Energy","0438","홍콩","테크놀로지","전자 장비와 제어기"
"Sino I Technology","0250","홍콩","테크놀로지","컴퓨터 서비스"
"BII Railway","1522","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"Ch Soft Power","0139","홍콩","테크놀로지","통신 장비"
"Forgame Holdings","0484","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"China Fiber Optic Network System","3777","홍콩","테크놀로지","전자 장비와 제어기"
"China Display Optoelectronics","0334","홍콩","테크놀로지","반도체"
"Wong’s Intl","0099","홍콩","테크놀로지","전자 장비와 제어기"
"Capinfo","1075","홍콩","테크놀로지","컴퓨터 네트워크"
"SiS Intl","0529","홍콩","테크놀로지","컴퓨터 주변기기"
"Beijing Enterprises Environment","0154","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"China Healthcare Enterprise","1143","홍콩","테크놀로지","전자 장비와 제어기"
"BAIOO Family Interactive Ltd","2100","홍콩","테크놀로지","컴퓨터 서비스"
"CCT Land","0261","홍콩","테크놀로지","통신 장비"
"Yuxing InfoTech Invest","8005","홍콩","테크놀로지","통신 장비"
"Shunfeng Clean Energy","1165","홍콩","테크놀로지","반도체"
"China LotSynergy Holdings Ltd","1371","홍콩","테크놀로지","컴퓨터 주변기기"
"Ban Loong","0030","홍콩","테크놀로지","컴퓨터 서비스"
"Ten Pao","1979","홍콩","테크놀로지","전자 장비와 제어기"
"Boer Power","1685","홍콩","테크놀로지","전자 장비와 제어기"
"Advanced Semiconductor Manufacturing","3355","홍콩","테크놀로지","반도체"
"Feiyu Tech Intl","1022","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"Edvance International","8410","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"Coslight Tech Intl","1043","홍콩","테크놀로지","전자 장비와 제어기"
"Pine Technology Holdings","1079","홍콩","테크놀로지","컴퓨터 데이터 저장 장치"
"Automated Systems","0771","홍콩","테크놀로지","컴퓨터 주변기기"
"Millennium Pacific Group Holdings","8147","홍콩","테크놀로지","통신 장비"
"Computime","0320","홍콩","테크놀로지","과학과 기술 장비"
"Sun International","8029","홍콩","테크놀로지","컴퓨터 서비스"
"Tradelink Electronic Commerce","0536","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"China Digital Culture","8175","홍콩","테크놀로지","컴퓨터 서비스"
"Wai Chun","1013","홍콩","테크놀로지","컴퓨터 서비스"
"Jiu Rong","2358","홍콩","테크놀로지","전자 장비와 제어기"
"HNA Tech","2086","홍콩","테크놀로지","컴퓨터 하드웨어"
"Fire Rock","8345","홍콩","테크놀로지","컴퓨터 서비스"
"Enterprise Development","1808","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"SIM Tech","2000","홍콩","테크놀로지","통신 장비"
"Maxnerva Tech","1037","홍콩","테크놀로지","전자 장비와 제어기"
"Wong’s Kong King Intl","0532","홍콩","테크놀로지","전자 장비와 제어기"
"Time Interconnect Tech","1729","홍콩","테크놀로지","전자 장비와 제어기"
"Tianli","0117","홍콩","테크놀로지","전자 장비와 제어기"
"Mobi Development","0947","홍콩","테크놀로지","통신 장비"
"Hengxin Tech","1085","홍콩","테크놀로지","통신 장비"
"CCT Fortis","0138","홍콩","테크놀로지","통신 장비"
"Top Dynamic Intl","2203","홍콩","테크놀로지","반도체"
"China Netcom Tech","8071","홍콩","테크놀로지","컴퓨터 하드웨어"
"Smart-Core Holdings","2166","홍콩","테크놀로지","전자 장비와 제어기"
"Solomon Systech International","2878","홍콩","테크놀로지","반도체"
"China Information Tech","8178","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"Shenzhen Mingwah Aohan High Tech","8301","홍콩","테크놀로지","반도체"
"Computer and Technologies","0046","홍콩","테크놀로지","컴퓨터 서비스"
"Trio Industrial Electronics","1710","홍콩","테크놀로지","전자 장비와 제어기"
"Peace Map","0402","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"V1 Group Ltd","0082","홍콩","테크놀로지","컴퓨터 서비스"
"China Titans Energy Tech","2188","홍콩","테크놀로지","전자 장비와 제어기"
"Beautiful China","0706","홍콩","테크놀로지","컴퓨터 주변기기"
"Loto Interactive","8198","홍콩","테크놀로지","컴퓨터 주변기기"
"PowerLeader Science & Tech","8236","홍콩","테크놀로지","컴퓨터 주변기기"
"Solargiga Energy Holdings","0757","홍콩","테크놀로지","반도체"
"China ITS","1900","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"REXLot Holdings","0555","홍콩","테크놀로지","컴퓨터 주변기기"
"Jun Yang Financial","0397","홍콩","테크놀로지","반도체"
"Gold Peak Industries","0040","홍콩","테크놀로지","전자 장비와 제어기"
"Vixtel Tech","8342","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"ICO Group Ltd","1460","홍콩","테크놀로지","컴퓨터 서비스"
"Techcomp","1298","홍콩","테크놀로지","과학과 기술 장비"
"Jolimark","2028","홍콩","테크놀로지","컴퓨터 주변기기"
"Hailiang Intl","2336","홍콩","테크놀로지","반도체"
"Global Strategic","8007","홍콩","테크놀로지","컴퓨터 서비스"
"IBO Tech","2708","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"Founder Holdings","0418","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"Tech Pro Tech Develop","3823","홍콩","테크놀로지","전자 장비와 제어기"
"Man Yue Tech","0894","홍콩","테크놀로지","전자 장비와 제어기"
"China Digital Video","8280","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"AV Concept","0595","홍콩","테크놀로지","반도체"
"ISDN Holdings Ltd","1656","홍콩","테크놀로지","반도체"
"Willas Array Electronics Holdings","0854","홍콩","테크놀로지","전자 장비와 제어기"
"ISP Global","8487","홍콩","테크놀로지","전자 장비와 제어기"
"Comtec Solar Systems Group","0712","홍콩","테크놀로지","반도체"
"IDT International","0167","홍콩","테크놀로지","전자 장비와 제어기"
"China Parenting Network","8361","홍콩","테크놀로지","컴퓨터 서비스"
"Perfect Optronics Ltd","8311","홍콩","테크놀로지","전자 장비와 제어기"
"CIL","0479","홍콩","테크놀로지","컴퓨터 하드웨어"
"China Binary Sale Tech","8255","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"Sis Mobile","1362","홍콩","테크놀로지","전자 장비와 제어기"
"Microware Group","1985","홍콩","테크놀로지","컴퓨터 서비스"
"IMS Group","8136","홍콩","테크놀로지","전자 장비와 제어기"
"China Trends Holdings","8171","홍콩","테크놀로지","전자 장비와 제어기"
"Datronix","0889","홍콩","테크놀로지","전자 장비와 제어기"
"Zhongtian Intl","2379","홍콩","테크놀로지","컴퓨터 서비스"
"CMON","8278","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"Yan Tat","1480","홍콩","테크놀로지","반도체"
"Prosten Health","8026","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"OneForce Holdings","1933","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"Capxon Intl Electronic","0469","홍콩","테크놀로지","전자 장비와 제어기"
"Northia Strategic Holdings","8080","홍콩","테크놀로지","반도체"
"Linekong Interactive Group Co Ltd","8267","홍콩","테크놀로지","컴퓨터 서비스"
"Pantronics Holdings Ltd","1611","홍콩","테크놀로지","전자 장비와 제어기"
"HongGuang Lighting","8343","홍콩","테크놀로지","반도체"
"PFC Device","8231","홍콩","테크놀로지","반도체"
"China Oil Gangran Energy","8132","홍콩","테크놀로지","전자 장비와 제어기"
"Vital Mobile","6133","홍콩","테크놀로지","통신 장비"
"Mobicon","1213","홍콩","테크놀로지","전자 장비와 제어기"
"Nexion Techn","8420","홍콩","테크놀로지","소프트웨어와 프로그래밍"
"Ruixin Intl","0724","홍콩","테크놀로지","전자 장비와 제어기"
"Suncorp Technologies Ltd","1063","홍콩","테크놀로지","통신 장비"
"Futong Tech Development","0465","홍콩","테크놀로지","컴퓨터 하드웨어"
