"종목","기호","거래소","부문","산업"
"Hindustan Zinc","HZNC","BSE","기초 소재","금속 광업"
"Hindustan Zinc","HZNC","NSE","기초 소재","금속 광업"
"Asian Paints","ASPN","BSE","기초 소재","화학제조"
"Asian Paints","ASPN","NSE","기초 소재","화학제조"
"Vedanta","VDAN","BSE","기초 소재","금속 광업"
"Vedanta","VDAN","NSE","기초 소재","금속 광업"
"JSW Steel","JSTL","BSE","기초 소재","철과 철강"
"JSW Steel","JSTL","NSE","기초 소재","철과 철강"
"Tata Steel Ltd","TISC","BSE","기초 소재","철과 철강"
"Tata Steel Ltd","TISC","NSE","기초 소재","철과 철강"
"Hindalco Ind","HALC","BSE","기초 소재","금속 광업"
"Hindalco Ind","HALC","NSE","기초 소재","금속 광업"
"Pidilite Industries","PIDI","NSE","기초 소재","화학제조"
"Pidilite Industries","PIDI","BSE","기초 소재","화학제조"
"NMDC","NMDC","NSE","기초 소재","금속 광업"
"NMDC","NMDC","BSE","기초 소재","금속 광업"
"United Phosphorus","UPLL","NSE","기초 소재","화학제조"
"United Phosphorus","UPLL","BSE","기초 소재","화학제조"
"Bharat Forge","BFRG","NSE","기초 소재","다종 조립 제품"
"Bharat Forge","BFRG","BSE","기초 소재","다종 조립 제품"
"Havells India","HVEL","BSE","기초 소재","다종 조립 제품"
"Havells India","HVEL","NSE","기초 소재","다종 조립 제품"
"Steel Authority of India","SAIL","BSE","기초 소재","철과 철강"
"Steel Authority of India","SAIL","NSE","기초 소재","철과 철강"
"Kansai Nerolac Paints","KANE","BSE","기초 소재","화학제조"
"Kansai Nerolac Paints","KANE","NSE","기초 소재","화학제조"
"Berger Paints (I)","BRGR","BSE","기초 소재","화학제조"
"Berger Paints (I)","BRGR","NSE","기초 소재","화학제조"
"Jindal","JNSP","BSE","기초 소재","철과 철강"
"Jindal","JNSP","NSE","기초 소재","철과 철강"
"Tata Chemicals","TTCH","NSE","기초 소재","화학제조"
"Tata Chemicals","TTCH","BSE","기초 소재","화학제조"
"Coromandel International","CORF","BSE","기초 소재","화학제조"
"Coromandel International","CORF","NSE","기초 소재","화학제조"
"Supreme Industries","SUPI","NSE","기초 소재","조립식 플라스틱과 고무"
"Supreme Industries","SUPI","BSE","기초 소재","조립식 플라스틱과 고무"
"Bayer Cropscience Ltd","BAYE","NSE","기초 소재","화학제조"
"Bayer Cropscience Ltd","BAYE","BSE","기초 소재","화학제조"
"National Aluminium","NALU","NSE","기초 소재","금속 광업"
"National Aluminium","NALU","BSE","기초 소재","금속 광업"
"PI Industries","PIIL","NSE","기초 소재","화학제조"
"PI Industries","PIIL","BSE","기초 소재","화학제조"
"Sundram Fasteners","SNFS","NSE","기초 소재","다종 조립 제품"
"Sundram Fasteners","SNFS","BSE","기초 소재","다종 조립 제품"
"Astral Poly Technik Ltd","ASPT","NSE","기초 소재","조립식 플라스틱과 고무"
"Astral Poly Technik Ltd","ASPT","BSE","기초 소재","조립식 플라스틱과 고무"
"Finolex Cables","FNXC","NSE","기초 소재","다종 조립 제품"
"Finolex Cables","FNXC","BSE","기초 소재","다종 조립 제품"
"Solar Industries India Ltd","SLIN","NSE","기초 소재","화학제조"
"Solar Industries India Ltd","SLIN","BSE","기초 소재","화학제조"
"Rashtriya Chem. and Fertil.","RSTC","BSE","기초 소재","화학제조"
"Rashtriya Chem. and Fertil.","RSTC","NSE","기초 소재","화학제조"
"Forbes &","FBGX","BSE","기초 소재","다종 조립 제품"
"Gujarat Mineral Development","GMDC","NSE","기초 소재","금속 광업"
"Gujarat Mineral Development","GMDC","BSE","기초 소재","금속 광업"
"Navin Fluorine","NAFL","BSE","기초 소재","화학제조"
"Navin Fluorine","NAFL","NSE","기초 소재","화학제조"
"Essel Propack","ESSL","NSE","기초 소재","컨테이너와 포장"
"Essel Propack","ESSL","BSE","기초 소재","컨테이너와 포장"
"S H Kelkar And Company Ltd","SHKE","NSE","기초 소재","화학제조"
"S H Kelkar And Company Ltd","SHKE","BSE","기초 소재","화학제조"
"Phillips Carbon Black Ltd","PHIL","NSE","기초 소재","화학제조"
"Phillips Carbon Black Ltd","PHIL","BSE","기초 소재","화학제조"
"BOC India","LIND","NSE","기초 소재","화학제조"
"BOC India","LIND","BSE","기초 소재","화학제조"
"Jindal Stainless","JINA","BSE","기초 소재","철과 철강"
"Jindal Stainless","JINA","NSE","기초 소재","철과 철강"
"Jindal Stainless","JIST","BSE","기초 소재","다종 조립 제품"
"Jindal Stainless","JIST","NSE","기초 소재","다종 조립 제품"
"Welspun Corp","WGSR","NSE","기초 소재","철과 철강"
"Welspun Corp","WGSR","BSE","기초 소재","철과 철강"
"Sharda Cropchem Ltd","SHCR","NSE","기초 소재","화학제조"
"Sharda Cropchem Ltd","SHCR","BSE","기초 소재","화학제조"
"Sintex Plastics","SINT","NSE","기초 소재","조립식 플라스틱과 고무"
"Sintex Plastics","SINT","BSE","기초 소재","조립식 플라스틱과 고무"
"Excel Crop Care Ltd","EXCR","NSE","기초 소재","화학제조"
"Excel Crop Care Ltd","EXCR","BSE","기초 소재","화학제조"
"Fertilisers Chemicals Travancore","FCTL","NSE","기초 소재","화학제조"
"Fertilisers Chemicals Travancore","FCTL","BSE","기초 소재","화학제조"
"Deepak Nitrite Ltd","DPNT","NSE","기초 소재","화학제조"
"Deepak Nitrite Ltd","DPNT","BSE","기초 소재","화학제조"
"Nocil Ltd","NOCI","NSE","기초 소재","화학제조"
"Nocil Ltd","NOCI","BSE","기초 소재","화학제조"
"Jamna Auto","JMNA","BSE","기초 소재","다종 조립 제품"
"Jamna Auto","JMNA","NSE","기초 소재","다종 조립 제품"
"Star Ferro Cement Ltd","STRF","NSE","기초 소재","철과 철강"
"Supreme Petrochem","SPTL","BSE","기초 소재","화학 제품 – 플라스틱과 고무"
"Supreme Petrochem","SPTL","NSE","기초 소재","화학 제품 – 플라스틱과 고무"
"Sudarshan Chemical Industries","SDCH","BSE","기초 소재","화학제조"
"Sudarshan Chemical Industries","SDCH","NSE","기초 소재","화학제조"
"Maharashtra Seamless","MHSM","BSE","기초 소재","철과 철강"
