"종목","기호","거래소","부문","산업"
"Larsen&Toubro","LART","BSE","자본재","건설 서비스"
"Larsen&Toubro","LART","NSE","자본재","건설 서비스"
"UltraTech","ULTC","BSE","자본재","건설 – 원자재"
"UltraTech","ULTC","NSE","자본재","건설 – 원자재"
"Grasim Industries","GRAS","BSE","자본재","건설 – 원자재"
"Grasim Industries","GRAS","NSE","자본재","건설 – 원자재"
"Bharti Infratel Ltd","BHRI","NSE","자본재","건설 서비스"
"Bharti Infratel Ltd","BHRI","BSE","자본재","건설 서비스"
"Shree Cements","SHCM","BSE","자본재","건설 – 원자재"
"Shree Cements","SHCM","NSE","자본재","건설 – 원자재"
"Ambuja Cements","ABUJ","NSE","자본재","건설 – 원자재"
"Ambuja Cements","ABUJ","BSE","자본재","건설 – 원자재"
"DLF","DLF","NSE","자본재","건설 서비스"
"DLF","DLF","BSE","자본재","건설 서비스"
"Bharat Electronics","BAJE","NSE","자본재","항공 우주와 방위"
"Bharat Electronics","BAJE","BSE","자본재","항공 우주와 방위"
"Bharat Elec.","BHEL","BSE","자본재","다종 자본재"
"Bharat Elec.","BHEL","NSE","자본재","다종 자본재"
"ACC","ACC","NSE","자본재","건설 – 원자재"
"ACC","ACC","BSE","자본재","건설 – 원자재"
"Dalmia Bharat Ltd","DALA","NSE","자본재","건설 – 원자재"
"Dalmia Bharat Ltd","DALA","BSE","자본재","건설 – 원자재"
"3M India","TMIN","BSE","자본재","건설 – 용품과 비품"
"3M India","TMIN","NSE","자본재","건설 – 용품과 비품"
"Voltas","VOLT","NSE","자본재","다종 자본재"
"Voltas","VOLT","BSE","자본재","다종 자본재"
"커민스","CUMM","NSE","자본재","다종 자본재"
"커민스","CUMM","BSE","자본재","다종 자본재"
"Oberoi Realty","OEBO","BSE","자본재","건설 서비스"
"Oberoi Realty","OEBO","NSE","자본재","건설 서비스"
"NBCC India","NBCC","NSE","자본재","건설 서비스"
"NBCC India","NBCC","BSE","자본재","건설 서비스"
"Madras Cements","TRCE","NSE","자본재","건설 – 원자재"
"Madras Cements","TRCE","BSE","자본재","건설 – 원자재"
"Godrej Properties","GODR","BSE","자본재","건설 서비스"
"Godrej Properties","GODR","NSE","자본재","건설 서비스"
"Dilip Buildcon","DIBL","BSE","자본재","건설 서비스"
"Dilip Buildcon","DIBL","NSE","자본재","건설 서비스"
"AIA Engineering","AIAE","NSE","자본재","다종 자본재"
"AIA Engineering","AIAE","BSE","자본재","다종 자본재"
"Thermax","THMX","NSE","자본재","다종 자본재"
"Thermax","THMX","BSE","자본재","다종 자본재"
"Century Textiles & Industries","CNTY","BSE","자본재","건설 – 원자재"
"Century Textiles & Industries","CNTY","NSE","자본재","건설 – 원자재"
"L&T Technology Services","LTEH","BSE","자본재","건설 서비스"
