"종목","기호","거래소","부문","산업"
"HDFC Bank","HDBK","NSE","금융","지방 은행"
"HDFC Bank","HDBK","BSE","금융","지방 은행"
"Housing Dev Fin","HDFC","BSE","금융","소비자 금융 서비스"
"Housing Dev Fin","HDFC","NSE","금융","소비자 금융 서비스"
"State Bank","SBI","NSE","금융","지방 은행"
"State Bank","SBI","BSE","금융","지방 은행"
"Kotak Mahindra","KTKM","NSE","금융","지방 은행"
"Kotak Mahindra","KTKM","BSE","금융","지방 은행"
"ICICI Bank","ICBK","NSE","금융","지방 은행"
"ICICI Bank","ICBK","BSE","금융","지방 은행"
"Axis Bank","AXBK","BSE","금융","지방 은행"
"Axis Bank","AXBK","NSE","금융","지방 은행"
"IndusInd Bank","INBK","NSE","금융","지방 은행"
"IndusInd Bank","INBK","BSE","금융","지방 은행"
"Bajaj Finance","BJFN","BSE","금융","소비자 금융 서비스"
"Bajaj Finance","BJFN","NSE","금융","소비자 금융 서비스"
"HDFC Standard","HDFS","BSE","금융","보험 (생명)"
"HDFC Standard","HDFS","NSE","금융","보험 (생명)"
"Bajaj Finserv Limited","BJFS","BSE","금융","보험 (생명)"
"Bajaj Finserv Limited","BJFS","NSE","금융","보험 (생명)"
"Yes Bank","YESB","NSE","금융","지방 은행"
"Yes Bank","YESB","BSE","금융","지방 은행"
"SBI Life Insurance","SBIL","NSE","금융","보험 (생명)"
"SBI Life Insurance","SBIL","BSE","금융","보험 (생명)"
"General Insurance India","GENA","NSE","금융","보험 (생명)"
"General Insurance India","GENA","BSE","금융","보험 (생명)"
"New India Assurance","THEE","BSE","금융","보험(다종)"
"New India Assurance","THEE","NSE","금융","보험(다종)"
"ICICI Prudential Life Insurance","ICIR","NSE","금융","보험 (생명)"
"ICICI Prudential Life Insurance","ICIR","BSE","금융","보험 (생명)"
"Indiabulls","INBF","BSE","금융","소비자 금융 서비스"
"Indiabulls","INBF","NSE","금융","소비자 금융 서비스"
"ICICI Lombard","ICIL","NSE","금융","보험 (손해)"
"ICICI Lombard","ICIL","BSE","금융","보험 (손해)"
"Bank of Baroda","BOB","BSE","금융","지방 은행"
"Bank of Baroda","BOB","NSE","금융","지방 은행"
"Shriram Transport Finance","SRTR","BSE","금융","소비자 금융 서비스"
"Shriram Transport Finance","SRTR","NSE","금융","소비자 금융 서비스"
"Aditya Birla Capital","ADTB","BSE","금융","소비자 금융 서비스"
"Aditya Birla Capital","ADTB","NSE","금융","소비자 금융 서비스"
"Bajaj Holdings","BJAT","NSE","금융","소비자 금융 서비스"
"Bajaj Holdings","BJAT","BSE","금융","소비자 금융 서비스"
"LT Finance Holdings Ltd","LTFH","NSE","금융","소비자 금융 서비스"
"LT Finance Holdings Ltd","LTFH","BSE","금융","소비자 금융 서비스"
"Mahindra & Mahindra Financial","MMFS","NSE","금융","소비자 금융 서비스"
"Mahindra & Mahindra Financial","MMFS","BSE","금융","소비자 금융 서비스"
"LIC Housing Finance","LICH","NSE","금융","소비자 금융 서비스"
"LIC Housing Finance","LICH","BSE","금융","소비자 금융 서비스"
"Rural Electrification","RURL","NSE","금융","다종 금융 서비스"
"Rural Electrification","RURL","BSE","금융","다종 금융 서비스"
"Bank of India","BOI","NSE","금융","지방 은행"
"Bank of India","BOI","BSE","금융","지방 은행"
"TI Financial","TIFH","NSE","금융","소비자 금융 서비스"
"TI Financial","TIFH","BSE","금융","소비자 금융 서비스"
"Max Financial","MAXI","BSE","금융","보험(상해와 건강)"
"Max Financial","MAXI","NSE","금융","보험(상해와 건강)"
"City Union Bank","CTBK","BSE","금융","지방 은행"
"City Union Bank","CTBK","NSE","금융","지방 은행"
"JM Financial","JMSH","BSE","금융","소비자 금융 서비스"
"JM Financial","JMSH","NSE","금융","소비자 금융 서비스"
"Reliance Capital","RLCP","BSE","금융","투자 서비스"
"Reliance Capital","RLCP","NSE","금융","투자 서비스"
"Manappuram Finance Ltd","MNFL","NSE","금융","소비자 금융 서비스"
"Manappuram Finance Ltd","MNFL","BSE","금융","소비자 금융 서비스"
"Union Bank of India","UNBK","NSE","금융","지방 은행"
"Union Bank of India","UNBK","BSE","금융","지방 은행"
"IDFC","IDFC","NSE","금융","소비자 금융 서비스"
"IDFC","IDFC","BSE","금융","소비자 금융 서비스"
"Karur Vysya Bank","KARU","NSE","금융","지방 은행"
"Karur Vysya Bank","KARU","BSE","금융","지방 은행"
"Can Fin Homes","CNFH","BSE","금융","소비자 금융 서비스"
"Can Fin Homes","CNFH","NSE","금융","소비자 금융 서비스"
"Capital First","CAPF","BSE","금융","소비자 금융 서비스"
"Capital First","CAPF","NSE","금융","소비자 금융 서비스"
"Vijaya Bank","VJBK","BSE","금융","지방 은행"
"Vijaya Bank","VJBK","NSE","금융","지방 은행"
"Syndicate Bank","SBNK","NSE","금융","지방 은행"
"Syndicate Bank","SBNK","BSE","금융","지방 은행"
"State Bank of Bikaner and Jaipur","SBKB","NSE","금융","지방 은행"
"Indian Overseas Bank","IOBK","NSE","금융","지방 은행"
"Indian Overseas Bank","IOBK","BSE","금융","지방 은행"
"Development Credit Bank","DCBA","NSE","금융","지방 은행"
"Development Credit Bank","DCBA","BSE","금융","지방 은행"
"Equitas Holdings","EQHL","BSE","금융","소비자 금융 서비스"
"Equitas Holdings","EQHL","NSE","금융","소비자 금융 서비스"
"Indian Energy Exchange","IIAN","NSE","금융","투자 서비스"
"Indian Energy Exchange","IIAN","BSE","금융","투자 서비스"
"State Bank of Travancore","SBKT","NSE","금융","지방 은행"
"Allahabad Bank","ALBK","BSE","금융","지방 은행"
"Allahabad Bank","ALBK","NSE","금융","지방 은행"
"Ujjivan Financial Services Ltd","UJVF","NSE","금융","소비자 금융 서비스"
"Ujjivan Financial Services Ltd","UJVF","BSE","금융","소비자 금융 서비스"
"The South Indian Bank","SIBK","BSE","금융","지방 은행"
"The South Indian Bank","SIBK","NSE","금융","지방 은행"
"Tata Investment Corporation","TINV","NSE","금융","투자 서비스"
"Tata Investment Corporation","TINV","BSE","금융","투자 서비스"
"UCO Bank","UCBK","NSE","금융","지방 은행"
"UCO Bank","UCBK","BSE","금융","지방 은행"
"SREI Infrastructure Finance","SREI","BSE","금융","소비자 금융 서비스"
"SREI Infrastructure Finance","SREI","NSE","금융","소비자 금융 서비스"
"Andhra Bank","ADBK","BSE","금융","지방 은행"
"Andhra Bank","ADBK","NSE","금융","지방 은행"
"Magma Fincorp","MAGM","BSE","금융","소비자 금융 서비스"
"Magma Fincorp","MAGM","NSE","금융","소비자 금융 서비스"
"Repco Home Finance Ltd","RHFL","BSE","금융","소비자 금융 서비스"
"Repco Home Finance Ltd","RHFL","NSE","금융","소비자 금융 서비스"
"Corporation Bank","CRBK","NSE","금융","지방 은행"
"Corporation Bank","CRBK","BSE","금융","지방 은행"
"Multi Commodity Exchange Of India","MCEI","NSE","금융","투자 서비스"
"Multi Commodity Exchange Of India","MCEI","BSE","금융","투자 서비스"
"The Jammu & Kashmir Bank","JKBK","BSE","금융","지방 은행"
"The Jammu & Kashmir Bank","JKBK","NSE","금융","지방 은행"
"IFCI","IFCI","NSE","금융","소비자 금융 서비스"
"IFCI","IFCI","BSE","금융","소비자 금융 서비스"
"The Karnataka Bank","KBNK","BSE","금융","지방 은행"
"The Karnataka Bank","KBNK","NSE","금융","지방 은행"
"MAS Financial","MASF","NSE","금융","소비자 금융 서비스"
"MAS Financial","MASF","BSE","금융","소비자 금융 서비스"
"Oriental Bank of Commerce","ORBC","BSE","금융","지방 은행"
"Oriental Bank of Commerce","ORBC","NSE","금융","지방 은행"
"Central Depository Services","CENA","NSE","금융","지방 은행"
"State Bank Of Mysore","SBKM","NSE","금융","지방 은행"
"Reliance Home Finance","RLIC","NSE","금융","소비자 금융 서비스"
"Reliance Home Finance","RLIC","BSE","금융","소비자 금융 서비스"
"Centrum Capital Ltd","CENC","BSE","금융","투자 서비스"
"Lakshmi Vilas Bank","LVLS","BSE","금융","지방 은행"
"Lakshmi Vilas Bank","LVLS","NSE","금융","지방 은행"
"Max India","MAID","NSE","금융","보험(상해와 건강)"
"Max India","MAID","BSE","금융","보험(상해와 건강)"
"Kirloskar Brothers Investments","KBIL","NSE","금융","다종 금융 서비스"
"Geojit BNP Paribas","GEOJ","BSE","금융","투자 서비스"
"Geojit BNP Paribas","GEOJ","NSE","금융","투자 서비스"
"Dena Bank","DENA","NSE","금융","지방 은행"
"Dena Bank","DENA","BSE","금융","지방 은행"
"Pilani Investment And Industries Co","PILN","NSE","금융","다종 금융 서비스"
"Pilani Investment And Industries Co","PILN","BSE","금융","다종 금융 서비스"
"GIC Housing Finance Ltd","GICH","BSE","금융","소비자 금융 서비스"
"GIC Housing Finance Ltd","GICH","NSE","금융","소비자 금융 서비스"
"Punjab Sind Bank","PUNA","NSE","금융","지방 은행"
"Punjab Sind Bank","PUNA","BSE","금융","지방 은행"
"United Bank Of India","UBOI","BSE","금융","지방 은행"
"United Bank Of India","UBOI","NSE","금융","지방 은행"
"Satin Creditcare Network Ltd","SATR","BSE","금융","소비자 금융 서비스"
"Satin Creditcare Network Ltd","SATR","NSE","금융","소비자 금융 서비스"
"Bank Of Maharashtra","BMBK","NSE","금융","지방 은행"
"Bank Of Maharashtra","BMBK","BSE","금융","지방 은행"
"Jindal South West Holdings","JNSW","BSE","금융","투자 서비스"
"Jindal South West Holdings","JNSW","NSE","금융","투자 서비스"
"Capri Global Capital","CAPG","BSE","금융","소비자 금융 서비스"
"PTC India Financial Services","PTCN","NSE","금융","다종 금융 서비스"
"PTC India Financial Services","PTCN","BSE","금융","다종 금융 서비스"
"Capri Global Capital","CAPG","NSE","금융","소비자 금융 서비스"
"Muthoot Capital Services Ltd","MUTH","NSE","금융","소비자 금융 서비스"
"Muthoot Capital Services Ltd","MUTH","BSE","금융","소비자 금융 서비스"
"SE Investments","PISA","BSE","금융","소비자 금융 서비스"
"Weizmann Forex Ltd","WEIM","NSE","금융","투자 서비스"
"SE Investments","PISA","NSE","금융","소비자 금융 서비스"
"Tourism Finance Corp of India","TFCI","NSE","금융","소비자 금융 서비스"
"Tourism Finance Corp of India","TFCI","BSE","금융","소비자 금융 서비스"
"Weizmann Forex Ltd","WEIM","BSE","금융","투자 서비스"
"Greencrest Fin Services","GRCR","BSE","금융","투자 서비스"
"Vardhman Holdings Ltd","VRDM","BSE","금융","소비자 금융 서비스"
"Vardhman Holdings Ltd","VRDM","NSE","금융","소비자 금융 서비스"
"Fortune Financial","FRTN","NSE","금융","투자 서비스"
"Fortune Financial","FRTN","BSE","금융","투자 서비스"
"BF Investment Ltd","BFIN","BSE","금융","투자 서비스"
"BF Investment Ltd","BFIN","NSE","금융","투자 서비스"
"Kalyani Investment Company Ltd","KALA","BSE","금융","투자 서비스"
"Kalyani Investment Company Ltd","KALA","NSE","금융","투자 서비스"
"Religare Enterprises","RELG","NSE","금융","투자 서비스"
"Religare Enterprises","RELG","BSE","금융","투자 서비스"
"Summit Securities Ltd","SUMM","BSE","금융","소비자 금융 서비스"
"Summit Securities Ltd","SUMM","NSE","금융","소비자 금융 서비스"
"Pneumatic Holdings Ltd","PNEU","NSE","금융","다종 금융 서비스"
"PNB Gilts Ltd","PNBG","NSE","금융","투자 서비스"
"Nalwa Sons Investments Ltd","NALS","BSE","금융","소비자 금융 서비스"
"PNB Gilts Ltd","PNBG","BSE","금융","투자 서비스"
"Nalwa Sons Investments Ltd","NALS","NSE","금융","소비자 금융 서비스"
"Capital Trust","CAPT","BSE","금융","투자 서비스"
"Capital Trust","CAPT","NSE","금융","투자 서비스"
"Dhanlaxmi Bank Limited","DNBK","BSE","금융","지방 은행"
"Dhanlaxmi Bank Limited","DNBK","NSE","금융","지방 은행"
"IL FS Investment Managers","ILFS","NSE","금융","투자 서비스"
"IL FS Investment Managers","ILFS","BSE","금융","투자 서비스"
"Gold Line International Finvest","GDLN","BSE","금융","소비자 금융 서비스"
"Paul Merchants Ltd","PAUL","BSE","금융","소비자 금융 서비스"
"Finkurve Financial Services","FINK","BSE","금융","소비자 금융 서비스"
"Garnet Intl","GARN","BSE","금융","투자 서비스"
"Mahanivesh India","MAHL","BSE","금융","투자 서비스"
"5Paisa","PAIS","NSE","금융","투자 서비스"
"5Paisa","PAIS","BSE","금융","투자 서비스"
"63 Moons Tech","63MO","NSE","금융","투자 서비스"
"63 Moons Tech","63MO","BSE","금융","투자 서비스"
"SRG Housing Finance","SRGH","BSE","금융","소비자 금융 서비스"
"Kiran Vyapar","KIRN","BSE","금융","소비자 금융 서비스"
"Sil Investments Ltd","SILI","NSE","금융","다종 금융 서비스"
"Sil Investments Ltd","SILI","BSE","금융","다종 금융 서비스"
"Emkay Global Fin Services","EMKS","BSE","금융","투자 서비스"
"Emkay Global Fin Services","EMKS","NSE","금융","투자 서비스"
"CSL Finance","CSLF","BSE","금융","소비자 금융 서비스"
"Sastasundar Ventures","SAST","BSE","금융","다종 금융 서비스"
"Sastasundar Ventures","SAST","NSE","금융","다종 금융 서비스"
"Pritika Auto","PITI","BSE","금융","투자 서비스"
"Yamini Investments Company Ltd","YAMI","BSE","금융","다종 금융 서비스"
"Aditya Birla Money Ltd","ABML","BSE","금융","투자 서비스"
"Aditya Birla Money Ltd","ABML","NSE","금융","투자 서비스"
"A K Capital Services","AKCL","BSE","금융","소비자 금융 서비스"
"GeeCee Ventures Ltd","GECE","BSE","금융","다종 금융 서비스"
"GeeCee Ventures Ltd","GECE","NSE","금융","다종 금융 서비스"
"V L S Finance Ltd","VLSF","BSE","금융","투자 서비스"
"V L S Finance Ltd","VLSF","NSE","금융","투자 서비스"
"Share India Securities","SCAC","BSE","금융","투자 서비스"
"Choice Intl","CFSL","BSE","금융","투자 서비스"
"Arihant Capital Markets","ARCM","BSE","금융","투자 서비스"
"Industrial Investment Trust","INDI","BSE","금융","투자 서비스"
"Industrial Investment Trust","INDI","NSE","금융","투자 서비스"
"Industrial and Prudential Investment","INPR","BSE","금융","투자 서비스"
"Nahar Capital Fin Services","NAHA","BSE","금융","투자 서비스"
"Nahar Capital Fin Services","NAHA","NSE","금융","투자 서비스"
"Consolidated Finvest Holding","CONS","NSE","금융","다종 금융 서비스"
"Stampede Capital","STAM","NSE","금융","투자 서비스"
"Stampede Capital","STAM","BSE","금융","투자 서비스"
"Global Infratech Finance","GLOB","BSE","금융","다종 금융 서비스"
"Dolat Investments","DOLA","BSE","금융","다종 금융 서비스"
"STEL Holdings Ltd","STEL","NSE","금융","다종 금융 서비스"
"STEL Holdings Ltd","STEL","BSE","금융","다종 금융 서비스"
"Monarch Networth Capital Ltd","MONR","BSE","금융","투자 서비스"
"LKP Finance","LKPM","BSE","금융","지방 은행"
"Arman Financial","ARLF","BSE","금융","소비자 금융 서비스"
"Arman Financial","ARLF","NSE","금융","소비자 금융 서비스"
"Oswal Agro Mills","OWAG","BSE","금융","다종 금융 서비스"
"NBI Industrial","NBII","NSE","금융","투자 서비스"
"Baid Leasing and Finance Co","BAID","BSE","금융","소비자 금융 서비스"
"HB Stockholdings Ltd","HBSH","BSE","금융","투자 서비스"
"Pro Fin Capital Services","PFCS","BSE","금융","소비자 금융 서비스"
"HB Stockholdings Ltd","HBSH","NSE","금융","투자 서비스"
"Shree Global Tradefin Ltd BSE","SHGT","BSE","금융","투자 서비스"
"Sai Baba Invest","SICE","BSE","금융","소비자 금융 서비스"
"Inventure Growth Securities","IGSL","BSE","금융","투자 서비스"
"Inventure Growth Securities","IGSL","NSE","금융","투자 서비스"
"Inditrade Capital","ICLI","BSE","금융","투자 서비스"
"India Home Loan","INDH","BSE","금융","소비자 금융 서비스"
