"종목","기호","거래소","부문","산업"
"Sun Pharma AR","SUN","NSE","보건의료","생물공학 및 약품"
"Sun Pharma AR","SUN","BSE","보건의료","생물공학 및 약품"
"Cipla","CIPL","NSE","보건의료","생물공학 및 약품"
"Cipla","CIPL","BSE","보건의료","생물공학 및 약품"
"Piramal Enterprises Ltd","PIRA","NSE","보건의료","생물공학 및 약품"
"Piramal Enterprises Ltd","PIRA","BSE","보건의료","생물공학 및 약품"
"Cadila Healthcare","CADI","BSE","보건의료","생물공학 및 약품"
"Cadila Healthcare","CADI","NSE","보건의료","생물공학 및 약품"
"지멘스","SIEM","BSE","보건의료","의료 장비와 용품"
"지멘스","SIEM","NSE","보건의료","의료 장비와 용품"
"Biocon","BION","BSE","보건의료","생물공학 및 약품"
"Biocon","BION","NSE","보건의료","생물공학 및 약품"
"Ranbaxy Lab.","RANB","NSE","보건의료","생물공학 및 약품"
"Dr Reddys Lab","REDY","NSE","보건의료","생물공학 및 약품"
"Dr Reddys Lab","REDY","BSE","보건의료","생물공학 및 약품"
"Lupin","LUPN","BSE","보건의료","생물공학 및 약품"
"Lupin","LUPN","NSE","보건의료","생물공학 및 약품"
"Aurobindo Pharma","ARBN","NSE","보건의료","기간 약품"
"Aurobindo Pharma","ARBN","BSE","보건의료","기간 약품"
"Divis Laboratories","DIVI","NSE","보건의료","생물공학 및 약품"
"Divis Laboratories","DIVI","BSE","보건의료","생물공학 및 약품"
"Alkem Laboratories Ltd","ALKE","NSE","보건의료","생물공학 및 약품"
"Alkem Laboratories Ltd","ALKE","BSE","보건의료","생물공학 및 약품"
"Torrent Pharmaceuticals","TORP","NSE","보건의료","생물공학 및 약품"
"Torrent Pharmaceuticals","TORP","BSE","보건의료","생물공학 및 약품"
"GSK Pharmaceuticals","GLAX","NSE","보건의료","생물공학 및 약품"
"GSK Pharmaceuticals","GLAX","BSE","보건의료","생물공학 및 약품"
"Glenmark Pharmaceuticals","GLEN","NSE","보건의료","생물공학 및 약품"
"Glenmark Pharmaceuticals","GLEN","BSE","보건의료","생물공학 및 약품"
"Apollo Hospitals","APLH","BSE","보건의료","헬쓰케어 설비"
"Apollo Hospitals","APLH","NSE","보건의료","헬쓰케어 설비"
"Natco Pharma Ltd","NATP","BSE","보건의료","생물공학 및 약품"
"Natco Pharma Ltd","NATP","NSE","보건의료","생물공학 및 약품"
"Jubilant Life Sciences","JULS","NSE","보건의료","생물공학 및 약품"
"Jubilant Life Sciences","JULS","BSE","보건의료","생물공학 및 약품"
"Ajanta Pharma Ltd","AJPH","BSE","보건의료","생물공학 및 약품"
"Ajanta Pharma Ltd","AJPH","NSE","보건의료","생물공학 및 약품"
"Sanofi India","SANO","BSE","보건의료","생물공학 및 약품"
"Sanofi India","SANO","NSE","보건의료","생물공학 및 약품"
"Syngene International Ltd","SYNN","NSE","보건의료","생물공학 및 약품"
