"종목","기호","거래소","부문","산업"
"ITC","ITC","BSE","소비재/ 경기 방어형","담배"
"ITC","ITC","NSE","소비재/ 경기 방어형","담배"
"Hindu Unilever","HLL","NSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Hindu Unilever","HLL","BSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Nestle India Ltd","NEST","BSE","소비재/ 경기 방어형","식품 가공"
"Nestle India Ltd","NEST","NSE","소비재/ 경기 방어형","식품 가공"
"Godrej Consumer Products","GOCP","NSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Godrej Consumer Products","GOCP","BSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Britannia Industries","BRIT","NSE","소비재/ 경기 방어형","식품 가공"
"Britannia Industries","BRIT","BSE","소비재/ 경기 방어형","식품 가공"
"Dabur India","DABU","BSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Dabur India","DABU","NSE","소비재/ 경기 방어형","개인과 가계용 제품"
"United Spirits","UNSP","BSE","소비재/ 경기 방어형","음료(알코올성)"
"United Spirits","UNSP","NSE","소비재/ 경기 방어형","음료(알코올성)"
"Marico","MRCO","BSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Marico","MRCO","NSE","소비재/ 경기 방어형","개인과 가계용 제품"
"프록터 앤 갬블","PROC","BSE","소비재/ 경기 방어형","개인과 가계용 제품"
"프록터 앤 갬블","PROC","NSE","소비재/ 경기 방어형","개인과 가계용 제품"
"콜게이트-팜올리브","COLG","NSE","소비재/ 경기 방어형","개인과 가계용 제품"
"콜게이트-팜올리브","COLG","BSE","소비재/ 경기 방어형","개인과 가계용 제품"
"GSK Consumer Healthcare","GLSM","BSE","소비재/ 경기 방어형","식품 가공"
"GSK Consumer Healthcare","GLSM","NSE","소비재/ 경기 방어형","식품 가공"
"United Breweries","UBBW","NSE","소비재/ 경기 방어형","음료(알코올성)"
"United Breweries","UBBW","BSE","소비재/ 경기 방어형","음료(알코올성)"
"Emami","EMAM","NSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Emami","EMAM","BSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Gillette India","GILE","NSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Gillette India","GILE","BSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Godrej Industries","GODI","BSE","소비재/ 경기 방어형","식품 가공"
"Godrej Industries","GODI","NSE","소비재/ 경기 방어형","식품 가공"
"Tata Global Beverages","TAGL","NSE","소비재/ 경기 방어형","식품 가공"
"Tata Global Beverages","TAGL","BSE","소비재/ 경기 방어형","식품 가공"
"Godrej Agrovet","GODE","BSE","소비재/ 경기 방어형","식품 가공"
"Godrej Agrovet","GODE","NSE","소비재/ 경기 방어형","식품 가공"
"Varun Beverages","VARB","NSE","소비재/ 경기 방어형","음료 (비알코올성)"
"Varun Beverages","VARB","BSE","소비재/ 경기 방어형","음료 (비알코올성)"
"Hatsun Agro Product Ltd","HAPL","BSE","소비재/ 경기 방어형","식품 가공"
"Hatsun Agro Product Ltd","HAPL","NSE","소비재/ 경기 방어형","식품 가공"
"KRBL Ltd","KRBL","NSE","소비재/ 경기 방어형","식품 가공"
"KRBL Ltd","KRBL","BSE","소비재/ 경기 방어형","식품 가공"
"Avanti Feeds Ltd","AVNT","BSE","소비재/ 경기 방어형","식품 가공"
"Avanti Feeds Ltd","AVNT","NSE","소비재/ 경기 방어형","식품 가공"
"Bombay Burmah Trading","BBRM","NSE","소비재/ 경기 방어형","곡물"
"Bombay Burmah Trading","BBRM","BSE","소비재/ 경기 방어형","곡물"
"Advanta India","ADVI","NSE","소비재/ 경기 방어형","곡물"
"Jyothy Laboratories Ltd","JYOI","NSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Jyothy Laboratories Ltd","JYOI","BSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Bajaj Corp Ltd","BACO","BSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Bajaj Corp Ltd","BACO","NSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Welspun","WLSP","NSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Prabhat Dairy Ltd","PRDA","BSE","소비재/ 경기 방어형","식품 가공"
"Sanwaria Agro Oils Ltd","SNWR","NSE","소비재/ 경기 방어형","식품 가공"
"Sanwaria Agro Oils Ltd","SNWR","BSE","소비재/ 경기 방어형","식품 가공"
"G M Breweries Ltd","GMBR","NSE","소비재/ 경기 방어형","음료(알코올성)"
"G M Breweries Ltd","GMBR","BSE","소비재/ 경기 방어형","음료(알코올성)"
"DFM Foods","DFMF","BSE","소비재/ 경기 방어형","식품 가공"
"DFM Foods","DFMF","NSE","소비재/ 경기 방어형","식품 가공"
"Kwality Ltd","KDAI","BSE","소비재/ 경기 방어형","식품 가공"
"Kwality Ltd","KDAI","NSE","소비재/ 경기 방어형","식품 가공"
"Andrew Yule","ANDY","BSE","소비재/ 경기 방어형","곡물"
"Kokuyo Camlin Ltd","KOCL","NSE","소비재/ 경기 방어형","사무용품"
"Kokuyo Camlin Ltd","KOCL","BSE","소비재/ 경기 방어형","사무용품"
"Waterbase","WTRB","BSE","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Triveni Engineering","TREI","BSE","소비재/ 경기 방어형","식품 가공"
"Triveni Engineering","TREI","NSE","소비재/ 경기 방어형","식품 가공"
"Bajaj Hindusthan Limited","BJHN","NSE","소비재/ 경기 방어형","식품 가공"
"Bajaj Hindusthan Limited","BJHN","BSE","소비재/ 경기 방어형","식품 가공"
"The Dhampur Sugar Mills","DAMS","BSE","소비재/ 경기 방어형","식품 가공"
"The Dhampur Sugar Mills","DAMS","NSE","소비재/ 경기 방어형","식품 가공"
"Jayant Agro Organics Ltd","JAAO","NSE","소비재/ 경기 방어형","식품 가공"
"Jayant Agro Organics Ltd","JAAO","BSE","소비재/ 경기 방어형","식품 가공"
"KSE","KSE","BSE","소비재/ 경기 방어형","식품 가공"
"Chaman Lal Setia Exports Ltd","CLSE","BSE","소비재/ 경기 방어형","식품 가공"
"Nath Bio Genes India Ltd","NATB","BSE","소비재/ 경기 방어형","곡물"
"Nath Bio Genes India Ltd","NATB","NSE","소비재/ 경기 방어형","곡물"
"HPC Biosciences Ltd","HPBC","BSE","소비재/ 경기 방어형","곡물"
"Goodricke Group","GDRC","BSE","소비재/ 경기 방어형","식품 가공"
"SOM Distilleries Breweries","SDB","BSE","소비재/ 경기 방어형","음료(알코올성)"
"SOM Distilleries Breweries","SDB","NSE","소비재/ 경기 방어형","음료(알코올성)"
"Linc Pen & Plastics Ltd","LINC","BSE","소비재/ 경기 방어형","사무용품"
"Linc Pen & Plastics Ltd","LINC","NSE","소비재/ 경기 방어형","사무용품"
"Vadilal Industries Ltd","VDLI","NSE","소비재/ 경기 방어형","식품 가공"
"Vadilal Industries Ltd","VDLI","BSE","소비재/ 경기 방어형","식품 가공"
"Florence Investech","FLOE","BSE","소비재/ 경기 방어형","곡물"
"AVT Natural Products Ltd","AVTN","NSE","소비재/ 경기 방어형","식품 가공"
"AVT Natural Products Ltd","AVTN","BSE","소비재/ 경기 방어형","식품 가공"
"Ruchi Soya Industries","RCSY","NSE","소비재/ 경기 방어형","식품 가공"
"Ruchi Soya Industries","RCSY","BSE","소비재/ 경기 방어형","식품 가공"
"Dalmia Bharat Sugar","DLMI","BSE","소비재/ 경기 방어형","식품 가공"
"Dalmia Bharat Sugar","DLMI","NSE","소비재/ 경기 방어형","식품 가공"
"IFB Agro Industries Ltd","IFBA","NSE","소비재/ 경기 방어형","음료(알코올성)"
"IFB Agro Industries Ltd","IFBA","BSE","소비재/ 경기 방어형","음료(알코올성)"
"Dwarikesh Sugar Industries","DWAR","BSE","소비재/ 경기 방어형","식품 가공"
"Dwarikesh Sugar Industries","DWAR","NSE","소비재/ 경기 방어형","식품 가공"
"Esteem Bio Organic Food Processing","ESTE","BSE","소비재/ 경기 방어형","식품 가공"
"Binny Ltd","BINN","BSE","소비재/ 경기 방어형","곡물"
"Avadh Sugar Energy","AVAD","BSE","소비재/ 경기 방어형","식품 가공"
"Dhunseri Petrochem Ltd","DHUN","NSE","소비재/ 경기 방어형","식품 가공"
"Avadh Sugar Energy","AVAD","NSE","소비재/ 경기 방어형","식품 가공"
"Dhunseri Petrochem Ltd","DHUN","BSE","소비재/ 경기 방어형","식품 가공"
"Associated Alcohols & Breweries","ASAL","BSE","소비재/ 경기 방어형","음료(알코올성)"
"Riddhi Siddhi GluCo Biols","RSGB","BSE","소비재/ 경기 방어형","식품 가공"
"Eco Friendly Food Processing Park","ECOF","BSE","소비재/ 경기 방어형","곡물"
"Upper Ganges Sugar","UGSI","NSE","소비재/ 경기 방어형","식품 가공"
"Jagatjit Ind","JGJJ","BSE","소비재/ 경기 방어형","음료(알코올성)"
"ADF Foods Ltd","AMRN","BSE","소비재/ 경기 방어형","식품 가공"
"ADF Foods Ltd","AMRN","NSE","소비재/ 경기 방어형","식품 가공"
"JK Agri Genetics","JKAG","BSE","소비재/ 경기 방어형","곡물"
"Sat Ind","STIN","BSE","소비재/ 경기 방어형","개인과 가계용 제품"
"Amrit","AMRB","BSE","소비재/ 경기 방어형","식품 가공"
"Hindustan Foods","HFDS","BSE","소비재/ 경기 방어형","식품 가공"
"Uttam Sugar Mills Ltd","UTSM","BSE","소비재/ 경기 방어형","식품 가공"
