"종목","기호","거래소","부문","산업"
"Bharti Airtel","BRTI","NSE","서비스","통신 서비스"
"Bharti Airtel","BRTI","BSE","서비스","통신 서비스"
"Avenue Supermarts","AVEU","NSE","서비스","소매(식료잡화)"
"Avenue Supermarts","AVEU","BSE","서비스","소매(식료잡화)"
"Zee Entertainment Enterprises","ZEE","BSE","서비스","방송과 케이블 티브이"
"Zee Entertainment Enterprises","ZEE","NSE","서비스","방송과 케이블 티브이"
"Sun TV Network Ltd","SUTV","NSE","서비스","방송과 케이블 티브이"
"Sun TV Network Ltd","SUTV","BSE","서비스","방송과 케이블 티브이"
"Idea Cellular","IDEA","NSE","서비스","통신 서비스"
"Idea Cellular","IDEA","BSE","서비스","통신 서비스"
"Future Retail","FRTL","NSE","서비스","소매(식료잡화)"
"Future Retail","FRTL","BSE","서비스","소매(식료잡화)"
"Tata Communications","TATA","BSE","서비스","통신 서비스"
"Tata Communications","TATA","NSE","서비스","통신 서비스"
"The Indian Hotels","IHTL","NSE","서비스","호텔과 모텔"
"The Indian Hotels","IHTL","BSE","서비스","호텔과 모텔"
"Jubilant Foodworks","JUBI","NSE","서비스","레스토랑"
"Jubilant Foodworks","JUBI","BSE","서비스","레스토랑"
"Quess Corp","QUEC","BSE","서비스","사업 서비스"
"Quess Corp","QUEC","NSE","서비스","사업 서비스"
"CRISIL","CRSL","BSE","서비스","사업 서비스"
"CRISIL","CRSL","NSE","서비스","사업 서비스"
"Aditya Birla Fashion","ADIA","NSE","서비스","소매(의복)"
"Aditya Birla Fashion","ADIA","BSE","서비스","소매(의복)"
"TV18 Broadcast","TVEB","NSE","서비스","방송과 케이블 티브이"
"TV18 Broadcast","TVEB","BSE","서비스","방송과 케이블 티브이"
"Trent","TREN","BSE","서비스","소매(의복)"
"Trent","TREN","NSE","서비스","소매(의복)"
"Prestige Estates Projects","PREG","BSE","서비스","부동산 운용"
"Prestige Estates Projects","PREG","NSE","서비스","부동산 운용"
"Future Consumer","FTRE","BSE","서비스","소매(백화점과 할인점)"
"Future Consumer","FTRE","NSE","서비스","소매(백화점과 할인점)"
"Thomas Cook","THOM","NSE","서비스","개인 서비스"
"Thomas Cook","THOM","BSE","서비스","개인 서비스"
"Engineers India","ENGI","NSE","서비스","사업 서비스"
"Engineers India","ENGI","BSE","서비스","사업 서비스"
"EIH","EIHO","BSE","서비스","호텔과 모텔"
"EIH","EIHO","NSE","서비스","호텔과 모텔"
"Indiabulls Real Estate Ltd","INRL","NSE","서비스","부동산 운용"
"Indiabulls Real Estate Ltd","INRL","BSE","서비스","부동산 운용"
"Security and Intelligence","SECR","NSE","서비스","보안 시스템과 서비스"
"Security and Intelligence","SECR","BSE","서비스","보안 시스템과 서비스"
"Infibeam","INFC","NSE","서비스","소매(카탈로그와 메일 주문)"
"Infibeam","INFC","BSE","서비스","소매(카탈로그와 메일 주문)"
"Cyient Ltd-B","CYIE","NSE","서비스","인쇄와 출판"
"Cyient Ltd-B","CYIE","BSE","서비스","인쇄와 출판"
"Dish TV India Limited","DSTV","NSE","서비스","방송과 케이블 티브이"
"Dish TV India Limited","DSTV","BSE","서비스","방송과 케이블 티브이"
"Delta Corp","DELT","NSE","서비스","부동산 운용"
"Delta Corp","DELT","BSE","서비스","부동산 운용"
"Music Broadcast","MUSI","BSE","서비스","방송과 케이블 티브이"
"DEN Networks Ltd","DENN","BSE","서비스","방송과 케이블 티브이"
"DEN Networks Ltd","DENN","NSE","서비스","방송과 케이블 티브이"
"HT Media","HTML","NSE","서비스","인쇄와 출판"
"HT Media","HTML","BSE","서비스","인쇄와 출판"
"Wonderla Holidays Ltd","WOHL","NSE","서비스","여가 활동"
"Wonderla Holidays Ltd","WOHL","BSE","서비스","여가 활동"
"Future Enterprises A","FURE","NSE","서비스","소매(백화점과 할인점)"
"Future Enterprises A","FURE","BSE","서비스","소매(백화점과 할인점)"
"Zee Media Corp Ltd","ZEEN","NSE","서비스","방송과 케이블 티브이"
"Zee Media Corp Ltd","ZEEN","BSE","서비스","방송과 케이블 티브이"
"NIIT","NIIT","NSE","서비스","학교"
"NIIT","NIIT","BSE","서비스","학교"
"Hindustan Media Ventures Ltd","HINS","NSE","서비스","인쇄와 출판"
"Hindustan Media Ventures Ltd","HINS","BSE","서비스","인쇄와 출판"
"Eros International Media Ltd","EROS","BSE","서비스","영화"
"Eros International Media Ltd","EROS","NSE","서비스","영화"
"GTPL Hathway","GTPH","NSE","서비스","방송과 케이블 티브이"
"GTPL Hathway","GTPH","BSE","서비스","방송과 케이블 티브이"
"EIH Associated Hotels Ltd","EIHA","NSE","서비스","호텔과 모텔"
"EIH Associated Hotels Ltd","EIHA","BSE","서비스","호텔과 모텔"
"S Chand & Co","SCHA","BSE","서비스","인쇄와 출판"
"S Chand & Co","SCHA","NSE","서비스","인쇄와 출판"
"V2 Retail Ltd","VREL","BSE","서비스","소매(의복)"
"V2 Retail Ltd","VREL","NSE","서비스","소매(의복)"
"Shemaroo Entertainment PVT","SHEM","NSE","서비스","방송과 케이블 티브이"
"Shemaroo Entertainment PVT","SHEM","BSE","서비스","방송과 케이블 티브이"
"Hinduja Ventures Ltd","HNDJ","BSE","서비스","방송과 케이블 티브이"
"Hinduja Ventures Ltd","HNDJ","NSE","서비스","방송과 케이블 티브이"
"Kaya Ltd","KAYA","NSE","서비스","개인 서비스"
"Kaya Ltd","KAYA","BSE","서비스","개인 서비스"
"Balaji Telefilms Limited","BLTE","BSE","서비스","영화"
"Balaji Telefilms Limited","BLTE","NSE","서비스","영화"
"Khadim India","KHAD","NSE","서비스","소매(의복)"
"Khadim India","KHAD","BSE","서비스","소매(의복)"
"Siti Networks","SITI","NSE","서비스","방송과 케이블 티브이"
"Siti Networks","SITI","BSE","서비스","방송과 케이블 티브이"
"BLS International Services","BLSN","BSE","서비스","사업 서비스"
"BLS International Services","BLSN","NSE","서비스","사업 서비스"
"Mahanagar Telephone Nigam","MTNL","NSE","서비스","통신 서비스"
