"종목","기호","거래소","부문","산업"
"NTPC","NTPC","BSE","유틸러티","전기 유틸러티"
"NTPC","NTPC","NSE","유틸러티","전기 유틸러티"
"Power Grid","PGRD","NSE","유틸러티","전기 유틸러티"
"Power Grid","PGRD","BSE","유틸러티","전기 유틸러티"
"GAIL Ltd","GAIL","NSE","유틸러티","천연가스 유틸러티"
"GAIL Ltd","GAIL","BSE","유틸러티","천연가스 유틸러티"
"NHPC","NHPC","BSE","유틸러티","전기 유틸러티"
"NHPC","NHPC","NSE","유틸러티","전기 유틸러티"
"Tata Power","TTPW","BSE","유틸러티","전기 유틸러티"
"Tata Power","TTPW","NSE","유틸러티","전기 유틸러티"
"Adani Transmission Ltd","ADAI","BSE","유틸러티","전기 유틸러티"
"Adani Transmission Ltd","ADAI","NSE","유틸러티","전기 유틸러티"
"Indraprastha Gas","IGAS","BSE","유틸러티","천연가스 유틸러티"
"Indraprastha Gas","IGAS","NSE","유틸러티","천연가스 유틸러티"
"Sjvn Ltd","SJVN","NSE","유틸러티","전기 유틸러티"
"Sjvn Ltd","SJVN","BSE","유틸러티","전기 유틸러티"
"CESC","CESC","BSE","유틸러티","전기 유틸러티"
"CESC","CESC","NSE","유틸러티","전기 유틸러티"
"NLC India","NLCI","BSE","유틸러티","전기 유틸러티"
"NLC India","NLCI","NSE","유틸러티","전기 유틸러티"
"JSW Energy","JSWE","BSE","유틸러티","전기 유틸러티"
"JSW Energy","JSWE","NSE","유틸러티","전기 유틸러티"
"Gujarat Gas Company","GGAS","BSE","유틸러티","천연가스 유틸러티"
"Gujarat Gas Company","GGAS","NSE","유틸러티","천연가스 유틸러티"
"Torrent Power Ltd","TOPO","BSE","유틸러티","전기 유틸러티"
"Torrent Power Ltd","TOPO","NSE","유틸러티","전기 유틸러티"
"Gujarat State Petronet","GSPT","BSE","유틸러티","천연가스 유틸러티"
"Gujarat State Petronet","GSPT","NSE","유틸러티","천연가스 유틸러티"
"Reliance Power","RPOL","BSE","유틸러티","전기 유틸러티"
"Reliance Power","RPOL","NSE","유틸러티","전기 유틸러티"
"Mahanagar Gas","MGAS","NSE","유틸러티","천연가스 유틸러티"
"Mahanagar Gas","MGAS","BSE","유틸러티","천연가스 유틸러티"
"Adani Power","ADAN","NSE","유틸러티","전기 유틸러티"
"Adani Power","ADAN","BSE","유틸러티","전기 유틸러티"
"Time Technoplast Ltd","TIME","BSE","유틸러티","전기 유틸러티"
"Time Technoplast Ltd","TIME","NSE","유틸러티","전기 유틸러티"
"Jaiprakash Power Ventures","JAPR","BSE","유틸러티","전기 유틸러티"
"Jaiprakash Power Ventures","JAPR","NSE","유틸러티","전기 유틸러티"
"Va Tech Wabag Ltd","VATE","BSE","유틸러티","수도 유틸러티"
"Va Tech Wabag Ltd","VATE","NSE","유틸러티","수도 유틸러티"
"India Power Corp Ltd","DPSC","NSE","유틸러티","전기 유틸러티"
"PTC India","PTCI","NSE","유틸러티","전기 유틸러티"
"PTC India","PTCI","BSE","유틸러티","전기 유틸러티"
"Nava Bharat Ventures","NABV","NSE","유틸러티","전기 유틸러티"
"Nava Bharat Ventures","NABV","BSE","유틸러티","전기 유틸러티"
"RattanIndia Power","RTNP","NSE","유틸러티","전기 유틸러티"
"RattanIndia Power","RTNP","BSE","유틸러티","전기 유틸러티"
"Gujarat Industries Power","GJIP","NSE","유틸러티","전기 유틸러티"
"Gujarat Industries Power","GJIP","BSE","유틸러티","전기 유틸러티"
"Confidence Petroleum India","CONF","BSE","유틸러티","천연가스 유틸러티"
"RattanIndia Infrastructure","RTNI","NSE","유틸러티","전기 유틸러티"
"RattanIndia Infrastructure","RTNI","BSE","유틸러티","전기 유틸러티"
"Orient Green Power Co Ltd","ORIN","BSE","유틸러티","전기 유틸러티"
"Orient Green Power Co Ltd","ORIN","NSE","유틸러티","전기 유틸러티"
"KSK Energy Ventures","KSKE","NSE","유틸러티","전기 유틸러티"
"KSK Energy Ventures","KSKE","BSE","유틸러티","전기 유틸러티"
"Urja Global","URJA","NSE","유틸러티","전기 유틸러티"
"Urja Global","URJA","BSE","유틸러티","전기 유틸러티"
"Sahyadri Ind","SAHY","BSE","유틸러티","전기 유틸러티"
"KP Energy","KPEN","BSE","유틸러티","전기 유틸러티"
"Entegra Ltd","ENTI","NSE","유틸러티","전기 유틸러티"
"Entegra Ltd","ENTI","BSE","유틸러티","전기 유틸러티"
"Energy Development Company Ltd","EDCO","NSE","유틸러티","전기 유틸러티"
"Energy Development Company Ltd","EDCO","BSE","유틸러티","전기 유틸러티"
"Indowind Energy Ltd","INWI","NSE","유틸러티","전기 유틸러티"
"Indowind Energy Ltd","INWI","BSE","유틸러티","전기 유틸러티"
"Karma Energy Ltd","KRME","NSE","유틸러티","전기 유틸러티"
"Karma Energy Ltd","KRME","BSE","유틸러티","전기 유틸러티"
"SE Power Ltd","SEPW","NSE","유틸러티","전기 유틸러티"
"SE Power Ltd","SEPW","BSE","유틸러티","전기 유틸러티"
"Morgan Ventures","MORG","BSE","유틸러티","전기 유틸러티"
"Suryachakra Power","SURY","BSE","유틸러티","전기 유틸러티"
"EPIC Energy","EPEN","BSE","유틸러티","전기 유틸러티"
"Anjani Finance","ANFI","BSE","유틸러티","전기 유틸러티"
