"종목","기호","거래소","부문","산업"
"Sanyo Special Steel Co Ltd","5481","도쿄","기초 소재","다종 조립 제품"
"Toho Titanium","5727","도쿄","기초 소재","다종 조립 제품"
"Aichi Steel Corp","5482","도쿄","기초 소재","철과 철강"
"T.Hasegawa Co Ltd","4958","도쿄","기초 소재","화학제조"
"Kumiai Chemical Industry","4996","도쿄","기초 소재","화학제조"
"Kyoei Steel Ltd","5440","도쿄","기초 소재","철과 철강"
"Tocalo Co Ltd","3433","도쿄","기초 소재","다종 조립 제품"
"Dainichiseika Color Chemical","4116","도쿄","기초 소재","화학제조"
"C.Uyemura &","4966","도쿄","기초 소재","화학제조"
"Pack Corp","3950","도쿄","기초 소재","컨테이너와 포장"
"후루카와 기계금속","5715","도쿄","기초 소재","금속 광업"
"Oiles Corp","6282","도쿄","기초 소재","다종 조립 제품"
"Mitsuboshi Belting","5192","도쿄","기초 소재","조립식 플라스틱과 고무"
"Osaka Titanium Tech Co Ltd","5726","도쿄","기초 소재","다종 조립 제품"
"Fujimori Kogyo","7917","도쿄","기초 소재","컨테이너와 포장"
"Tayca Corp","4027","도쿄","기초 소재","화학제조"
"Nichiban Co Ltd","4218","도쿄","기초 소재","컨테이너와 포장"
"Chugoku Marine Paints","4617","도쿄","기초 소재","화학제조"
"Toyo Kohan Co Ltd","5453","도쿄","기초 소재","철과 철강"
"Sumitomo Seika Chemicals","4008","도쿄","기초 소재","화학 제품 – 플라스틱과 고무"
"JCU Corp","4975","도쿄","기초 소재","화학제조"
"토호아연","5707","도쿄","기초 소재","금속 광업"
"Konishi Co Ltd","4956","도쿄","기초 소재","화학제조"
"Takiron Co Ltd","4215","도쿄","기초 소재","화학 제품 – 플라스틱과 고무"
"Daiso Co Ltd","4046","도쿄","기초 소재","화학 제품 – 플라스틱과 고무"
"Daiken Corp","7905","도쿄","기초 소재","임업과 목재 제품"
"태평양 금속","5541","도쿄","기초 소재","금속 광업"
"Tokushu Tokai Paper","3708","도쿄","기초 소재","종이와 종이 제품"
"Nippon Thompson","6480","도쿄","기초 소재","다종 조립 제품"
"Kanto Denka Kogyo","4047","도쿄","기초 소재","화학제조"
"Sakai Chemical Industry","4078","도쿄","기초 소재","화학제조"
"Bando Chemical Industries","5195","도쿄","기초 소재","조립식 플라스틱과 고무"
"Sekisui Plastics","4228","도쿄","기초 소재","화학 제품 – 플라스틱과 고무"
"Tenma Corp","7958","도쿄","기초 소재","컨테이너와 포장"
"Matsuda Sangyo","7456","도쿄","기초 소재","철과 철강"
"Maeda Kosen Co Ltd","7821","도쿄","기초 소재","조립식 플라스틱과 고무"
"Nippon Valqua Industries","7995","도쿄","기초 소재","다종 조립 제품"
"Alconix Corp","3036","도쿄","기초 소재","다종 조립 제품"
"Matsumoto Yushi Seiyaku","4365","도쿄","기초 소재","화학제조"
"Ishihara Sangyo Kaisha Ltd","4028","도쿄","기초 소재","화학제조"
"Nippon Denko Co Ltd","5563","도쿄","기초 소재","철과 철강"
"Koatsu Gas Kogyo","4097","도쿄","기초 소재","화학제조"
"Neturen Co Ltd","5976","도쿄","기초 소재","다종 조립 제품"
"DKS Co Ltd","4461","도쿄","기초 소재","화학제조"
"CK San-Etsu","5757","도쿄","기초 소재","다종 조립 제품"
"Dai Nippon Toryo","4611","도쿄","기초 소재","화학제조"
"Nakayama Steel Works","5408","도쿄","기초 소재","철과 철강"
"Nippon Yakin Kogyo","5480","도쿄","기초 소재","철과 철강"
"Nihon Nohyaku","4997","도쿄","기초 소재","화학제조"
"Stella Chemifa Corp","4109","도쿄","기초 소재","화학제조"
"Tsutsumi Jewelry","7937","도쿄","기초 소재","다종 조립 제품"
"Tomoku Co Ltd","3946","도쿄","기초 소재","컨테이너와 포장"
"Hodogaya Chemical","4112","도쿄","기초 소재","화학 제품 – 플라스틱과 고무"
"Nichirin","5184","도쿄","기초 소재","조립식 플라스틱과 고무"
"Tanaka Chemical","4080","도쿄","기초 소재","화학제조"
