"종목","기호","거래소","부문","산업"
"Maeda Corp","1824","도쿄","자본재","건설 서비스"
"OSG Corp","6136","도쿄","자본재","다종 자본재"
"Toshiba Plant Systems Services","1983","도쿄","자본재","건설 서비스"
"Penta-Ocean Const Co Ltd","1893","도쿄","자본재","건설 서비스"
"Sho Bond Holdings","1414","도쿄","자본재","건설 서비스"
"오쿠마","6103","도쿄","자본재","다종 자본재"
"Fujitsu General Ltd","6755","도쿄","자본재","다종 자본재"
"Tadano Ltd","6395","도쿄","자본재","건설과 농업용 기계"
"Fuji Machine Mfg.","6134","도쿄","자본재","다종 자본재"
"Maeda Road Construction","1883","도쿄","자본재","건설 서비스"
"스미토모 오사카 시멘트","5232","도쿄","자본재","건설 – 원자재"
"Investors Cloud","1435","도쿄","자본재","건설 서비스"
"Okumura Corp","1833","도쿄","자본재","건설 서비스"
"Daikyo Inc","8840","도쿄","자본재","건설 서비스"
"Tokyo Seimitsu","7729","도쿄","자본재","다종 자본재"
"Trusco Nakayama","9830","도쿄","자본재","다종 자본재"
"Tokyo Ohka Kogyo","4186","도쿄","자본재","다종 자본재"
"Chudenko Corp","1941","도쿄","자본재","건설 서비스"
"Tsubakimoto Chain Co","6371","도쿄","자본재","다종 자본재"
"CKD Corp","6407","도쿄","자본재","다종 자본재"
"Takasago Thermal Eng","1969","도쿄","자본재","건설 서비스"
"Kumagai Gumi","1861","도쿄","자본재","건설 서비스"
"Nichiha Corp","7943","도쿄","자본재","건설 – 용품과 비품"
"Optorun","6235","도쿄","자본재","다종 자본재"
"Hazama Ando Corp","1719","도쿄","자본재","건설 서비스"
"Mitani","8066","도쿄","자본재","건설 – 원자재"
"Nishimatsu Const Co Ltd","1820","도쿄","자본재","건설 서비스"
"Japan Material","6055","도쿄","자본재","건설 서비스"
"Nissha Printing","7915","도쿄","자본재","다종 자본재"
"Mirait Holdings Corp","1417","도쿄","자본재","건설 서비스"
"Token Corp","1766","도쿄","자본재","건설 서비스"
"Takara Standard","7981","도쿄","자본재","건설 – 용품과 비품"
"Obara Group Inc","6877","도쿄","자본재","건설과 농업용 기계"
"Fujitec Co Ltd","6406","도쿄","자본재","다종 자본재"
"Kayaba Industry Co Ltd","7242","도쿄","자본재","다종 자본재"
"Nippon Densetsu Kogyo","1950","도쿄","자본재","건설 서비스"
"Katitas","8919","도쿄","자본재","건설 서비스"
"Makino Milling Machine Co Ltd","6135","도쿄","자본재","다종 자본재"
"Tokyu Construction","1720","도쿄","자본재","건설 서비스"
"Taikisha Ltd","1979","도쿄","자본재","건설 서비스"
"Totetsu Kogyo","1835","도쿄","자본재","건설 서비스"
"Takamatsu Construction Group","1762","도쿄","자본재","건설 서비스"
"Takeuchi Mfg Co Ltd","6432","도쿄","자본재","건설과 농업용 기계"
"Nissei ASB Machine","6284","도쿄","자본재","다종 자본재"
"Toshiba Machine Co Ltd","6104","도쿄","자본재","다종 자본재"
"Sanyo Denki Co Ltd","6516","도쿄","자본재","다종 자본재"
"Central Glass Co Ltd","4044","도쿄","자본재","건설 – 용품과 비품"
"Yamazen Corp","8051","도쿄","자본재","다종 자본재"
"Hirata","6258","도쿄","자본재","다종 자본재"
"Yokogawa Bridge","5911","도쿄","자본재","건설 서비스"
"Sumitomo Mitsui Construction","1821","도쿄","자본재","건설 서비스"
"Fukushima Industries","6420","도쿄","자본재","다종 자본재"
"Pressance Corp","3254","도쿄","자본재","건설 서비스"
"Futaba Corp","6986","도쿄","자본재","다종 자본재"
"Aida Engineering","6118","도쿄","자본재","다종 자본재"
"Riso Kagaku Corp","6413","도쿄","자본재","다종 자본재"
"히타치 조선","7004","도쿄","자본재","다종 자본재"
"Star Micronics","7718","도쿄","자본재","다종 자본재"
"Shinmaywa Industries Ltd","7224","도쿄","자본재","항공 우주와 방위"
"Metawater Co Ltd","9551","도쿄","자본재","건설 서비스"
"Komori Corp","6349","도쿄","자본재","다종 자본재"
"Nikkiso Co Ltd","6376","도쿄","자본재","다종 자본재"
"Giken","6289","도쿄","자본재","건설과 농업용 기계"
"헤이와 부동산","8803","도쿄","자본재","건설 서비스"
"Goldcrest Co Ltd","8871","도쿄","자본재","건설 서비스"
"Union Tool Co","6278","도쿄","자본재","다종 자본재"
"닛폰판유리","5202","도쿄","자본재","건설 – 용품과 비품"
"Sumitomo Densetsu","1949","도쿄","자본재","건설 서비스"
"Sanki Engineering","1961","도쿄","자본재","건설 서비스"
"Bunka Shutter","5930","도쿄","자본재","건설 – 용품과 비품"
"Nittoku Engineering","6145","도쿄","자본재","다종 자본재"
"Sodick Co Ltd","6143","도쿄","자본재","다종 자본재"
"Tsugami Corp","6101","도쿄","자본재","다종 자본재"
"Nagawa","9663","도쿄","자본재","건설 서비스"
"Es-con Japan","8892","도쿄","자본재","건설 서비스"
"Shinnihon Corp","1879","도쿄","자본재","건설 서비스"
"Tsukishima Kikai","6332","도쿄","자본재","다종 자본재"
"Mitsubishi Nichiyu Forklift","7105","도쿄","자본재","다종 자본재"
"Noritake Co Ltd","5331","도쿄","자본재","건설 – 용품과 비품"
