"종목","기호","거래소","부문","산업"
"TOA Co","6809","도쿄","경기 민감형 소비재","오디오와 비디오 장비"
"Fujibo Holdings Inc","3104","도쿄","경기 민감형 소비재","직물 – 비의류"
"Yorozu Corp","7294","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Studio Alice Co Ltd","2305","도쿄","경기 민감형 소비재","사진술"
"UMC Electronics Co","6615","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Taiho Kogyo Co Ltd","6470","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"IJT Tech","7315","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Showa Aircraft Industry","7404","도쿄","경기 민감형 소비재","자동차와 트럭 제조"
"Murakami","7292","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Yutaka Giken","7229","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Polatechno","4239","도쿄","경기 민감형 소비재","사진술"
"Fields Corp","2767","도쿄","경기 민감형 소비재","여가용 제품"
"H-One","5989","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Akebono Brake Industry","7238","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"유니티카","3103","도쿄","경기 민감형 소비재","직물 – 비의류"
"Achilles Corp","5142","도쿄","경기 민감형 소비재","직물 – 비의류"
"Corona Corp","5909","도쿄","경기 민감형 소비재","가전과 공구"
"Happinet Corp","7552","도쿄","경기 민감형 소비재","여가용 제품"
"Itoki Corp","7972","도쿄","경기 민감형 소비재","가구와 비품"
"Central Automotive Products","8117","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"GFoot Co Ltd","2686","도쿄","경기 민감형 소비재","신발"
"Yachiyo Industry","7298","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Tachikawa","7989","도쿄","경기 민감형 소비재","가구와 비품"
"Kawai Musical Instruments","7952","도쿄","경기 민감형 소비재","여가용 제품"
"Matsuoka","3611","도쿄","경기 민감형 소비재","의복/액세서리"
"Globeride Inc","7990","도쿄","경기 민감형 소비재","여가용 제품"
"Morito","9837","도쿄","경기 민감형 소비재","의복/액세서리"
"Fuji Miyagi","7605","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Yasunaga Corp","7271","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Sankyo Seiko Co Ltd","8018","도쿄","경기 민감형 소비재","의복/액세서리"
"SK-Electronics","6677","도쿄","경기 민감형 소비재","사진술"
"Sanyo Shokai Ltd","8011","도쿄","경기 민감형 소비재","의복/액세서리"
"Jichodo","3597","도쿄","경기 민감형 소비재","의복/액세서리"
"Ohashi Technica Inc","7628","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"FuRyu Corp","6238","도쿄","경기 민감형 소비재","여가용 제품"
"Sanoh Industrial","6584","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Funai Electric","6839","도쿄","경기 민감형 소비재","오디오와 비디오 장비"
"Odelic","6889","도쿄","경기 민감형 소비재","가구와 비품"
"Yagi &","7460","도쿄","경기 민감형 소비재","의복/액세서리"
"Kitagawa Iron Works","6317","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Imasen Electric Industrial","7266","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Suncall Corp","5985","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Miyakoshi Holdings","6620","도쿄","경기 민감형 소비재","오디오와 비디오 장비"
"F-Tech","7212","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"SNT Corp","6319","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Ahresty Corp","5852","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"U-Shin","6985","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Inaba Seisakusho","3421","도쿄","경기 민감형 소비재","가구와 비품"
"Kyowa Leather Cloth","3553","도쿄","경기 민감형 소비재","직물 – 비의류"
"Takihyo Co Ltd","9982","도쿄","경기 민감형 소비재","의복/액세서리"
"Rhythm Watch Co Ltd","7769","도쿄","경기 민감형 소비재","보석 및 은제품"
"Hikari Furniture","8191","도쿄","경기 민감형 소비재","가구와 비품"
"Suminoe Textile","3501","도쿄","경기 민감형 소비재","직물 – 비의류"
"Mikuni Corp","7247","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Atsugi Co Ltd","3529","도쿄","경기 민감형 소비재","의복/액세서리"
"Snow Peak","7816","도쿄","경기 민감형 소비재","여가용 제품"
"Nippon Piston Ring","6461","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Nihon Plast","7291","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Alpha Corp","3434","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Hibino","2469","도쿄","경기 민감형 소비재","오디오와 비디오 장비"
"Sakai Ovex Co Ltd","3408","도쿄","경기 민감형 소비재","직물 – 비의류"
"Daidoh Ltd","3205","도쿄","경기 민감형 소비재","의복/액세서리"
"Idea International","3140","도쿄","경기 민감형 소비재","가전과 공구"
"Renown Inc","3606","도쿄","경기 민감형 소비재","의복/액세서리"
"Dainichi Co Ltd","5951","도쿄","경기 민감형 소비재","가전과 공구"
"Endo Lighting Corp","6932","도쿄","경기 민감형 소비재","가구와 비품"
"Nakayamafuku Co Ltd","7442","도쿄","경기 민감형 소비재","가구와 비품"
"Shikibo Ltd","3109","도쿄","경기 민감형 소비재","의복/액세서리"
"SPK Corp","7466","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"TBK Co Ltd","7277","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"King Co Ltd","8118","도쿄","경기 민감형 소비재","의복/액세서리"
"Sotoh","3571","도쿄","경기 민감형 소비재","직물 – 비의류"
"Takano Co Ltd","7885","도쿄","경기 민감형 소비재","가구와 비품"
"Tomoegawa Co Ltd","3878","도쿄","경기 민감형 소비재","사진술"
"Powdertech","5695","도쿄","경기 민감형 소비재","사진술"
"Ashimori Industry","3526","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Tokyo Radiator Mfg","7235","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Yamato International","8127","도쿄","경기 민감형 소비재","의복/액세서리"
"Weds","7551","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Nichidai","6467","도쿄","경기 민감형 소비재","자동차와 트럭 부품"
"Iwasaki Electric","6924","도쿄","경기 민감형 소비재","가구와 비품"
"TEAC Corp","6803","도쿄","경기 민감형 소비재","오디오와 비디오 장비"
