"종목","기호","거래소","부문","산업"
"Fukui Bank Ltd","8362","도쿄","금융","지방 은행"
"Ichiyoshi Securities","8624","도쿄","금융","투자 서비스"
"Towa Bank Ltd","8558","도쿄","금융","지방 은행"
"Aruhi","7198","도쿄","금융","투자 서비스"
"Akita Bank Ltd","8343","도쿄","금융","지방 은행"
"Chukyo Bank Ltd","8530","도쿄","금융","지방 은행"
"Kyokuto Securities","8706","도쿄","금융","투자 서비스"
"Ehime Bank Ltd","8541","도쿄","금융","지방 은행"
"Eighteenth Bank Ltd","8396","도쿄","금융","지방 은행"
"Tochigi Bank Ltd","8550","도쿄","금융","지방 은행"
"NEC Capital Solutions","8793","도쿄","금융","소비자 금융 서비스"
"Newton Financial Consulting","7169","도쿄","금융","보험(다종)"
"Sawada","8699","도쿄","금융","투자 서비스"
"Bank of Saga Ltd","8395","도쿄","금융","지방 은행"
"Aizawa Securities","8708","도쿄","금융","투자 서비스"
"GCA Savvian Corp","2174","도쿄","금융","투자 서비스"
"Fidea Holdings","8713","도쿄","금융","지방 은행"
"IwaiCosmo Holdings","8707","도쿄","금융","투자 서비스"
"UCS","8787","도쿄","금융","소비자 금융 서비스"
"Jimoto Holdings Inc","7161","도쿄","금융","지방 은행"
"First Bank of Toyama","7184","도쿄","금융","지방 은행"
"Morningstar Japan KK","4765","도쿄","금융","다종 금융 서비스"
"Ichigo Hotel REIT","3463","도쿄","금융","다종 금융 서비스"
"Michinoku Bank Ltd","8350","도쿄","금융","지방 은행"
"Dream Incubator Inc","4310","도쿄","금융","보험(상해와 건강)"
"Mito Securities","8622","도쿄","금융","투자 서비스"
"Tsukuba Bank Ltd","8338","도쿄","금융","지방 은행"
"Chiba Kogyo Bank","8337","도쿄","금융","지방 은행"
"Shimizu Bank Ltd","8364","도쿄","금융","지방 은행"
"Tosei REIT","3451","도쿄","금융","다종 금융 서비스"
"Kita Nippon Bank","8551","도쿄","금융","지방 은행"
"Toyo Securities","8614","도쿄","금융","투자 서비스"
"eGuarantee Inc","8771","도쿄","금융","보험 (손해)"
"First Brothers","3454","도쿄","금융","투자 서비스"
"Wellnet Corp","2428","도쿄","금융","다종 금융 서비스"
"Advance Create","8798","도쿄","금융","보험(다종)"
"Taiko Bank Ltd","8537","도쿄","금융","지방 은행"
"Bank of Toyama","8365","도쿄","금융","지방 은행"
"Asax Co Ltd","8772","도쿄","금융","소비자 금융 서비스"
"Mercuria Invest","7190","도쿄","금융","투자 서비스"
"Tomato Bank Ltd","8542","도쿄","금융","지방 은행"
"Fukushima Bank Ltd","8562","도쿄","금융","지방 은행"
"Nagano Bank Ltd","8521","도쿄","금융","지방 은행"
"Premium","7199","도쿄","금융","소비자 금융 서비스"
"DSB Co Ltd","8692","도쿄","금융","투자 서비스"
"Tottori Bank Ltd","8383","도쿄","금융","지방 은행"
"Daito Bank Ltd","8563","도쿄","금융","지방 은행"
"Oak Capital","3113","도쿄","금융","투자 서비스"
"Money Partners Group","8732","도쿄","금융","투자 서비스"
"Hirose Tusyo","7185","도쿄","금융","투자 서비스"
"Tohoku Bank Ltd","8349","도쿄","금융","지방 은행"
"Bank of Kochi Ltd","8416","도쿄","금융","지방 은행"
"Kosei Securities","8617","도쿄","금융","투자 서비스"
"Akatsuki","8737","도쿄","금융","투자 서비스"
"Traders","8704","도쿄","금융","소비자 금융 서비스"
"Wedge","2388","도쿄","금융","소비자 금융 서비스"
"Future Venture Capital","8462","도쿄","금융","투자 서비스"
"Shimane Bank Ltd","7150","도쿄","금융","지방 은행"
