"종목","기호","거래소","부문","산업"
"후루카와 전기공업","5801","도쿄","테크놀로지","전자 장비와 제어기"
"KakakuCom Inc","2371","도쿄","테크놀로지","컴퓨터 서비스"
"It Holdings Corp","3626","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"Azbil Corp","6845","도쿄","테크놀로지","과학과 기술 장비"
"Mabuchi Motor Ltd","6592","도쿄","테크놀로지","전자 장비와 제어기"
"Horiba Ltd","6856","도쿄","테크놀로지","과학과 기술 장비"
"GungHo Online Entertainment","3765","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"니폰전기유리","5214","도쿄","테크놀로지","전자 장비와 제어기"
"Capcom Co Ltd","9697","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"Mixi","2121","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"DeNA Co","2432","도쿄","테크놀로지","컴퓨터 서비스"
"Ns Solutions Corp","2327","도쿄","테크놀로지","컴퓨터 서비스"
"Obic Business Consultants","4733","도쿄","테크놀로지","컴퓨터 네트워크"
"Glory Ltd","6457","도쿄","테크놀로지","사무실 장비"
"닛신보 홀딩스","3105","도쿄","테크놀로지","전자 장비와 제어기"
"Nihon Unisys Ltd","8056","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"Gmo Internet Inc","9449","도쿄","테크놀로지","컴퓨터 서비스"
"GS 유아사","6674","도쿄","테크놀로지","전자 장비와 제어기"
"Topcon Corp","7732","도쿄","테크놀로지","전자 장비와 제어기"
"Koei Tecmo Holdings","3635","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"Ibiden Co Ltd","4062","도쿄","테크놀로지","반도체"
"Amano Corp","6436","도쿄","테크놀로지","사무실 장비"
"다이요유전","6976","도쿄","테크놀로지","전자 장비와 제어기"
"Ushio Inc","6925","도쿄","테크놀로지","전자 장비와 제어기"
"Lasertec Corp","6920","도쿄","테크놀로지","반도체"
"Anritsu Corp","6754","도쿄","테크놀로지","전자 장비와 제어기"
"Toshiba Tec Corp","6588","도쿄","테크놀로지","사무실 장비"
"PKSHA","3993","도쿄","테크놀로지","컴퓨터 서비스"
"Digital Garage","4819","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"Ai Holdings Corp","3076","도쿄","테크놀로지","컴퓨터 주변기기"
"Paramount Bed Holdings","7817","도쿄","테크놀로지","과학과 기술 장비"
"Justsystems Corp","4686","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"Iriso Electronics","6908","도쿄","테크놀로지","전자 장비와 제어기"
"V Technology Co Ltd","7717","도쿄","테크놀로지","전자 장비와 제어기"
"Gree Inc","3632","도쿄","테크놀로지","컴퓨터 서비스"
"Fuji Soft Inc","9749","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"UT Group","2146","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"As One Corp","7476","도쿄","테크놀로지","과학과 기술 장비"
"Net One Systems","7518","도쿄","테크놀로지","컴퓨터 네트워크"
"Japan Aviation Electronics Ltd","6807","도쿄","테크놀로지","전자 장비와 제어기"
"NEC Networks System","1973","도쿄","테크놀로지","컴퓨터 서비스"
"Infomart","2492","도쿄","테크놀로지","컴퓨터 서비스"
"Inaba Denki Sangyo","9934","도쿄","테크놀로지","전자 장비와 제어기"
"Systena Corp","2317","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"오키전기","6703","도쿄","테크놀로지","통신 장비"
"Macnica Fuji Electronics","3132","도쿄","테크놀로지","전자 장비와 제어기"
"Colopl Inc","3668","도쿄","테크놀로지","컴퓨터 서비스"
"SIIX Corp","7613","도쿄","테크놀로지","전자 장비와 제어기"
"Sato Holdings Corp","6287","도쿄","테크놀로지","사무실 장비"
"Japan Display Inc","6740","도쿄","테크놀로지","전자 장비와 제어기"
"TKC Corp","9746","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"Next Co Ltd","2120","도쿄","테크놀로지","컴퓨터 서비스"
"Eizo Corp","6737","도쿄","테크놀로지","컴퓨터 주변기기"
"Daihen Corp","6622","도쿄","테크놀로지","전자 장비와 제어기"
"Miroku Jyoho Service","9928","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"Ryosan Co Ltd","8140","도쿄","테크놀로지","반도체"
"Zigexn","3679","도쿄","테크놀로지","컴퓨터 서비스"
"Shinko Electric Ind Co Ltd","6967","도쿄","테크놀로지","반도체"
"Seiko Holdings Corp","8050","도쿄","테크놀로지","전자 장비와 제어기"
"Nissin Electric","6641","도쿄","테크놀로지","전자 장비와 제어기"
"Maruwa Co Ltd","5344","도쿄","테크놀로지","전자 장비와 제어기"
"Inabata Co Ltd","8098","도쿄","테크놀로지","전자 장비와 제어기"
"NSD Co Ltd","9759","도쿄","테크놀로지","소프트웨어와 프로그래밍"
"Elecom Co Ltd","6750","도쿄","테크놀로지","컴퓨터 데이터 저장 장치"
"Conexio Corp","9422","도쿄","테크놀로지","전자 장비와 제어기"
