"종목","기호","거래소","부문","산업"
"Lion Chemtech","171120","KOSDAQ","기초 소재","조립식 플라스틱과 고무"
"현대비앤지스틸","004560","서울","기초 소재","철과 철강"
"동일산업","004890","서울","기초 소재","철과 철강"
"Kona I","052400","KOSDAQ","기초 소재","조립식 플라스틱과 고무"
"CSA Cosmic","083660","KOSDAQ","기초 소재","화학 제품 – 플라스틱과 고무"
"태경물산","015890","서울","기초 소재","화학제조"
"노루페인트","090350","서울","기초 소재","화학제조"
"포스코강판","058430","서울","기초 소재","철과 철강"
"깨끗한나라","004540","서울","기초 소재","종이와 종이 제품"
"백광산업","001340","서울","기초 소재","화학제조"
"SH에너지화학","002360","서울","기초 소재","화학 제품 – 플라스틱과 고무"
"진양홀딩스","100250","서울","기초 소재","컨테이너와 포장"
"Changhae Ethanol","004650","KOSDAQ","기초 소재","화학제조"
"디씨엠","024090","서울","기초 소재","철과 철강"
"GMP","018290","KOSDAQ","기초 소재","컨테이너와 포장"
"Sambo Corrugated Board","023600","KOSDAQ","기초 소재","컨테이너와 포장"
"황금에스티","032560","서울","기초 소재","철과 철강"
"DNF","092070","KOSDAQ","기초 소재","화학제조"
"Jeongsan Aikang","022220","KOSDAQ","기초 소재","조립식 플라스틱과 고무"
"DRB동일","004840","서울","기초 소재","조립식 플라스틱과 고무"
"화신","010690","서울","기초 소재","다종 조립 제품"
"Posco M-Tech","009520","KOSDAQ","기초 소재","금속 광업"
"경농","002100","서울","기초 소재","화학제조"
"KPM Tech","042040","KOSDAQ","기초 소재","화학제조"
"무림페이퍼","009200","서울","기초 소재","종이와 종이 제품"
"대원전선","006340","서울","기초 소재","다종 조립 제품"
"Geno Focus","187420","KOSDAQ","기초 소재","화학제조"
"TAPEX INC","055490","서울","기초 소재","컨테이너와 포장"
"삼원강재","023000","서울","기초 소재","철과 철강"
"미원화학","134380","서울","기초 소재","화학제조"
"성보화학","003080","서울","기초 소재","화학제조"
"BioSmart","038460","KOSDAQ","기초 소재","조립식 플라스틱과 고무"
"Nano Chem Tech","091970","KOSDAQ","기초 소재","조립식 플라스틱과 고무"
"Unick","011320","KOSDAQ","기초 소재","다종 조립 제품"
"한국제지","002300","서울","기초 소재","종이와 종이 제품"
"삼화왕관","004450","서울","기초 소재","컨테이너와 포장"
"조광페인트","004910","서울","기초 소재","화학제조"
"LTC","170920","KOSDAQ","기초 소재","화학제조"
"금양","001570","서울","기초 소재","화학제조"
"Daejung Chemicals & Metals","120240","KOSDAQ","기초 소재","화학제조"
"Ndfos","238090","KOSDAQ","기초 소재","화학제조"
"KSCB","065940","KOSDAQ","기초 소재","화학제조"
"동일고무벨트","163560","서울","기초 소재","조립식 플라스틱과 고무"
"미원에스씨","107590","서울","기초 소재","화학제조"
"Mobase","101330","KOSDAQ","기초 소재","컨테이너와 포장"
"동방아그로","007590","서울","기초 소재","화학제조"
"DaeryukCan","004780","KOSDAQ","기초 소재","컨테이너와 포장"
"대창단조","015230","서울","기초 소재","다종 조립 제품"
"Wonik Cube","014190","KOSDAQ","기초 소재","화학제조"
"가온전선","000500","서울","기초 소재","다종 조립 제품"
"동성화학","005190","서울","기초 소재","화학 제품 – 플라스틱과 고무"
"Essen Tech","043340","KOSDAQ","기초 소재","다종 조립 제품"
"대창","012800","서울","기초 소재","다종 조립 제품"
"영보화학","014440","서울","기초 소재","컨테이너와 포장"
"Yonghyun BM","089230","KOSDAQ","기초 소재","다종 조립 제품"
"Kuk-Il Paper MFG","078130","KOSDAQ","기초 소재","종이와 종이 제품"
"수출포장","002200","서울","기초 소재","컨테이너와 포장"
"대영포장","014160","서울","기초 소재","종이와 종이 제품"
"BMT","086670","KOSDAQ","기초 소재","다종 조립 제품"
"Taeyang","053620","KOSDAQ","기초 소재","화학제조"
"Ocean Bridge","241790","KOSDAQ","기초 소재","화학제조"
"KPX그린케미칼","083420","서울","기초 소재","화학제조"
"Finebesteel","133820","서울","기초 소재","다종 조립 제품"
"KCI Ltd","036670","KOSDAQ","기초 소재","화학제조"
"NS","217820","KOSDAQ","기초 소재","컨테이너와 포장"
"NI스틸","008260","서울","기초 소재","다종 조립 제품"
"Kopla","126600","KOSDAQ","기초 소재","화학 제품 – 플라스틱과 고무"
"Leechem","131100","KOSDAQ","기초 소재","화학제조"
"Daechang Steel","140520","KOSDAQ","기초 소재","철과 철강"
"Cuchen","225650","KOSDAQ","기초 소재","다종 조립 제품"
"Samryoong","014970","KOSDAQ","기초 소재","컨테이너와 포장"
"ACT","138360","KOSDAQ","기초 소재","화학제조"
"Exax","060230","KOSDAQ","기초 소재","화학제조"
"동남합성","023450","서울","기초 소재","화학제조"
"DSR제강","069730","서울","기초 소재","다종 조립 제품"
"Keum Kang Steel","053260","KOSDAQ","기초 소재","철과 철강"
"KPF","024880","KOSDAQ","기초 소재","다종 조립 제품"
"EG","037370","KOSDAQ","기초 소재","화학제조"
"이구산업","025820","서울","기초 소재","다종 조립 제품"
"조비","001550","서울","기초 소재","화학제조"
"Hankuk Package","037230","KOSDAQ","기초 소재","컨테이너와 포장"
"Daeyang Paper MFG","006580","KOSDAQ","기초 소재","종이와 종이 제품"
"금비","008870","서울","기초 소재","컨테이너와 포장"
"페이퍼코리아","001020","서울","기초 소재","종이와 종이 제품"
