"종목","기호","거래소","부문","산업"
"Korea Autoglass Corp","152330","서울","자본재","건설 – 용품과 비품"
"일진다이아","081000","서울","자본재","건설 – 용품과 비품"
"YAS Co","255440","KOSDAQ","자본재","다종 자본재"
"자화전자","033240","서울","자본재","다종 자본재"
"진흥기업","002780","서울","자본재","건설 서비스"
"Dongkuk Structures & Construction","100130","KOSDAQ","자본재","건설 – 용품과 비품"
"STX엔진","077970","서울","자본재","다종 자본재"
"Unison","018000","KOSDAQ","자본재","건설 서비스"
"KoMiCo","183300","KOSDAQ","자본재","다종 자본재"
"SM Core","007820","KOSDAQ","자본재","다종 자본재"
"AeroSpace Tech of Korea","067390","KOSDAQ","자본재","항공 우주와 방위"
"벽산","007210","서울","자본재","건설 – 용품과 비품"
"코오롱글로벌","003070","서울","자본재","건설 서비스"
"New Power Plasma","144960","KOSDAQ","자본재","다종 자본재"
"아세아","002030","서울","자본재","건설 – 원자재"
"Insun Environmental New Tech Co","060150","KOSDAQ","자본재","건설 서비스"
"Finetex EnE","065160","KOSDAQ","자본재","다종 자본재"
"현대시멘트","006390","서울","자본재","건설 – 원자재"
"Jinsung TEC","036890","KOSDAQ","자본재","건설과 농업용 기계"
"Seohan","011370","KOSDAQ","자본재","건설 서비스"
"한국주철관","000970","서울","자본재","건설 – 용품과 비품"
"한신공영","004960","서울","자본재","건설 서비스"
"Tera Semicon","123100","KOSDAQ","자본재","다종 자본재"
"Geumhwa PSC","036190","KOSDAQ","자본재","건설 서비스"
"I Controls","039570","서울","자본재","건설 서비스"
"DY Power","210540","서울","자본재","건설과 농업용 기계"
"Yest","122640","KOSDAQ","자본재","다종 자본재"
"LIS","138690","KOSDAQ","자본재","건설과 농업용 기계"
"동부건설","005960","서울","자본재","건설 서비스"
"Seohee Construction","035890","KOSDAQ","자본재","건설 서비스"
"BoKwang Industry","225530","KOSDAQ","자본재","건설 – 원자재"
"삼호l","001880","서울","자본재","건설 서비스"
"RS Automation","140670","KOSDAQ","자본재","다종 자본재"
"성창기업지주","000180","서울","자본재","건설 – 용품과 비품"
"화성산업","002460","서울","자본재","건설 서비스"
"남광토건","001260","서울","자본재","건설 서비스"
"두산건설","011160","서울","자본재","건설 서비스"
"Home Center Hlds","060560","KOSDAQ","자본재","건설 – 원자재"
"대동공업","000490","서울","자본재","건설과 농업용 기계"
"도화엔지니어링","002150","서울","자본재","건설 서비스"
