"종목","기호","거래소","부문","산업"
"Sang Bo","027580","KOSDAQ","경기 민감형 소비재","사진술"
"Ilji Tech","019540","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"Wonpoong","008370","KOSDAQ","경기 민감형 소비재","직물 – 비의류"
"인팩","023810","서울","경기 민감형 소비재","자동차와 트럭 부품"
"성안","011300","서울","경기 민감형 소비재","직물 – 비의류"
"East Asia Holdings Investment","900110","KOSDAQ","경기 민감형 소비재","신발"
"Hwashin Precision","126640","KOSDAQ","경기 민감형 소비재","자동차와 트럭 제조"
"Dongbu Lightec","045890","KOSDAQ","경기 민감형 소비재","가구와 비품"
"Dgenx","113810","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"Aztech WB","032080","KOSDAQ","경기 민감형 소비재","직물 – 비의류"
"Gumho N.T","130500","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"Seoyon Top Metal","019770","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"Neooto","212560","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"Alton Sports","123750","KOSDAQ","경기 민감형 소비재","여가용 제품"
"Ecoplastic","038110","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"와이비로드","010600","서울","경기 민감형 소비재","의복/액세서리"
"티에이치엔","019180","서울","경기 민감형 소비재","자동차와 트럭 부품"
"부산주공","005030","서울","경기 민감형 소비재","자동차와 트럭 부품"
"Kahee","030270","KOSDAQ","경기 민감형 소비재","의복/액세서리"
"Cowon Systems","056000","KOSDAQ","경기 민감형 소비재","오디오와 비디오 장비"
"지코","010580","서울","경기 민감형 소비재","자동차와 트럭 부품"
"StarFlex","115570","KOSDAQ","경기 민감형 소비재","직물 – 비의류"
"Guyoung Tech","053270","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"전방","000950","서울","경기 민감형 소비재","의복/액세서리"
"Youngsin Metal Industrial","007530","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"KNW","105330","KOSDAQ","경기 민감형 소비재","사진술"
"태원물산","001420","서울","경기 민감형 소비재","자동차와 트럭 부품"
"TPC","130740","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"SJK","080440","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"DBK","073190","KOSDAQ","경기 민감형 소비재","가구와 비품"
"KSP","073010","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"Dual Industrial","078590","KOSDAQ","경기 민감형 소비재","자동차와 트럭 부품"
"일정실업","008500","서울","경기 민감형 소비재","직물 – 비의류"
"Nuriplan","069140","KOSDAQ","경기 민감형 소비재","가구와 비품"
