"종목","기호","거래소","부문","산업"
"Woori Tech Investment","041190","KOSDAQ","금융","다종 금융 서비스"
"부국증권","001270","서울","금융","투자 서비스"
"유진투자증권","001200","서울","금융","투자 서비스"
"HMC투자증권","001500","서울","금융","투자 서비스"
"KTB투자증권","030210","서울","금융","투자 서비스"
"KG Mobilians","046440","KOSDAQ","금융","소비자 금융 서비스"
"Danal","064260","KOSDAQ","금융","소비자 금융 서비스"
"Nice Information & Telecom","036800","KOSDAQ","금융","다종 금융 서비스"
"SBI Investment Korea","019550","KOSDAQ","금융","다종 금융 서비스"
"Shinhan 2nd Special","203650","KOSDAQ","금융","다종 금융 서비스"
"유화증권","003460","서울","금융","투자 서비스"
"Action Square","205500","KOSDAQ","금융","다종 금융 서비스"
"NH Special 5","215790","KOSDAQ","금융","다종 금융 서비스"
"Atinum Investment","021080","KOSDAQ","금융","투자 서비스"
"Haimarrow Food","220630","KOSDAQ","금융","다종 금융 서비스"
"Kim Parallel Oilfield Overseas Res","168490","서울","금융","다종 금융 서비스"
"동부증권","016610","서울","금융","투자 서비스"
"Organic Tea Cosmetics","900300","KOSDAQ","금융","다종 금융 서비스"
"Jeju Bank","006220","서울","금융","지방 은행"
"Yuanta 1 Special","204620","KOSDAQ","금융","다종 금융 서비스"
"Ebest Special 2 Co","217600","KOSDAQ","금융","다종 금융 서비스"
"골든브릿지증권","001290","서울","금융","투자 서비스"
"Q Capital Partners","016600","KOSDAQ","금융","다종 금융 서비스"
"Korea No.3 Special","222080","KOSDAQ","금융","다종 금융 서비스"
"Ksign","192250","KOSDAQ","금융","다종 금융 서비스"
"Pureun Mutual Savings Bank","007330","KOSDAQ","금융","저축대부조합/저축은행"
"Nics Tech","222810","KOSDAQ","금융","다종 금융 서비스"
"Paxnet","038160","KOSDAQ","금융","투자 서비스"
"Shinyoung Happy Tomorrow 3","263770","KOSDAQ","금융","다종 금융 서비스"
"Globon","019660","KOSDAQ","금융","투자 서비스"
"한양증권","001750","서울","금융","투자 서비스"
"Daesung Private Equity","027830","KOSDAQ","금융","다종 금융 서비스"
"IBKS GMB Special Purpose","252500","KOSDAQ","금융","다종 금융 서비스"
"Samkee Automotive","122350","KOSDAQ","금융","다종 금융 서비스"
"CAPE ES Special","220260","KOSDAQ","금융","다종 금융 서비스"
"DSC Investment","241520","KOSDAQ","금융","다종 금융 서비스"
"SGA Solutions","184230","KOSDAQ","금융","다종 금융 서비스"
"Hanwha MGI Special","215380","KOSDAQ","금융","다종 금융 서비스"
"TS Investment","246690","KOSDAQ","금융","다종 금융 서비스"
"샘표식품","007540","서울","금융","투자 서비스"
"Selvas Healthcare","208370","KOSDAQ","금융","다종 금융 서비스"
"LIG Special 2nd","208140","KOSDAQ","금융","다종 금융 서비스"
"Hana Must Fifth Special","218150","KOSDAQ","금융","다종 금융 서비스"
"Hanwha ACPC Special","217620","KOSDAQ","금융","다종 금융 서비스"
"M-Venture Investment","019590","KOSDAQ","금융","다종 금융 서비스"
"Hana Must Fourth Special","215100","KOSDAQ","금융","다종 금융 서비스"
"NH Special 3","198440","KOSDAQ","금융","다종 금융 서비스"
"Daewoo SBI Special 1","215480","KOSDAQ","금융","다종 금융 서비스"
"Hyundai Dream Together 4th Special","226360","KOSDAQ","금융","다종 금융 서비스"
"Hi Special II","205470","KOSDAQ","금융","다종 금융 서비스"
"CNH","023460","KOSDAQ","금융","소비자 금융 서비스"
"Hana Financial Eighth","250060","KOSDAQ","금융","다종 금융 서비스"
"Shinyoung HappyTomorrow No.2 Special","225590","KOSDAQ","금융","다종 금융 서비스"
"Eugene ACPC Special 2","215090","KOSDAQ","금융","다종 금융 서비스"
"바다로 19호","155900","서울","금융","다종 금융 서비스"
"하이골드12호","172580","서울","금융","다종 금융 서비스"
"KB No.9 Special","232270","KOSDAQ","금융","다종 금융 서비스"
"Gemini Investment","019570","KOSDAQ","금융","다종 금융 서비스"
"Woosung I.B.","194610","KOSDAQ","금융","다종 금융 서비스"
"Hi Gold Ocean 3 Ship Invest","153360","서울","금융","다종 금융 서비스"
"Kiwoom No.4 Special","226850","KOSDAQ","금융","다종 금융 서비스"
"Hana Financial Seventh Special","230240","KOSDAQ","금융","다종 금융 서비스"
"하이골드8호","159650","서울","금융","다종 금융 서비스"
"Goldenbridge No.4 Special","227950","KOSDAQ","금융","다종 금융 서비스"
"NH Special 12","273060","KOSDAQ","금융","다종 금융 서비스"
"Kyobo BNK Special","242040","KOSDAQ","금융","다종 금융 서비스"
"NH Special Purpose 10","256630","KOSDAQ","금융","다종 금융 서비스"
"NH Special Purpose 11","256840","KOSDAQ","금융","다종 금융 서비스"
"Hyundai Dream Together 3rd Special","221950","KOSDAQ","금융","다종 금융 서비스"
"Eugene Special 3","221200","KOSDAQ","금융","다종 금융 서비스"
"HMCIB No.3 Special","226340","KOSDAQ","금융","다종 금융 서비스"
"Shinhan 4th Special","277480","KOSDAQ","금융","다종 금융 서비스"
"HI Special III","217500","KOSDAQ","금융","다종 금융 서비스"
"Korea No.4 Special","240540","KOSDAQ","금융","다종 금융 서비스"
"Kyobo 5 Special","223040","KOSDAQ","금융","다종 금융 서비스"
"Dongbu 4th Special","230490","KOSDAQ","금융","다종 금융 서비스"
"KB No.10 Special Purpose","250930","KOSDAQ","금융","다종 금융 서비스"
"Daishin Balance 4th Special","262830","KOSDAQ","금융","다종 금융 서비스"
"Hi AI 1st Special","235010","KOSDAQ","금융","다종 금융 서비스"
"Mirae Asset Daewoo 1","265480","KOSDAQ","금융","다종 금융 서비스"
"NH Special 7","217810","KOSDAQ","금융","다종 금융 서비스"
"Mirae Asset No.5 Special","239340","KOSDAQ","금융","다종 금융 서비스"
"Dongbu No.5","281740","KOSDAQ","금융","다종 금융 서비스"
"IBKS No.3 Special","225430","KOSDAQ","금융","다종 금융 서비스"
"IBKS No.5 Special Purpose","254120","KOSDAQ","금융","다종 금융 서비스"
"Hana Financial Tenth","270520","KOSDAQ","금융","다종 금융 서비스"
"Dongbu 3rd Special","226440","KOSDAQ","금융","다종 금융 서비스"
"Korea No.6 Special","281410","KOSDAQ","금융","다종 금융 서비스"
"IBKS No6 Special","264850","KOSDAQ","금융","다종 금융 서비스"
"Hanwha Susung Special","265920","KOSDAQ","금융","다종 금융 서비스"
"Hana Financial Ninth Special","261200","KOSDAQ","금융","다종 금융 서비스"
"Kyobo 7 Special Purpose","267320","KOSDAQ","금융","다종 금융 서비스"
"Ebest Special 3 Co","225440","KOSDAQ","금융","다종 금융 서비스"
"Korea No.5 Special Purpose","271740","KOSDAQ","금융","다종 금융 서비스"
"동북아12호","083370","서울","금융","다종 금융 서비스"
