"종목","기호","거래소","부문","산업"
"SBS미디어홀딩스","101060","서울","서비스","방송과 케이블 티브이"
"티웨이홀딩스","004870","서울","서비스","소매(전문)"
"Showbox","086980","KOSDAQ","서비스","영화"
"Sejong Telecom","036630","KOSDAQ","서비스","통신 서비스"
"아이마켓코리아","122900","서울","서비스","소매(카탈로그와 메일 주문)"
"광주신세계","037710","서울","서비스","소매(백화점과 할인점)"
"AJ Networks Co Ltd","095570","서울","서비스","렌탈과 리스"
"SM Culture & Contents","048550","KOSDAQ","서비스","사업 서비스"
"Interpark","108790","KOSDAQ","서비스","소매(카탈로그와 메일 주문)"
"AJ 렌터카","068400","서울","서비스","렌탈과 리스"
"Korea Environment Tech","029960","KOSDAQ","서비스","폐기물 관리 서비스"
"Korea Ratings","034950","KOSDAQ","서비스","사업 서비스"
"Next Entertainment World","160550","KOSDAQ","서비스","영화"
"Incross Co","216050","KOSDAQ","서비스","광고"
"한화타임월드","027390","서울","서비스","소매(백화점과 할인점)"
"Saramin HR","143240","KOSDAQ","서비스","사업 서비스"
"Kolao Holdings","900140","서울","서비스","소매(전문)"
"웅진씽크빅","095720","서울","서비스","인쇄와 출판"
"YeaRimDang Publishing","036000","KOSDAQ","서비스","인쇄와 출판"
"Interpark Holdings","035080","KOSDAQ","서비스","소매(카탈로그와 메일 주문)"
"Woongjin","016880","서울","서비스","렌탈과 리스"
"Aimhigh Global","043580","KOSDAQ","서비스","소매(기술제품)"
"Mega Study Edu","215200","KOSDAQ","서비스","사업 서비스"
"엔케이","085310","서울","서비스","보안 시스템과 서비스"
"Dexter Studios","206560","KOSDAQ","서비스","영화"
"Keyeast","054780","KOSDAQ","서비스","사업 서비스"
"Multicampus","067280","KOSDAQ","서비스","학교"
"SBS Contents Hub","046140","KOSDAQ","서비스","영화"
"Deutsch Motors","067990","KOSDAQ","서비스","소매(전문)"
"세이브존I&C","067830","서울","서비스","소매(백화점과 할인점)"
"D&C Media","263720","KOSDAQ","서비스","인쇄와 출판"
"CMS Edu","225330","KOSDAQ","서비스","사업 서비스"
"이월드","084680","서울","서비스","여가 활동"
"Seoul Auction","063170","KOSDAQ","서비스","소매(전문)"
"Redrover","060300","KOSDAQ","서비스","영화"
"Kukbo Design","066620","KOSDAQ","서비스","사업 서비스"
"Echo Marketing","230360","KOSDAQ","서비스","광고"
"KMH","122450","KOSDAQ","서비스","방송과 케이블 티브이"
"Sigong Tech","020710","KOSDAQ","서비스","사업 서비스"
"KG Eco Tech Services","151860","KOSDAQ","서비스","사업 서비스"
"GⅡR","035000","서울","서비스","광고"
"TBH Global","084870","서울","서비스","소매(의복)"
"HKI","219550","KOSDAQ","서비스","소매(전문)"
"Soribada","053110","KOSDAQ","서비스","인쇄와 출판"
"Haesung Industrial","034810","KOSDAQ","서비스","부동산 운용"
"효성ITX","094280","서울","서비스","사업 서비스"
"Korea New Network","058400","KOSDAQ","서비스","방송과 케이블 티브이"
"RedcapTour","038390","KOSDAQ","서비스","렌탈과 리스"
"SCI Information Service","036120","KOSDAQ","서비스","사업 서비스"
"비상교육","100220","서울","서비스","인쇄와 출판"
