"종목","기호","거래소","부문","산업"
"G-Smatt Global","114570","KOSDAQ","테크놀로지","반도체"
"SPG","058610","KOSDAQ","테크놀로지","전자 장비와 제어기"
"HyVISION SYSTEM","126700","KOSDAQ","테크놀로지","과학과 기술 장비"
"한솔테크닉스","004710","서울","테크놀로지","전자 장비와 제어기"
"Curocom","040350","KOSDAQ","테크놀로지","컴퓨터 네트워크"
"Alphachips","117670","KOSDAQ","테크놀로지","반도체"
"Me 2 On","201490","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"Synopex","025320","KOSDAQ","테크놀로지","전자 장비와 제어기"
"S-Mac","097780","KOSDAQ","테크놀로지","전자 장비와 제어기"
"Pati Games","194510","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"EM-Tech","091120","KOSDAQ","테크놀로지","통신 장비"
"HB Tech","078150","KOSDAQ","테크놀로지","반도체"
"Shin Heung Energy","243840","KOSDAQ","테크놀로지","전자 장비와 제어기"
"Daejoo Electronic Materials","078600","KOSDAQ","테크놀로지","전자 장비와 제어기"
"Sang-A Frontec","089980","KOSDAQ","테크놀로지","전자 장비와 제어기"
"일진홀딩스","015860","서울","테크놀로지","전자 장비와 제어기"
"Actoz Soft","052790","KOSDAQ","테크놀로지","컴퓨터 서비스"
"Golfzon Yuwon Holdings","121440","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"삼영전자","005680","서울","테크놀로지","전자 장비와 제어기"
"Future Stream Networks","214270","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"YMT","251370","KOSDAQ","테크놀로지","반도체"
"Vitzrocell","082920","KOSDAQ","테크놀로지","전자 장비와 제어기"
"KH Vatec","060720","KOSDAQ","테크놀로지","전자 장비와 제어기"
"Seojin System","178320","KOSDAQ","테크놀로지","통신 장비"
"PNE Solution","131390","KOSDAQ","테크놀로지","전자 장비와 제어기"
"MK Electron","033160","KOSDAQ","테크놀로지","반도체"
"V One Tech","251630","KOSDAQ","테크놀로지","과학과 기술 장비"
"ISC","095340","KOSDAQ","테크놀로지","반도체"
"Osangjaiel","053980","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"KT Music","043610","KOSDAQ","테크놀로지","컴퓨터 서비스"
"코리아써키트","007810","서울","테크놀로지","반도체"
"Cheryong Electric","033100","KOSDAQ","테크놀로지","전자 장비와 제어기"
"Kortek","052330","KOSDAQ","테크놀로지","컴퓨터 주변기기"
"Aminologics","074430","KOSDAQ","테크놀로지","반도체"
"유니퀘스트","077500","서울","테크놀로지","반도체"
"Samji Electronics","037460","KOSDAQ","테크놀로지","통신 장비"
"Jastech Ltd","090470","KOSDAQ","테크놀로지","반도체"
"Elcomtec","037950","KOSDAQ","테크놀로지","통신 장비"
"Simmtech","222800","KOSDAQ","테크놀로지","반도체"
"Infinitt Healthcare","071200","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"Humax","115160","KOSDAQ","테크놀로지","통신 장비"
"UB Care","032620","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"웅진에너지","103130","서울","테크놀로지","반도체"
"LOTVacuum","083310","KOSDAQ","테크놀로지","반도체"
"Korea Information Certificate Authority","053300","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"디피씨","026890","서울","테크놀로지","전자 장비와 제어기"
"SAMT","031330","KOSDAQ","테크놀로지","반도체"
"Crucialtec","114120","KOSDAQ","테크놀로지","전자 장비와 제어기"
"Joy City","067000","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"STraffic","234300","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"Danawa","119860","KOSDAQ","테크놀로지","컴퓨터 서비스"
"Nepes","033640","KOSDAQ","테크놀로지","반도체"
"Feelingk","064800","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"Next Eye","137940","KOSDAQ","테크놀로지","과학과 기술 장비"
"Hyundai IBT","048410","KOSDAQ","테크놀로지","전자 장비와 제어기"
"Protec","053610","KOSDAQ","테크놀로지","반도체"
"Robostar","090360","KOSDAQ","테크놀로지","과학과 기술 장비"
"Viatron Technologies","141000","KOSDAQ","테크놀로지","반도체"
"Telechips","054450","KOSDAQ","테크놀로지","반도체"
"Daea TI","045390","KOSDAQ","테크놀로지","컴퓨터 서비스"
"Anapass","123860","KOSDAQ","테크놀로지","반도체"
"Suprema","236200","KOSDAQ","테크놀로지","컴퓨터 주변기기"
"Lumens","038060","KOSDAQ","테크놀로지","반도체"
"Korea Electronic Certification Authority","041460","KOSDAQ","테크놀로지","컴퓨터 서비스"
"Intops","049070","KOSDAQ","테크놀로지","통신 장비"
"Initech","053350","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"E Credible","092130","KOSDAQ","테크놀로지","컴퓨터 서비스"
"Hanyang Hitao","064090","KOSDAQ","테크놀로지","통신 장비"
"IONES","114810","KOSDAQ","테크놀로지","반도체"
"Dasan Networks","039560","KOSDAQ","테크놀로지","통신 장비"
"TSE","131290","KOSDAQ","테크놀로지","반도체"
"Aprogen","109960","KOSDAQ","테크놀로지","통신 장비"
"Duksan Hi Metal","077360","KOSDAQ","테크놀로지","반도체"
"Mcnex","097520","KOSDAQ","테크놀로지","전자 장비와 제어기"
"Philoptics","161580","KOSDAQ","테크놀로지","반도체"
"Ehwa Tech Information","024810","KOSDAQ","테크놀로지","전자 장비와 제어기"
"i3system","214430","KOSDAQ","테크놀로지","반도체"
"Yujin Robot","056080","KOSDAQ","테크놀로지","전자 장비와 제어기"
"YMC","155650","KOSDAQ","테크놀로지","전자 장비와 제어기"
"일진디스플","020760","서울","테크놀로지","전자 장비와 제어기"
"MDS Tech","086960","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"광전자","017900","서울","테크놀로지","반도체"
"Medifron DBT","065650","KOSDAQ","테크놀로지","컴퓨터 하드웨어"
"Dongbu Inc","012030","서울","테크놀로지","컴퓨터 서비스"
"Modacom","149940","KOSDAQ","테크놀로지","통신 장비"
"ICD","040910","KOSDAQ","테크놀로지","반도체"
"Tobe Soft","079970","KOSDAQ","테크놀로지","소프트웨어와 프로그래밍"
"광명전기","017040","서울","테크놀로지","전자 장비와 제어기"
