"종목","기호","거래소","부문","산업"
"현대글로비스","086280","서울","운송","수상 운송"
"삼성중공업","010140","서울","운송","수상 운송"
"CJ대한통운","000120","서울","운송","다종 운송"
"대한항공","003490","서울","운송","항공사"
"대우조선해양","042660","서울","운송","수상 운송"
"STX팬오션","028670","서울","운송","수상 운송"
"현대미포조선","010620","서울","운송","수상 운송"
"현대상선","011200","서울","운송","수상 운송"
"Hyundai-Rotem","064350","서울","운송","철도"
"Jeju Air Co Ltd","089590","서울","운송","항공사"
"한진칼","180640","서울","운송","항공사"
"아시아나항공","020560","서울","운송","항공사"
"Jin Air","272450","서울","운송","항공사"
"대한해운","005880","서울","운송","수상 운송"
"한진중공업","097230","서울","운송","수상 운송"
"세방","004360","서울","운송","트럭 운송"
"한진","002320","서울","운송","트럭 운송"
"KSS해운","044450","서울","운송","수상 운송"
"Eusu Holdings","000700","서울","운송","수상 운송"
"Sejin Heavy Industries Co Ltd","075580","서울","운송","수상 운송"
"한국공항","005430","서울","운송","다종 운송"
"천일고속","000650","서울","운송","다종 운송"
"Sun Kwang","003100","KOSDAQ","운송","트럭 운송"
"흥아해운","003280","서울","운송","수상 운송"
"한진중공업홀딩스","003480","서울","운송","수상 운송"
"인터지스","129260","서울","운송","트럭 운송"
"Yoosung T&S","024800","KOSDAQ","운송","트럭 운송"
"Samkang M&T","100090","KOSDAQ","운송","수상 운송"
"KCTC","009070","서울","운송","트럭 운송"
"동양고속","084670","서울","운송","다종 운송"
"한익스프레스","014130","서울","운송","트럭 운송"
"SH Holdings","052300","KOSDAQ","운송","트럭 운송"
"동방","004140","서울","운송","트럭 운송"
"한솔CSN","009180","서울","운송","다종 운송"
"Samil","032280","KOSDAQ","운송","트럭 운송"
"국보","001140","서울","운송","트럭 운송"
