"종목","기호","거래소","부문","산업"
"Gmexico","GMEXICOB","멕시코","기초 소재","금속 광업"
"Gmexico","GMEXICOB","멕시코","기초 소재","금속 광업"
"Penoles","PENOLES","멕시코","기초 소재","금속 광업"
"Penoles","PENOLES","멕시코","기초 소재","금속 광업"
"Mexichem","MEXCHEM","멕시코","기초 소재","조립식 플라스틱과 고무"
"Mexichem","MEXCHEM","멕시코","기초 소재","조립식 플라스틱과 고무"
"Alpek SAB de CV","ALPEKA","멕시코","기초 소재","화학 제품 – 플라스틱과 고무"
"Alpek SAB de CV","ALPEKA","멕시코","기초 소재","화학 제품 – 플라스틱과 고무"
"Industrias Ch B","ICHB","멕시코","기초 소재","철과 철강"
"Simec B","SIMECB","멕시코","기초 소재","철과 철강"
"Simec B","SIMECB","멕시코","기초 소재","철과 철강"
"Minera Frisco","MFRISCOA1","멕시코","기초 소재","금속 광업"
"Cydsa A","CYDSASAA","멕시코","기초 소재","화학제조"
"Rotoplas SA de CV","AGUA","멕시코","기초 소재","조립식 플라스틱과 고무"
"Bio Pappel SAB DE CV","PAPPEL","멕시코","기초 소재","컨테이너와 포장"
"Proteak Uno SAB de CV","TEAKCPO","멕시코","기초 소재","임업과 목재 제품"
"Minera Autlan B","AUTLANB","멕시코","기초 소재","철과 철강"
"Grupo Vasconia","VASCONI","멕시코","기초 소재","금속 광업"
"Pochteca B","POCHTECB","멕시코","기초 소재","화학 제품 – 플라스틱과 고무"
"Convertidora Industrial SAB De CV","CONVERA","멕시코","기초 소재","컨테이너와 포장"
"Barrick Gold Corp","ABXN","멕시코","기초 소재","금과 은"
"Goldcorp Inc.","GGN","멕시코","기초 소재","금과 은"
"Almaden Minerals","AAUN","멕시코","기초 소재","금과 은"
"AK Holding","AKS","멕시코","기초 소재","철과 철강"
"Cleveland-Cliffs","CLF","멕시코","기초 소재","금속 광업"
"인터내셔널 페이퍼","IP","멕시코","기초 소재","종이와 종이 제품"
"Southern Copper Corp","SCCO","멕시코","기초 소재","금속 광업"
"Stabilus","STAN","멕시코","기초 소재","다종 조립 제품"
"Steel Dynamics","STLD","멕시코","기초 소재","철과 철강"
"US 스틸","X","멕시코","기초 소재","철과 철강"
"PPG 인더스트리즈","PPG","멕시코","기초 소재","화학제조"
"Albemarle","ALB","멕시코","기초 소재","화학 제품 – 플라스틱과 고무"
"Arconic Inc","ARNC","멕시코","기초 소재","금속 광업"
"Fresnillo","FRES","멕시코","기초 소재","금과 은"
"BASF","BASN","멕시코","기초 소재","화학제조"
"프리포트 맥모란","FCX","멕시코","기초 소재","금속 광업"
"Chemours Co","CC","멕시코","기초 소재","화학 제품 – 플라스틱과 고무"
"듀폰","DWDP","멕시코","기초 소재","화학제조"
"아세리녹스","ACXN","멕시코","기초 소재","철과 철강"
"Goldgroup Mining Inc","GGAN","멕시코","기초 소재","금과 은"
"몬산토","MON","멕시코","기초 소재","화학제조"
"셔윈 윌리엄스","SHW","멕시코","기초 소재","화학제조"
"Linde","LINN","멕시코","기초 소재","화학제조"
"모자이크","MOS","멕시코","기초 소재","화학제조"
"뉴코","NUE","멕시코","기초 소재","철과 철강"
"Viscofan","VISCN","멕시코","기초 소재","컨테이너와 포장"
"알코아","AA1","멕시코","기초 소재","금속 광업"
"Air Liquide","AIN","멕시코","기초 소재","화학제조"
