"종목","기호","거래소","부문","산업"
"Vista Oil Gas","VISTAA","멕시코","에너지","석유와 가스 – 통합"
"아나다코 페트롤리엄","APC","멕시코","에너지","석유와 가스 – 통합"
"데본 에너지","DVN","멕시코","에너지","석유와 가스 운용"
"Weatherford Intl","WFTN","멕시코","에너지","유정 서비스와 장비"
"Transocean","RIGN","멕시코","에너지","유정 서비스와 장비"
"엑슨 모빌","XOM","멕시코","에너지","석유와 가스 운용"
"아파치","APA","멕시코","에너지","석유와 가스 운용"
"체사픽 에너지","CHK","멕시코","에너지","석유와 가스 운용"
"핼리버튼","HAL","멕시코","에너지","유정 서비스와 장비"
"캐봇 오일 & 가스","COG","멕시코","에너지","석유와 가스 운용"
"코노코필립스","COP","멕시코","에너지","석유와 가스 – 통합"
"다이아몬드","DO","멕시코","에너지","유정 서비스와 장비"
"마라톤 오일","MRO","멕시코","에너지","석유와 가스 – 통합"
"내셔날 오일웰 바르코","NOV","멕시코","에너지","유정 서비스와 장비"
"Sanchez Energy","SN","멕시코","에너지","석유와 가스 운용"
"셰브론","CVX","멕시코","에너지","석유와 가스 – 통합"
"슐럼버거","SLBN","멕시코","에너지","유정 서비스와 장비"
"Andeavor","ANDV","멕시코","에너지","석유와 가스 운용"
"발레로 에너지","VLO","멕시코","에너지","석유와 가스 운용"
"Now Inc","DNOW","멕시코","에너지","유정 서비스와 장비"
"EOG 리소시스","EOG","멕시코","에너지","석유와 가스 운용"
"Teck Resources B","TECKN","멕시코","에너지","석탄"
"Glencore","GLENN","멕시코","에너지","석탄"
"레인지 리소시스","RRCO","멕시코","에너지","석유와 가스 운용"
