"종목","기호","거래소","부문","산업"
"Financiero Banorte","GFNORTEO","멕시코","금융","지방 은행"
"Financiero Banorte","GFNORTEO","멕시코","금융","지방 은행"
"Grupo Financiero Inbursa","GFINBURO","멕시코","금융","지방 은행"
"Grupo Financiero Inbursa","GFINBURO","멕시코","금융","지방 은행"
"Santander Mexico B","BSMXB","멕시코","금융","지방 은행"
"Elektra","ELEKTRA","멕시코","금융","지방 은행"
"Elektra","ELEKTRA","멕시코","금융","지방 은행"
"Banco Del Bajio","BBAJIOO","멕시코","금융","지방 은행"
"Banregio Grupo Financiero O","GFREGIOO","멕시코","금융","지방 은행"
"Banregio Grupo Financiero O","GFREGIOO","멕시코","금융","지방 은행"
"Gentera SAB de CV","GENTERA","멕시코","금융","소비자 금융 서비스"
"Grupo Financiero Interacciones O","GFINTERO","멕시코","금융","지방 은행"
"Grupo Financiero Interacciones O","GFINTERO","멕시코","금융","지방 은행"
"Qualitas Controladora","Q","멕시코","금융","보험 (손해)"
"Gentera SAB de CV","GENTERA","멕시코","금융","소비자 금융 서비스"
"Bolsa Mexicana de Valores A","BOLSAA","멕시코","금융","투자 서비스"
"Grupo Profuturo","GPROFUT","멕시코","금융","다종 금융 서비스"
"Bolsa Mexicana de Valores A","BOLSAA","멕시코","금융","투자 서비스"
"GBM O","GBMO","멕시코","금융","투자 서비스"
"Value GF","VALUEGFO","멕시코","금융","투자 서비스"
"Invex Control A","INVEXA","멕시코","금융","지방 은행"
"Credito Real SAPI","CREAL","멕시코","금융","소비자 금융 서비스"
"Grupo Financiero Multiva","GFMULTIO","멕시코","금융","지방 은행"
"Actinver B","ACTINVRB","멕시코","금융","투자 서비스"
"Concentradora HipotecariaPI","FHIPO14","멕시코","금융","투자 서비스"
"Grupo Nacional Provincial","GNP","멕시코","금융","보험 (생명)"
"Holding Monex SAB de CV","MONEXB","멕시코","금융","투자 서비스"
"Pena VerdeB","PV","멕시코","금융","보험 (손해)"
"Finamex O","FINAMEXO","멕시코","금융","투자 서비스"
"Financiera Independencia","FINDEP","멕시코","금융","소비자 금융 서비스"
"Procorp SA B","PROCORPB","멕시코","금융","다종 금융 서비스"
"시티그룹","C","멕시코","금융","지방 은행"
"BBVA","BBVA","멕시코","금융","단기금융시장은행"
"AIG","AIG","멕시코","금융","보험 (손해)"
"Credicorp Ltd","BAPN","멕시코","금융","지방 은행"
"BNP Paribas","BNPN","멕시코","금융","단기금융시장은행"
"버크셔 해서웨이 B","BRKB","멕시코","금융","보험 (손해)"
"도이체방크","DBN","멕시코","금융","지방 은행"
"소시에테 제네럴","GLEN","멕시코","금융","지방 은행"
"아메리프라이즈 파이낸셜","AMP","멕시코","금융","투자 서비스"
"프랭클린 리소시스","BEN","멕시코","금융","투자 서비스"
"독일증권거래소","DB1N","멕시코","금융","투자 서비스"
"Raymond James Financial Inc","RJF","멕시코","금융","투자 서비스"
"Royal Bank of Canada RBC","RYN","멕시코","금융","저축대부조합/저축은행"
"골드만 삭스","GS","멕시코","금융","투자 서비스"
"Mastercard","MA","멕시코","금융","소비자 금융 서비스"
"모건 스탠리","MS","멕시코","금융","투자 서비스"
"유나이티드헬스","UNH","멕시코","금융","보험(상해와 건강)"
"Fidelity National Info","FIS","멕시코","금융","소비자 금융 서비스"
"Commerzbank","CBKN","멕시코","금융","지방 은행"
"Evercore","EVR","멕시코","금융","투자 서비스"
"젠워스","GNW","멕시코","금융","보험 (생명)"
"ICE","ICE","멕시코","금융","투자 서비스"
"UniCredit","UCGN","멕시코","금융","지방 은행"
"시그나","CI","멕시코","금융","보험(상해와 건강)"
"Anthem Inc","ANTM","멕시코","금융","보험(상해와 건강)"
"악사","AXAN","멕시코","금융","보험 (생명)"
"뱅크 오브 아메리카","BAC","멕시코","금융","지방 은행"
"프루덴셜","PRU","멕시코","금융","보험 (생명)"
"트래블러스","TRV","멕시코","금융","보험 (손해)"
"웰스 파고","WFC","멕시코","금융","지방 은행"
"PayPal Holdings Inc","PYPL","멕시코","금융","소비자 금융 서비스"
"Bco 디 사바델","SABEN","멕시코","금융","지방 은행"
"Synchrony Financial","SYF","멕시코","금융","소비자 금융 서비스"
"방코 산탄테르","SAN","멕시코","금융","지방 은행"
"BME","BMEN","멕시코","금융","투자 서비스"
"Bank of Nova Scotia","BNS","멕시코","금융","단기금융시장은행"
"JP 모건","JPM","멕시코","금융","투자 서비스"
"찰스 슈왑","SCHW","멕시코","금융","투자 서비스"
"캐피탈 원","COF","멕시코","금융","지방 은행"
"MGIC Investment","MTG","멕시코","금융","보험 (손해)"
"UBS Group","UBSN","멕시코","금융","투자 서비스"
"아메리칸 익스프레스 사","AXP","멕시코","금융","소비자 금융 서비스"
"알리안츠","ALVN","멕시코","금융","보험 (손해)"
"블랙록","BLK","멕시코","금융","투자 서비스"
"Erste Bank","EBON","멕시코","금융","지방 은행"
"인테사 산파올로","ISPN","멕시코","금융","지방 은행"
"메트라이프","MET","멕시코","금융","보험 (생명)"
"Swiss Re","SRENN","멕시코","금융","보험 (생명)"
"US 뱅코프","USB","멕시코","금융","지방 은행"
"Altaba","AABA","멕시코","금융","다종 금융 서비스"
