"종목","기호","거래소","부문","산업"
"Genomma Lab B","LABB","멕시코","보건의료","생물공학 및 약품"
"Genomma Lab B","LABB","멕시코","보건의료","생물공학 및 약품"
"Medica SUR B","MEDICAB","멕시코","보건의료","헬쓰케어 설비"
"Bayer","BAYNN","멕시코","보건의료","기간 약품"
"Biogen Inc","BIIB","멕시코","보건의료","생물공학 및 약품"
"길리어드 사이언시스","GILD","멕시코","보건의료","생물공학 및 약품"
"FibroGen Inc","FGEN","멕시코","보건의료","생물공학 및 약품"
"암젠","AMGN","멕시코","보건의료","생물공학 및 약품"
"화이자","PFE","멕시코","보건의료","생물공학 및 약품"
"셀진 코퍼레이션","CELG","멕시코","보건의료","생물공학 및 약품"
"Allergan","AGNN","멕시코","보건의료","생물공학 및 약품"
"브리스톨 마이어스 스퀴브","BMY","멕시코","보건의료","생물공학 및 약품"
"존슨 앤 존슨","JNJ","멕시코","보건의료","생물공학 및 약품"
"박스터 인터내셔널","BAX","멕시코","보건의료","의료 장비와 용품"
"Cooper Companies Inc","COO","멕시코","보건의료","의료 장비와 용품"
"맥케슨","MCK","멕시코","보건의료","생물공학 및 약품"
"Medtronic","MDTN","멕시코","보건의료","의료 장비와 용품"
"Opko Health","OPK","멕시코","보건의료","생물공학 및 약품"
"Vertex Pharma","VRTX","멕시코","보건의료","생물공학 및 약품"
"Valeant Pharmaceuticals","VRXN","멕시코","보건의료","생물공학 및 약품"
"China Biologic Products","CBPON","멕시코","보건의료","생물공학 및 약품"
"애브비","ABBV","멕시코","보건의료","생물공학 및 약품"
"프레제니우스 메디컬 케어","FMEN","멕시코","보건의료","헬쓰케어 설비"
"엘리 릴리","LLY","멕시코","보건의료","생물공학 및 약품"
"써모 피셔 사이언티픽","TMO","멕시코","보건의료","의료 장비와 용품"
"머크앤드컴퍼니","MRK","멕시코","보건의료","생물공학 및 약품"
"애보트 래버러토리스","ABT","멕시코","보건의료","생물공학 및 약품"
"Mednax Inc","MD","멕시코","보건의료","헬쓰케어 설비"
"스트라이커","SYK","멕시코","보건의료","의료 장비와 용품"
