"종목","기호","거래소","부문","산업"
"Fomento Economico Mexicano UBD","FMSAUBD","멕시코","소비재/ 경기 방어형","음료 (비알코올성)"
"Coca Cola Femsa UB","FEMSAUB","멕시코","소비재/ 경기 방어형","음료 (비알코올성)"
"Fomento Economico Mexicano UBD","FMSAUBD","멕시코","소비재/ 경기 방어형","음료 (비알코올성)"
"Arca Continental","AC","멕시코","소비재/ 경기 방어형","음료 (비알코올성)"
"Arca Continental","AC","멕시코","소비재/ 경기 방어형","음료 (비알코올성)"
"Bimbo","BIMBOA","멕시코","소비재/ 경기 방어형","식품 가공"
"Bimbo","BIMBOA","멕시코","소비재/ 경기 방어형","식품 가공"
"Becle","CUERVO","멕시코","소비재/ 경기 방어형","음료(알코올성)"
"Becle","CUERVO","멕시코","소비재/ 경기 방어형","음료(알코올성)"
"Alfa A","ALFAA","멕시코","소비재/ 경기 방어형","식품 가공"
"Kimberly-Clark de Mexico B","KIMBERB","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"Kimberly-Clark de Mexico A","KIMBERA","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"Kimberly-Clark de Mexico A","KIMBERA","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"Alfa A","ALFAA","멕시코","소비재/ 경기 방어형","식품 가공"
"Gruma SAB de CV","GRUMAB","멕시코","소비재/ 경기 방어형","식품 가공"
"Coca Cola Femsa L","KOFL","멕시코","소비재/ 경기 방어형","음료 (비알코올성)"
"Gruma SAB de CV","GRUMAB","멕시코","소비재/ 경기 방어형","식품 가공"
"Coca Cola Femsa L","KOFL","멕시코","소비재/ 경기 방어형","음료 (비알코올성)"
"Grupo LALA SA de CV","LALAB","멕시코","소비재/ 경기 방어형","식품 가공"
"Grupo LALA SA de CV","LALAB","멕시코","소비재/ 경기 방어형","식품 가공"
"Industrias Bachoco","BACHCOB","멕시코","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Industrias Bachoco","BACHCOB","멕시코","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Herdez","HERDEZ","멕시코","소비재/ 경기 방어형","식품 가공"
"KUO A","KUOA","멕시코","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"KUO B","KUOB","멕시코","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"MASECA B","MASECAB","멕시코","소비재/ 경기 방어형","식품 가공"
"Bafar B","BAFARB","멕시코","소비재/ 경기 방어형","식품 가공"
"Cultiba SAB","CULTIBAB","멕시코","소비재/ 경기 방어형","음료 (비알코올성)"
"Minsa B","MINSAB","멕시코","소비재/ 경기 방어형","식품 가공"
"Accel B","ACCELSAB","멕시코","소비재/ 경기 방어형","식품 가공"
"몬델리즈 인터내셔널","MDLZ","멕시코","소비재/ 경기 방어형","식품 가공"
"펩시코","PEP","멕시코","소비재/ 경기 방어형","음료 (비알코올성)"
"코카콜라","KO","멕시코","소비재/ 경기 방어형","음료 (비알코올성)"
"컨스텔레이션 브랜즈","STZ","멕시코","소비재/ 경기 방어형","음료(알코올성)"
"Symrise AG","SY1N","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"프록터 앤 갬블","PG","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"Nomad Foods","NOMDN","멕시코","소비재/ 경기 방어형","식품 가공"
"코닝","GLW","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"네슬레","NESNN","멕시코","소비재/ 경기 방어형","음료 (비알코올성)"
"에이본 프로덕츠","AVP","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"알트리아 그룹","MO","멕시코","소비재/ 경기 방어형","담배"
"에코랩","ECL","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"에스티 로더","EL","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"L'Oreal","ORN","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"Kraft Heinz","KHC","멕시코","소비재/ 경기 방어형","식품 가공"
"콜게이트-팜올리브","CL","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"Anheuser Busch Inbev","ANB","멕시코","소비재/ 경기 방어형","음료(알코올성)"
"Newell Brands","NWL","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
"Reckitt Benckiser","RBN","멕시코","소비재/ 경기 방어형","개인과 가계용 제품"
