"종목","기호","거래소","부문","산업"
"America Movil A","AMXA","멕시코","서비스","통신 서비스"
"America Movil","AMXL","멕시코","서비스","통신 서비스"
"America Movil","AMXL","멕시코","서비스","통신 서비스"
"Wal Mart Mexico","WALMEX","멕시코","서비스","소매(백화점과 할인점)"
"Wal Mart Mexico","WALMEX","멕시코","서비스","소매(백화점과 할인점)"
"El Puerto de Liverpool C","LIVEPOLC1","멕시코","서비스","소매(백화점과 할인점)"
"El Puerto de Liverpool","LIVEPOL1","멕시코","서비스","소매(백화점과 할인점)"
"El Puerto de Liverpool C","LIVEPOLC1","멕시코","서비스","소매(백화점과 할인점)"
"Grupo Carso A1","GCARSOA1","멕시코","서비스","소매(백화점과 할인점)"
"Grupo Carso A1","GCARSOA1","멕시코","서비스","소매(백화점과 할인점)"
"Soriana B","SORIANAB","멕시코","서비스","소매(식료잡화)"
"Megacable Cpo","MEGACPO","멕시코","서비스","방송과 케이블 티브이"
"Megacable Cpo","MEGACPO","멕시코","서비스","방송과 케이블 티브이"
"Alsea","ALSEA","멕시코","서비스","레스토랑"
"Alsea","ALSEA","멕시코","서비스","레스토랑"
"Telesites SAB de CV","SITESB1","멕시코","서비스","통신 서비스"
"Grupo Sanborns SAB de CV","GSNBRB1","멕시코","서비스","소매(백화점과 할인점)"
"Concentradora Fibra Danhos","DANHOS13","멕시코","서비스","부동산 운용"
"Grupo Comercial Chedraui B","CHDRAUIB","멕시코","서비스","소매(식료잡화)"
"Gigante","GIGANTE","멕시코","서비스","소매(식료잡화)"
"Fragua B","FRAGUAB","멕시코","서비스","소매(약품)"
"Unifin Financiera SAPI de CV SOFOM","UNIFINA","멕시코","서비스","렌탈과 리스"
"Prologis Property Mexico","FIBRAPL14","멕시코","서비스","부동산 운용"
"Unifin Financiera SAPI de CV SOFOM","UNIFINA","멕시코","서비스","렌탈과 리스"
"Grupo Palacio 1","GPH1","멕시코","서비스","소매(백화점과 할인점)"
"Empresas Cablevision","CABLECPO","멕시코","서비스","방송과 케이블 티브이"
"Macquarie Mexico Real Estate","FIBRAMQ12","멕시코","서비스","부동산 운용"
"Grupo Posadas A","POSADASA","멕시코","서비스","호텔과 모텔"
"CIE B","CIEB","멕시코","서비스","여가 활동"
"Concentradora Fibra Hotelera Mexicana","FIHO12","멕시코","서비스","부동산 운용"
"Hoteles City Express SAB de CV","HCITY","멕시코","서비스","호텔과 모텔"
"Lamercial","LCMRUBC","멕시코","서비스","소매(식료잡화)"
"Hoteles City Express SAB de CV","HCITY","멕시코","서비스","호텔과 모텔"
"Axtel Cpo","AXTELCPO","멕시코","서비스","통신 서비스"
"Fibra MtyPI","FMTY14","멕시코","서비스","부동산 운용"
"Grupo Traxion","TRXIONA","멕시코","서비스","사업 서비스"
"Grupo Famsa A","GFAMSAA","멕시코","서비스","소매(백화점과 할인점)"
"Farmacias Benavides B","BEVIDESB","멕시코","서비스","소매(약품)"
"Tv Azteca Cpo","AZTECACPO","멕시코","서비스","방송과 케이블 티브이"
"Administradora de Activos Fibra","FINN13","멕시코","서비스","부동산 운용"
"Grupo Hotelero Santa Fe SAB de CV","HOTEL","멕시코","서비스","호텔과 모텔"
"Fibra Shop Portafolios InmobiliariosPI","FSHOP13","멕시코","서비스","부동산 운용"
"Pasa B","PASAB","멕시코","서비스","폐기물 관리 서비스"
"Grupe SAB de CV","CIDMEGA","멕시코","서비스","호텔과 모텔"
"Grupo Radio Centro A","RCTROA","멕시코","서비스","방송과 케이블 티브이"
"Mexicana Rest B","CMRB","멕시코","서비스","레스토랑"
"Grupo Sports","SPORTS","멕시코","서비스","여가 활동"
"Maxcom Telecom","MAXCOMA","멕시코","서비스","통신 서비스"
"버라이즌","VZ","멕시코","서비스","통신 서비스"
"치포틀","CMG","멕시코","서비스","레스토랑"
"코스트코","COST","멕시코","서비스","소매(전문)"
"CVS Health Corp","CVS","멕시코","서비스","소매(약품)"
"DISH Network Corp","DISH","멕시코","서비스","방송과 케이블 티브이"
"타겟","TGT","멕시코","서비스","소매(백화점과 할인점)"
"비자","V","멕시코","서비스","사업 서비스"
"Walgreens Boots Alliance","WBA","멕시코","서비스","소매(약품)"
"윈 리조트","WYNN","멕시코","서비스","카지노와 게임"
"아그레코","AGKN","멕시코","서비스","렌탈과 리스"
"Elis Services SA","ELISN","멕시코","서비스","사업 서비스"
"월마트","WMT","멕시코","서비스","소매(식료잡화)"
"베스트바이","BBY","멕시코","서비스","소매(기술제품)"
"컴캐스트","CMCSA","멕시코","서비스","통신 서비스"
"DIA","DIDAN","멕시코","서비스","소매(식료잡화)"
"JC 페니","JCP","멕시코","서비스","소매(백화점과 할인점)"
"KPN NV","KPNN","멕시코","서비스","통신 서비스"
"MGM Resorts International","MGM","멕시코","서비스","카지노와 게임"
"Norwegian Cruise Line","NCLHN","멕시코","서비스","여가 활동"
"로스 스토어스","ROST","멕시코","서비스","소매(의복)"
"Sprint Nextel","S","멕시코","서비스","통신 서비스"
"SKY PLC","SKYN","멕시코","서비스","방송과 케이블 티브이"
"Fonciere Lyonnais","FLYN","멕시코","서비스","부동산 운용"
"FOX","FOX","멕시코","서비스","영화"
"맥도날드","MCD","멕시코","서비스","레스토랑"
"AGNC Invest","AGNC","멕시코","서비스","부동산 운용"
"Carrefour","CAN","멕시코","서비스","소매(식료잡화)"
"도이체텔레콤","DTEN","멕시코","서비스","통신 서비스"
"이베이","EBAY","멕시코","서비스","소매(카탈로그와 메일 주문)"
"Express Scripts","ESRX","멕시코","서비스","소매(약품)"
"Hertz Global Holdings","HTZ","멕시코","서비스","렌탈과 리스"
"인디텍스","ITXN","멕시코","서비스","소매(의복)"
"Kering","KERN","멕시코","서비스","소매(의복)"
"메이시스","M","멕시코","서비스","소매(백화점과 할인점)"
"넷플릭스","NFLX","멕시코","서비스","방송과 케이블 티브이"
"프로로지스","PLD","멕시코","서비스","부동산 운용"
"RH","RH","멕시코","서비스","소매(전문)"
"AT&T","T","멕시코","서비스","통신 서비스"
"웨스턴 유니온","WU","멕시코","서비스","사업 서비스"
"Grupo Ezentis SA","EZEN","멕시코","서비스","통신 서비스"
"베드 배스 앤드 비욘드","BBBY","멕시코","서비스","소매(전문)"
"홈 데포","HD","멕시코","서비스","소매(주택개조)"
"달러트리","DLTR","멕시코","서비스","소매(백화점과 할인점)"
"갭","GPS","멕시코","서비스","소매(의복)"
"Kingfisher","KGFN","멕시코","서비스","소매(주택개조)"
"Next","NXTN","멕시코","서비스","소매(의복)"
"S&P Global","SPGI","멕시코","서비스","사업 서비스"
"룩소티카그룹","LUXN","멕시코","서비스","소매(전문)"
"아마존닷컴","AMZN","멕시코","서비스","소매(카탈로그와 메일 주문)"
"월트 디즈니","DIS","멕시코","서비스","방송과 케이블 티브이"
"Accor","ACCN","멕시코","서비스","호텔과 모텔"
"Las Vegas Sands","LVS","멕시코","서비스","카지노와 게임"
"Office Depot","ODP","멕시코","서비스","소매(전문)"
"Booking Holdings","BKNG","멕시코","서비스","사업 서비스"
"J Sainsbury","SBRYN","멕시코","서비스","소매(식료잡화)"
"스타벅스","SBUX","멕시코","서비스","소매(식료잡화)"
"TJX 컴퍼니","TJX","멕시코","서비스","소매(의복)"
"타임워너","TWX","멕시코","서비스","영화"
