"종목","기호","거래소","부문","산업"
"GMexico Transportes","GMXT","멕시코","운송","철도"
"Grupo Aeroportuario del Pacifico B","GAPB","멕시코","운송","다종 운송"
"Asur  B","ASURB","멕시코","운송","다종 운송"
"Grupo Aeroportuario del Pacifico B","GAPB","멕시코","운송","다종 운송"
"Asur  B","ASURB","멕시코","운송","다종 운송"
"PINFRA","PINFRA","멕시코","운송","다종 운송"
"Promotora y Operadora de Infraestr","PINFRAL","멕시코","운송","다종 운송"
"PINFRA","PINFRA","멕시코","운송","다종 운송"
"OHL Mexico","OHLMEX","멕시코","운송","다종 운송"
"OHL Mexico","OHLMEX","멕시코","운송","다종 운송"
"OMA B","OMAB","멕시코","운송","다종 운송"
"OMA B","OMAB","멕시코","운송","다종 운송"
"Aeromexico","AEROMEX","멕시코","운송","항공사"
"VOLARIS A","VOLARA","멕시코","운송","항공사"
"VOLARIS A","VOLARA","멕시코","운송","항공사"
"Tmm A","TMMA","멕시코","운송","수상 운송"
"델타항공","DAL","멕시코","운송","항공사"
"JetBlue Airways","JBLU","멕시코","운송","항공사"
"유니온 퍼시픽","UNP","멕시코","운송","철도"
"유나이티드파슬서비스","UPS","멕시코","운송","항공 우편"
"Royal Caribbean","RCL","멕시코","운송","수상 운송"
"United Continental Holdings","UAL","멕시코","운송","항공사"
"American Airlines","AAL","멕시코","운송","항공사"
"페덱스","FDX","멕시코","운송","항공 우편"
"캔자스 시티 서던","KSU","멕시코","운송","철도"
"사우스웨스트 에어라인","LUV","멕시코","운송","항공사"
"Aena","AENAN","멕시코","운송","다종 운송"
"Aeroports De Paris","ADPN","멕시코","운송","다종 운송"
"Air Transport Service","ATSG","멕시코","운송","항공 우편"
"Trinity Industries","TRN","멕시코","운송","철도"
