"종목","기호","거래소","부문","산업"
"Atok Big Wedge","AB","필리핀","기초 소재","금과 은"
"Nickel Asia","NIKL","필리핀","기초 소재","금속 광업"
"Philex Mining","PX","필리핀","기초 소재","금과 은"
"A Soriano","ANS","필리핀","기초 소재","다종 조립 제품"
"SBS Philippines","SBS","필리핀","기초 소재","화학제조"
"Lepanto Consolidated","LC","필리핀","기초 소재","금과 은"
"Lepanto Consolidated B","LCB","필리핀","기초 소재","금과 은"
"Atlas Consolidated Mining","AT","필리핀","기초 소재","금속 광업"
"Apex Mining","APX","필리핀","기초 소재","금과 은"
"Century Peak Metals","CPM","필리핀","기초 소재","금속 광업"
"Chemical Industries Phili","CIP","필리핀","기초 소재","화학제조"
"Marcventures","MARC","필리핀","기초 소재","금속 광업"
"Oriental Peninsula","ORE","필리핀","기초 소재","금과 은"
"Manila Mining","MA","필리핀","기초 소재","금과 은"
"Manila Mining B","MAB","필리핀","기초 소재","금과 은"
"PHINMA","PHN","필리핀","기초 소재","철과 철강"
"Mabuhay Vinyl","MVC","필리핀","기초 소재","화학제조"
"Pacifica","PA","필리핀","기초 소재","금과 은"
"United Paragon Mining","UPM","필리핀","기초 소재","금과 은"
"Imperial Resources","IMP","필리핀","기초 소재","금과 은"
"Crown Asia Chemicals","CROWN","필리핀","기초 소재","화학제조"
"NiHAO Mineral","NI","필리핀","기초 소재","금속 광업"
"Benguet B","BCB","필리핀","기초 소재","금과 은"
"Benguet A","BC","필리핀","기초 소재","금과 은"
"LMG Chemicals","LMG","필리핀","기초 소재","화학제조"
"Geograce Resources","GEO","필리핀","기초 소재","금과 은"
"Dizon Copper Silver","DIZ","필리핀","기초 소재","금과 은"
