"종목","기호","거래소","부문","산업"
"Ayala Land","ALI","필리핀","자본재","건설 서비스"
"Ayala","AC","필리핀","자본재","건설 서비스"
"DMCI","DMC","필리핀","자본재","건설 서비스"
"Golden Haven","HVN","필리핀","자본재","건설 서비스"
"Starmalls","STR","필리핀","자본재","건설 서비스"
"DoubleDragon","DD","필리핀","자본재","건설 서비스"
"EAGLE CEMENT","EAGLE","필리핀","자본재","건설 – 원자재"
"Holcim Philippines","HLCM","필리핀","자본재","건설 – 원자재"
"Wilcon Depot","WLCON","필리핀","자본재","건설 – 용품과 비품"
"Megawide Construction","MWIDE","필리핀","자본재","건설 서비스"
"Filinvest Land","FLI","필리핀","자본재","건설 서비스"
"8990 Holdings","HOUSE","필리핀","자본재","건설 서비스"
"Concepcion Industrial","CIC","필리핀","자본재","다종 자본재"
"Cemex Holdings","CHP","필리핀","자본재","건설 – 원자재"
"Rockwell Land","ROCK","필리핀","자본재","건설 서비스"
"EEI","EEI","필리핀","자본재","건설 서비스"
"Empire East Land","ELI","필리핀","자본재","건설 서비스"
"Sta Lucia Land","SLI","필리핀","자본재","건설 서비스"
"ArthaLand","ALCO","필리핀","자본재","건설 서비스"
"Da Vinci Capital","DAVIN","필리핀","자본재","건설 – 용품과 비품"
"Century Properties Group","CPG","필리핀","자본재","건설 서비스"
"House of Investments","HI","필리핀","자본재","건설 서비스"
"Crown Equities","CEI","필리핀","자본재","건설 서비스"
"A Brown Company","BRN","필리핀","자본재","건설 서비스"
"Concrete Aggregates","CA","필리핀","자본재","건설 – 원자재"
"Philippine Realty","RLT","필리핀","자본재","건설 서비스"
"Keppel Philippines","KEP","필리핀","자본재","건설 서비스"
"TKC Metals","T","필리핀","자본재","건설 – 용품과 비품"
"Abacore Capital","ABA","필리핀","자본재","건설 서비스"
"Philippine Estates","PHES","필리핀","자본재","건설 서비스"
"Abra Mining","AR","필리핀","자본재","건설 – 원자재"
"Keppel B","KPHB","필리핀","자본재","건설 서비스"
"Keppel","KPH","필리핀","자본재","건설 서비스"
