"종목","기호","거래소","부문","산업"
"Integrated Micro-Electronics","IMI","필리핀","테크놀로지","전자 장비와 제어기"
"Cirtek","TECH","필리핀","테크놀로지","반도체"
"Now","NOW","필리핀","테크놀로지","소프트웨어와 프로그래밍"
"iPeople","IPO","필리핀","테크놀로지","컴퓨터 서비스"
"PhilWeb","WEB","필리핀","테크놀로지","컴퓨터 서비스"
"Xurpas","X","필리핀","테크놀로지","소프트웨어와 프로그래밍"
"SFA Semicon Philippines","SSP","필리핀","테크놀로지","반도체"
"DFNN","DFNN","필리핀","테크놀로지","소프트웨어와 프로그래밍"
"Ionics","ION","필리핀","테크놀로지","통신 장비"
"Apollo Global","APL","필리핀","테크놀로지","소프트웨어와 프로그래밍"
"Premiere Entertainment","PHA","필리핀","테크놀로지","소프트웨어와 프로그래밍"
"Greenergy","GREEN","필리핀","테크놀로지","반도체"
"Island Information and Tech","IS","필리핀","테크놀로지","소프트웨어와 프로그래밍"
"IP E-Game Ventures","EG","필리핀","테크놀로지","컴퓨터 서비스"
