"종목","기호","거래소","부문","산업"
"China Aviation Oil Singapore Corp","CNAO","싱가포르","에너지","석유와 가스 운용"
"Golden Energy","GOLD","싱가포르","에너지","석탄"
"Ezion Holdings","EZHL","싱가포르","에너지","유정 서비스와 장비"
"Geo Energy Resources Ltd","GEOE","싱가포르","에너지","석탄"
"Mermaid Maritime PCL","MMPC","싱가포르","에너지","유정 서비스와 장비"
"AnAn","ANAN","싱가포르","에너지","석유와 가스 운용"
"Emas Offshore Construction Pte","EMAS","싱가포르","에너지","유정 서비스와 장비"
"PEC Ltd","PECL","싱가포르","에너지","유정 서비스와 장비"
"SHS Holdings","SEEH","싱가포르","에너지","석유와 가스 운용"
"United Global","UNIT","싱가포르","에너지","석유와 가스 운용"
"Chiwayland Intl","CWGI","싱가포르","에너지","유정 서비스와 장비"
"KrisEnergy Ltd","KRIS","싱가포르","에너지","석유와 가스 운용"
"Baker Technology Ltd","BATE","싱가포르","에너지","유정 서비스와 장비"
"CH Offshore Ltd","CHOF","싱가포르","에너지","유정 서비스와 장비"
"Hai Leck Holdings Ltd","HLHL","싱가포르","에너지","유정 서비스와 장비"
"Sinostar PEC Holdings Ltd","SNSR","싱가포르","에너지","석유와 가스 운용"
"Noble","NOBG","싱가포르","에너지","석탄"
"Jasper Investments Ltd","JASP","싱가포르","에너지","유정 서비스와 장비"
"Kim Heng Offshore & Marine Holdings","KIMH","싱가포르","에너지","유정 서비스와 장비"
"Rex International Holding Ltd","REXI","싱가포르","에너지","석유와 가스 운용"
"RH Petrogas Ltd","RHPG","싱가포르","에너지","석유와 가스 운용"
"Hengyang Petrochemical","HNYG","싱가포르","에너지","유정 서비스와 장비"
"Federal International 2000 Ltd","FEDL","싱가포르","에너지","유정 서비스와 장비"
"Blackgold","BLAC","싱가포르","에너지","석탄"
"Swiber Holdings Ltd","SWBR","싱가포르","에너지","유정 서비스와 장비"
"Resources Prima Group","RESO","싱가포르","에너지","석탄"
"Ramba Energy Ltd","RAMB","싱가포르","에너지","석유와 가스 – 통합"
"New Silkroutes","NEWS","싱가포르","에너지","석유와 가스 운용"
"MTQ Corporation Ltd","MTLS","싱가포르","에너지","유정 서비스와 장비"
"Interra Resources Ltd","INTR","싱가포르","에너지","석유와 가스 운용"
"Ezra Holdings Ltd","EZRA","싱가포르","에너지","유정 서비스와 장비"
"SP Corporation Ltd","SPPS","싱가포르","에너지","석탄"
"Triyards Holdings Ltd","TRIY","싱가포르","에너지","유정 서비스와 장비"
"Advanced Holdings Ltd","ADVA","싱가포르","에너지","유정 서비스와 장비"
"Technics Oil & Gas Ltd","TECH","싱가포르","에너지","유정 서비스와 장비"
"SBI Offshore Ltd","SBIO","싱가포르","에너지","유정 서비스와 장비"
"Linc Energy","LINC","싱가포르","에너지","석유와 가스 운용"
"Abterra Ltd","ABTR","싱가포르","에너지","석탄"
"Viking Offshore and Marine Ltd","VIKO","싱가포르","에너지","유정 서비스와 장비"
"Mirach Energy Ltd","MIEL","싱가포르","에너지","석유와 가스 운용"
"KTL Global Ltd","KTLG","싱가포르","에너지","유정 서비스와 장비"
"Magnus Energy Group Ltd","MAGN","싱가포르","에너지","유정 서비스와 장비"
"Teho International Inc Ltd","TEHO","싱가포르","에너지","유정 서비스와 장비"
"EMS Energy Ltd","EMSE","싱가포르","에너지","유정 서비스와 장비"
"Heatec Jietong","HTJT","싱가포르","에너지","유정 서비스와 장비"
"IEV Holdings Ltd","IEVH","싱가포르","에너지","유정 서비스와 장비"
"NauticAWT Pte Ltd","NAUT","싱가포르","에너지","유정 서비스와 장비"
"Universal Resource and Services Ltd","UNIV","싱가포르","에너지","유정 서비스와 장비"
