"종목","기호","거래소","부문","산업"
"Dbs group holdings","DBSM","싱가포르","금융","지방 은행"
"OCBC Bank","OCBC","싱가포르","금융","지방 은행"
"United overseas bank","UOBH","싱가포르","금융","지방 은행"
"Great Eastern Holdings Ltd","GELA","싱가포르","금융","보험 (생명)"
"Singapore exchange","SGXL","싱가포르","금융","투자 서비스"
"Keppel Infra REIT","KEPL","싱가포르","금융","다종 금융 서비스"
"Frasers Hospitality Trust","FRHO","싱가포르","금융","다종 금융 서비스"
"Hong Leong Finance Ltd","HLSF","싱가포르","금융","다종 금융 서비스"
"UOB Kay Hian Holdings Ltd","UOKH","싱가포르","금융","투자 서비스"
"Pacific Century Regional Develop","PCEN","싱가포르","금융","소비자 금융 서비스"
"United Overseas Insurance","UOIS","싱가포르","금융","보험 (손해)"
"G. K. Goh Holdings Ltd","GKHS","싱가포르","금융","투자 서비스"
"Sing Investments & Finance Ltd","SINV","싱가포르","금융","소비자 금융 서비스"
"iFAST Corporation","IFAS","싱가포르","금융","투자 서비스"
"Global Investments Ltd","GLNV","싱가포르","금융","다종 금융 서비스"
"Hotung Investment Holdings Ltd","HOTU","싱가포르","금융","투자 서비스"
"Singapore Reinsurance Corporation","SPRS","싱가포르","금융","보험 (손해)"
"Singapura Finance Ltd","SBDS","싱가포르","금융","소비자 금융 서비스"
"TIH Ltd","TIHL","싱가포르","금융","다종 금융 서비스"
"IFS Capital Ltd","IFAC","싱가포르","금융","소비자 금융 서비스"
"Trendlines Group Ltd","THET","싱가포르","금융","투자 서비스"
"Chemical Industries Far East Ltd","CHEM","싱가포르","금융","투자 서비스"
"Plato Capital","PLAT","싱가포르","금융","다종 금융 서비스"
"Pavillon Holdings","PAVI","싱가포르","금융","다종 금융 서비스"
"ISR Capital Ltd","ISRC","싱가포르","금융","투자 서비스"
"AGV Group","AGVG","싱가포르","금융","투자 서비스"
"Innopac Holdings Ltd","INPS","싱가포르","금융","투자 서비스"
"Attilan Group Ltd","ATTI","싱가포르","금융","투자 서비스"
