"종목","기호","거래소","부문","산업"
"Haw Par Corporation Ltd","HPAR","싱가포르","보건의료","생물공학 및 약품"
"Raffles Medical Group Ltd","RAFG","싱가포르","보건의료","헬쓰케어 설비"
"Tianjin Zhongxin Pharma Group","TIAN","싱가포르","보건의료","생물공학 및 약품"
"Riverstone Holdings Ltd","RVHL","싱가포르","보건의료","의료 장비와 용품"
"Health Management International Ltd","HMIH","싱가포르","보건의료","헬쓰케어 설비"
"Q & M Dental Group Singapore Ltd","QMDT","싱가포르","보건의료","헬쓰케어 설비"
"Oue Lippo Healthcare","OUEL","싱가포르","보건의료","헬쓰케어 설비"
"Clearbridge Health","CLEA","싱가포르","보건의료","헬쓰케어 설비"
"Singapore Medical Group Ltd","SMGL","싱가포르","보건의료","헬쓰케어 설비"
"Healthway Medical Corp Ltd","HEMC","싱가포르","보건의료","헬쓰케어 설비"
"Cordlife Group Ltd","CORD","싱가포르","보건의료","헬쓰케어 설비"
"Singapore O&G","SINP","싱가포르","보건의료","헬쓰케어 설비"
"ISEC Healthcare","ISEC","싱가포르","보건의료","헬쓰케어 설비"
"IX Biopharma Ltd","IXBI","싱가포르","보건의료","생물공학 및 약품"
"HC Surgical Specialists","HCSU","싱가포르","보건의료","헬쓰케어 설비"
"Aoxin Q & M Dental","AOXI","싱가포르","보건의료","헬쓰케어 설비"
"Vicplas International","VICP","싱가포르","보건의료","의료 장비와 용품"
"UG Healthcare Corporation Ltd","UGHE","싱가포르","보건의료","의료 장비와 용품"
"QT Vascular Ltd","QTVA","싱가포르","보건의료","의료 장비와 용품"
"Medtecs International Corporation","MTCS","싱가포르","보건의료","의료 장비와 용품"
"AsiaMedic Ltd","ASIM","싱가포르","보건의료","의료 장비와 용품"
"Suntar Eco-City Ltd","SECL","싱가포르","보건의료","생물공학 및 약품"
"STAR Pharmaceutical Ltd","SRPT","싱가포르","보건의료","기간 약품"
"Pharmesis International Ltd","PHAR","싱가포르","보건의료","생물공학 및 약품"
"IHH Healthcare","IHHH","싱가포르","보건의료","헬쓰케어 설비"
"Top Glove Corp","TOPG","싱가포르","보건의료","의료 장비와 용품"
