"종목","기호","거래소","부문","산업"
"Formosa Plastics","1301","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"Nan Ya Plastics","1303","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"FCFC","1326","대만","기초 소재","화학제조"
"China Steel","2002","대만","기초 소재","철과 철강"
"Hiwin","2049","대만","기초 소재","다종 조립 제품"
"F.T.C","1434","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"Taiwan Fertilizer","1722","대만","기초 소재","화학제조"
"LCY Chemical","1704","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"LCP","1909","대만","기초 소재","종이와 종이 제품"
"Casetek","5264","대만","기초 소재","다종 조립 제품"
"CSCC","1723","대만","기초 소재","화학제조"
"Feng Hsin","2015","대만","기초 소재","철과 철강"
"Eternal Materials","1717","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"CPDC","1314","대만","기초 소재","화학제조"
"CSRC","2104","대만","기초 소재","화학제조"
"GPPC","1312","대만","기초 소재","화학제조"
"OUCC","1710","대만","기초 소재","화학제조"
"TSRC","2103","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"Tung Ho Steel","2006","대만","기초 소재","철과 철강"
"UPC Technology","1313","대만","기초 소재","화학제조"
"YFY Inc","1907","대만","기초 소재","종이와 종이 제품"
"Ton Yi","9907","대만","기초 소재","철과 철강"
"Cheng Loong","1904","대만","기초 소재","컨테이너와 포장"
"San Shing","5007","대만","기초 소재","다종 조립 제품"
"USI Corp","1304","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"Chung Hung Steel","2014","대만","기초 소재","철과 철강"
"Taiwan Hon Chuan","9939","대만","기초 소재","조립식 플라스틱과 고무"
"SSFC","1409","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"CGPC","1305","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"Taiwan Steel Union","6581","대만","기초 소재","화학제조"
"CMFC","1718","대만","기초 소재","화학제조"
"Y.C.P.","1726","대만","기초 소재","화학제조"
"Shiny Chemical","1773","대만","기초 소재","화학제조"
"Chung Hwa Pulp","1905","대만","기초 소재","종이와 종이 제품"
"Swancor","3708","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"TSMC","1310","대만","기초 소재","화학제조"
"CMP","1532","대만","기초 소재","철과 철강"
"Hsin Kuang Steel","2031","대만","기초 소재","철과 철강"
"Nantex","2108","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"YGG","1589","대만","기초 소재","철과 철강"
"Coremax","4739","대만","기초 소재","화학제조"
"Yeun Chyang","2034","대만","기초 소재","철과 철강"
"Everlight Chemical","1711","대만","기초 소재","화학제조"
"Asia Polymer","1308","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"FUCC","1709","대만","기초 소재","화학제조"
"Shihlin Paper","1903","대만","기초 소재","종이와 종이 제품"
"Sheng Yu Steel","2029","대만","기초 소재","철과 철강"
"Ho Tung","1714","대만","기초 소재","화학제조"
"TMI","9927","대만","기초 소재","금속 광업"
"All Cosmos Bio-Tech","4148","대만","기초 소재","화학제조"
"Hai Kwang","2038","대만","기초 소재","철과 철강"
"Jui Li","1512","대만","기초 소재","다종 조립 제품"
"China Glaze","1809","대만","기초 소재","화학제조"
"Ting Sin","2358","대만","기초 소재","금속 광업"
"Jung Shing Wire","1617","대만","기초 소재","다종 조립 제품"
"Jiyuan Packaging","8488","대만","기초 소재","컨테이너와 포장"
"Dah San Electric","1615","대만","기초 소재","다종 조립 제품"
"T.N.C.","1724","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"Space Shuttle","2440","대만","기초 소재","다종 조립 제품"
"Chung Hwa Chemical","1727","대만","기초 소재","화학제조"
"Headway Advanced Materials Inc","1776","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"Evermore Chemical","1735","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"SDTI","9955","대만","기초 소재","금속 광업"
"Sinkang","2032","대만","기초 소재","철과 철강"
"Tex Year Industries","4720","대만","기초 소재","화학제조"
"GBE","6133","대만","기초 소재","다종 조립 제품"
"Tri Ocean","1472","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"TTF","1454","대만","기초 소재","화학 제품 – 플라스틱과 고무"
"Evertop","1616","대만","기초 소재","다종 조립 제품"
"Hsin Ba Ba","9906","대만","기초 소재","조립식 플라스틱과 고무"
