"종목","기호","거래소","부문","산업"
"Taiwan Cement Corp","1101","대만","자본재","건설 – 원자재"
"Asia Cement Corp","1102","대만","자본재","건설 – 원자재"
"Airtac","1590","대만","자본재","다종 자본재"
"Ruentex","9945","대만","자본재","건설 서비스"
"Highwealth","2542","대만","자본재","건설 서비스"
"TGI","1802","대만","자본재","건설 – 용품과 비품"
"CTCI","9933","대만","자본재","건설 서비스"
"Sino Horizon","2923","대만","자본재","건설 서비스"
"AIDC","2634","대만","자본재","항공 우주와 방위"
"Farglory","5522","대만","자본재","건설 서비스"
"Ta Chen","2027","대만","자본재","건설 – 용품과 비품"
"Chong Hong","5534","대만","자본재","건설 서비스"
"Yungtay","1507","대만","자본재","다종 자본재"
"Huaku","2548","대만","자본재","건설 서비스"
"Yieh Phui","2023","대만","자본재","건설 – 용품과 비품"
"Prince Housing","2511","대만","자본재","건설 서비스"
"Hung Sheng Construction","2534","대만","자본재","건설 서비스"
"Cathay RED","2501","대만","자본재","건설 서비스"
"Taiwan Cogeneration","8926","대만","자본재","건설 서비스"
"UIS","2404","대만","자본재","건설 서비스"
"CIAS","9958","대만","자본재","건설 서비스"
"Rechi","4532","대만","자본재","다종 자본재"
"UCC","1104","대만","자본재","건설 – 원자재"
"China Hi-Ment","9930","대만","자본재","건설 – 원자재"
"Goldsun Building","2504","대만","자본재","건설 – 원자재"
"Run Long","1808","대만","자본재","건설 서비스"
"BES Engineering","2515","대만","자본재","건설 서비스"
"CHC Corp","3703","대만","자본재","건설 서비스"
"Sunonwealth","2421","대만","자본재","다종 자본재"
"Sakura Development","2539","대만","자본재","건설 서비스"
"Kinik","1560","대만","자본재","건설 – 용품과 비품"
"Kindom Construction","2520","대만","자본재","건설 서비스"
"Radium Life Tech","2547","대만","자본재","건설 서비스"
"Shining Building","5531","대만","자본재","건설 서비스"
"Huang Hsiang","2545","대만","자본재","건설 서비스"
"Lida Holdings","4552","대만","자본재","다종 자본재"
"Kuo Yang","2505","대만","자본재","건설 서비스"
"Chia Hsin Cement","1103","대만","자본재","건설 – 원자재"
"Kings Town","2524","대만","자본재","건설 서비스"
"Da-Li","6177","대만","자본재","건설 서비스"
