"종목","기호","거래소","부문","산업"
"Hotai Motor","2207","대만","경기 민감형 소비재","자동차와 트럭 제조"
"Cheng Shin Rubber","2105","대만","경기 민감형 소비재","타이어"
"Pou Chen","9904","대만","경기 민감형 소비재","신발"
"Eclat Textile","1476","대만","경기 민감형 소비재","의복/액세서리"
"Feng Tay","9910","대만","경기 민감형 소비재","신발"
"YNM","2227","대만","경기 민감형 소비재","자동차와 트럭 제조"
"Giant","9921","대만","경기 민감형 소비재","여가용 제품"
"Ruentex Industries","2915","대만","경기 민감형 소비재","직물 – 비의류"
"CBU","2231","대만","경기 민감형 소비재","자동차와 트럭 부품"
"Merida Industry","9914","대만","경기 민감형 소비재","여가용 제품"
"China Motor","2204","대만","경기 민감형 소비재","자동차와 트럭 제조"
"Yulon Motor","2201","대만","경기 민감형 소비재","자동차와 트럭 제조"
"Merry Electronics","2439","대만","경기 민감형 소비재","오디오와 비디오 장비"
"Kenda Rubber","2106","대만","경기 민감형 소비재","타이어"
"Hota","1536","대만","경기 민감형 소비재","자동차와 트럭 부품"
"Tong Yang","1319","대만","경기 민감형 소비재","자동차와 트럭 부품"
"Makalot","1477","대만","경기 민감형 소비재","의복/액세서리"
"Taiwan Paiho","9938","대만","경기 민감형 소비재","직물 – 비의류"
"Tainan Spinning","1440","대만","경기 민감형 소비재","의복/액세서리"
"Nan Kang Tire","2101","대만","경기 민감형 소비재","타이어"
"Ginko Intl","8406","TPEX","경기 민감형 소비재","여가용 제품"
"SYM","2206","대만","경기 민감형 소비재","여가용 제품"
"Cayman Engley Industrial","2239","대만","경기 민감형 소비재","자동차와 트럭 부품"
"Paiho Shih","8404","대만","경기 민감형 소비재","직물 – 비의류"
"Global PMX","4551","대만","경기 민감형 소비재","자동차와 트럭 부품"
"Shinkong Textile","1419","대만","경기 민감형 소비재","의복/액세서리"
"DEPO","6605","대만","경기 민감형 소비재","자동차와 트럭 부품"
"Roo Hsing","4414","대만","경기 민감형 소비재","의복/액세서리"
"San Fang","1307","대만","경기 민감형 소비재","직물 – 비의류"
"Quang Viet Enterprise","4438","대만","경기 민감형 소비재","의복/액세서리"
"Amtran Tech","2489","대만","경기 민감형 소비재","오디오와 비디오 장비"
"Nan Liu","6504","대만","경기 민감형 소비재","직물 – 비의류"
"Lealea","1444","대만","경기 민감형 소비재","직물 – 비의류"
"Fulgent Sun","9802","대만","경기 민감형 소비재","신발"
"JHT","1736","대만","경기 민감형 소비재","여가용 제품"
"Kayee","2939","대만","경기 민감형 소비재","가구와 비품"
"TYC Brother","1522","대만","경기 민감형 소비재","자동차와 트럭 부품"
"Hiroca Holdings","1338","대만","경기 민감형 소비재","자동차와 트럭 부품"
"De Licacy","1464","대만","경기 민감형 소비재","직물 – 비의류"
"Taiwan Sakura","9911","대만","경기 민감형 소비재","가전과 공구"
"TOPBI","2929","대만","경기 민감형 소비재","의복/액세서리"
"Zeng Hsing","1558","대만","경기 민감형 소비재","가전과 공구"
"Topkey","4536","대만","경기 민감형 소비재","여가용 제품"
"IRF","2228","대만","경기 민감형 소비재","자동차와 트럭 부품"
"Basso","1527","대만","경기 민감형 소비재","가전과 공구"
"Li Cheng","4426","대만","경기 민감형 소비재","의복/액세서리"
"Zig Sheng","1455","대만","경기 민감형 소비재","의복/액세서리"
"Everest Textile","1460","대만","경기 민감형 소비재","직물 – 비의류"
"Taiwan Sanyo","1614","대만","경기 민감형 소비재","가전과 공구"
"Ta Yih Industrial","1521","대만","경기 민감형 소비재","자동차와 트럭 부품"
"Tung Ho","1414","대만","경기 민감형 소비재","의복/액세서리"
"Reward Wool","1423","대만","경기 민감형 소비재","직물 – 비의류"
"Bonny Worldwide Ltd","8467","대만","경기 민감형 소비재","여가용 제품"
"Chang Ho","1468","대만","경기 민감형 소비재","직물 – 비의류"
