"종목","기호","거래소","부문","산업"
"St.Shine Optical","1565","TPEX","보건의료","의료 장비와 용품"
"Grape King Bio","1707","대만","보건의료","생물공학 및 약품"
"Pharmally","6452","대만","보건의료","생물공학 및 약품"
"SPT","1789","대만","보건의료","생물공학 및 약품"
"Tanvex BioPharma","6541","대만","보건의료","생물공학 및 약품"
"Y.S.H.","3705","대만","보건의료","생물공학 및 약품"
"Panion BF Biotech","1760","대만","보건의료","생물공학 및 약품"
"Excelsior","4104","대만","보건의료","의료 장비와 용품"
"SCPC","1720","대만","보건의료","생물공학 및 약품"
"Formosa Lab","4746","대만","보건의료","생물공학 및 약품"
"CCPC","1701","대만","보건의료","생물공학 및 약품"
"SCI Pharmtech","4119","대만","보건의료","기간 약품"
"CHC Healthcare","4164","대만","보건의료","의료 장비와 용품"
"ADIM","4142","대만","보건의료","생물공학 및 약품"
"SVBI","1786","대만","보건의료","의료 장비와 용품"
"Phytohealth","4108","대만","보건의료","생물공학 및 약품"
"Sinphar","1734","대만","보건의료","생물공학 및 약품"
"Bionime","4737","대만","보건의료","생물공학 및 약품"
"Coland","4144","대만","보건의료","생물공학 및 약품"
"ApexBio","1733","대만","보건의료","생물공학 및 약품"
"Ok Biotech","4155","대만","보건의료","생물공학 및 약품"
"Apex Medical","4106","대만","보건의료","의료 장비와 용품"
"Abnova","4133","대만","보건의료","생물공학 및 약품"
"GenMont Biotech","3164","대만","보건의료","생물공학 및 약품"
"CCSB","1762","대만","보건의료","생물공학 및 약품"
"Maywufa","1731","대만","보건의료","기간 약품"
"Intech Biopharm","6461","TPEX","보건의료","생물공학 및 약품"
"Bora Pharmas","6472","TPEX","보건의료","생물공학 및 약품"
"Medigen Vaccine Biologics","6547","TPEX","보건의료","생물공학 및 약품"
"Thevax Genetics Vaccine","6567","TPEX","보건의료","생물공학 및 약품"
"Somnics","6633","TPEX","보건의료","의료 장비와 용품"
"tsh biopharmoration","8432","TPEX","보건의료","생물공학 및 약품"
"Yung Zip Chemical","4102","TPEX","보건의료","생물공학 및 약품"
"Microlife","4103","TPEX","보건의료","의료 장비와 용품"
"Bioteque","4107","TPEX","보건의료","의료 장비와 용품"
"TaiMed Biologics","4147","TPEX","보건의료","생물공학 및 약품"
"Unicon Optical","4150","TPEX","보건의료","의료 장비와 용품"
