"종목","기호","거래소","부문","산업"
"Uni-President","1216","대만","소비재/ 경기 방어형","식품 가공"
"Nien Made Enterprise Co Ltd","8464","대만","소비재/ 경기 방어형","개인과 가계용 제품"
"Standard Foods","1227","대만","소비재/ 경기 방어형","식품 가공"
"Gourmet Master","2723","대만","소비재/ 경기 방어형","식품 가공"
"LHIC","1229","대만","소비재/ 경기 방어형","식품 가공"
"Great Wall Ent","1210","대만","소비재/ 경기 방어형","식품 가공"
"Namchow Chemical","1702","대만","소비재/ 경기 방어형","식품 가공"
"Charoen Pokphand Enterprise","1215","대만","소비재/ 경기 방어형","식품 가공"
"Formosa Oilseed","1225","대만","소비재/ 경기 방어형","식품 가공"
"TTET","1232","대만","소비재/ 경기 방어형","식품 가공"
"Hey-Song","1234","대만","소비재/ 경기 방어형","음료 (비알코올성)"
"Wei-Chuan Foods","1201","대만","소비재/ 경기 방어형","식품 가공"
"Taiwan Tea","2913","대만","소비재/ 경기 방어형","식품 가공"
"Chlitina","4137","대만","소비재/ 경기 방어형","개인과 가계용 제품"
"Taisun","1218","대만","소비재/ 경기 방어형","식품 가공"
"Taiwan Fu Hsing","9924","대만","소비재/ 경기 방어형","개인과 가계용 제품"
"Ve Wong Corp","1203","대만","소비재/ 경기 방어형","식품 가공"
"Fwusow","1219","대만","소비재/ 경기 방어형","식품 가공"
"Lian Hwa Foods","1231","대만","소비재/ 경기 방어형","식품 가공"
"Tah Hsin","1315","대만","소비재/ 경기 방어형","개인과 가계용 제품"
"Sunjuice Holdings","1256","대만","소비재/ 경기 방어형","식품 가공"
"Jourdeness Group","4190","대만","소비재/ 경기 방어형","개인과 가계용 제품"
"AGV","1217","대만","소비재/ 경기 방어형","식품 가공"
"Ten Ren","1233","대만","소비재/ 경기 방어형","식품 가공"
"Ching Feng","9935","대만","소비재/ 경기 방어형","개인과 가계용 제품"
"Parpro","4916","대만","소비재/ 경기 방어형","개인과 가계용 제품"
"Farcent","1730","대만","소비재/ 경기 방어형","개인과 가계용 제품"
"Kang Na Hsiung","9919","대만","소비재/ 경기 방어형","개인과 가계용 제품"
"Shin Tai","1235","대만","소비재/ 경기 방어형","식품 가공"
"MBI","1783","대만","소비재/ 경기 방어형","개인과 가계용 제품"
"TaiRoun","1220","대만","소비재/ 경기 방어형","식품 가공"
"Hunya Foods","1236","대만","소비재/ 경기 방어형","식품 가공"
"Oceanic","1213","대만","소비재/ 경기 방어형","음료 (비알코올성)"
"Mao Bao","1732","대만","소비재/ 경기 방어형","개인과 가계용 제품"
"Nan Juen Intl","6584","TPEX","소비재/ 경기 방어형","개인과 가계용 제품"
"Tai-Ling Biotech","8496","TPEX","소비재/ 경기 방어형","곡물"
"Eagle Cold Storage","8905","TPEX","소비재/ 경기 방어형","식품 가공"
"Orient Europharma","4120","TPEX","소비재/ 경기 방어형","식품 가공"
"Microbio","4128","TPEX","소비재/ 경기 방어형","식품 가공"
"Thai Ho Group","4136","TPEX","소비재/ 경기 방어형","개인과 가계용 제품"
"Nan Tsan","4712","TPEX","소비재/ 경기 방어형","식품 가공"
"Kee Song Bio-Tech","1258","TPEX","소비재/ 경기 방어형","식품 가공"
"Tehmag Foods","1264","TPEX","소비재/ 경기 방어형","식품 가공"
"Fulltech Fiber Glass","1815","TPEX","소비재/ 경기 방어형","개인과 가계용 제품"
"Chung Hwa Food","4205","TPEX","소비재/ 경기 방어형","식품 가공"
"Morn Sun Feed Mill","1240","TPEX","소비재/ 경기 방어형","식품 가공"
"Allied Biotech","1780","TPEX","소비재/ 경기 방어형","식품 가공"
"Golden BioTech","4132","TPEX","소비재/ 경기 방어형","식품 가공"
"Ibase Gaming","6441","TPEX","소비재/ 경기 방어형","개인과 가계용 제품"
"Dabomb Protein","6578","TPEX","소비재/ 경기 방어형","식품 가공"
"GeneFerm BioTech","1796","TPEX","소비재/ 경기 방어형","음료 (비알코올성)"
"Vigor Kobo","2733","TPEX","소비재/ 경기 방어형","식품 가공"
"Tensall Bio-Tech","4135","TPEX","소비재/ 경기 방어형","개인과 가계용 제품"
"Oneness Biotech","4743","TPEX","소비재/ 경기 방어형","개인과 가계용 제품"
"Glotech","5475","TPEX","소비재/ 경기 방어형","개인과 가계용 제품"
"Bon Fame","8433","TPEX","소비재/ 경기 방어형","개인과 가계용 제품"
"Fu Burg","8929","TPEX","소비재/ 경기 방어형","개인과 가계용 제품"
"Glac Biotech","6553","TPEX","소비재/ 경기 방어형","식품 가공"
"Flavor Full Foods","1260","TPEX","소비재/ 경기 방어형","식품 가공"
"United Oriental Glass","1814","TPEX","소비재/ 경기 방어형","개인과 가계용 제품"
"Yummy Town Cayman","2726","TPEX","소비재/ 경기 방어형","음료 (비알코올성)"
"Megaforce","3294","TPEX","소비재/ 경기 방어형","개인과 가계용 제품"
"Taiwan Fructose","4207","TPEX","소비재/ 경기 방어형","식품 가공"
"Tait Marketing & Distribution","5902","TPEX","소비재/ 경기 방어형","음료 (비알코올성)"
