"종목","기호","거래소","부문","산업"
"Tellurian","TELL","나스닥","에너지","석유와 가스 – 통합"
"Warrior Met Coal","HCC","뉴욕","에너지","석탄"
"로완","RDC","뉴욕","에너지","유정 서비스와 장비"
"Mammoth Energy Services","TUSK","나스닥","에너지","유정 서비스와 장비"
"ProPetro","PUMP","뉴욕","에너지","유정 서비스와 장비"
"Carrizo Oil&Gas","CRZO","나스닥","에너지","석유와 가스 운용"
"Superior Energy Services Inc","SPN","뉴욕","에너지","유정 서비스와 장비"
"Select Energy Services","WTTR","뉴욕","에너지","유정 서비스와 장비"
"Forum Energy Technologies","FET","뉴욕","에너지","유정 서비스와 장비"
"덴버리 리소시스","DNR","뉴욕","에너지","석유와 가스 운용"
"Gran Tierra","GTE","뉴욕","에너지","석유와 가스 운용"
"Now Inc","DNOW","뉴욕","에너지","유정 서비스와 장비"
"HighPoint","HPR","뉴욕","에너지","석유와 가스 운용"
"노블","NE","뉴욕","에너지","유정 서비스와 장비"
"Unit Corp","UNT","뉴욕","에너지","유정 서비스와 장비"
"Helix Nrg Sol.","HLX","뉴욕","에너지","유정 서비스와 장비"
"Enbridge Energy Management LLC","EEQ","뉴욕","에너지","유정 서비스와 장비"
"Ultra Petroleum","UPL","나스닥","에너지","석유와 가스 운용"
"Precision Drill","PDS","뉴욕","에너지","유정 서비스와 장비"
"Consol Energy","CEIX","뉴욕","에너지","석탄"
"Resolute Energy","REN","뉴욕","에너지","석유와 가스 운용"
"Erin Energy","ERN","뉴욕","에너지","석유와 가스 – 통합"
"Ring Energy Inc","REI","뉴욕","에너지","석유와 가스 – 통합"
"Par Pacific Holdings","PARR","뉴욕","에너지","석유와 가스 운용"
"Halcon Resources","HK","뉴욕","에너지","석유와 가스 운용"
"Solaris Oilfield","SOI","뉴욕","에너지","유정 서비스와 장비"
"GeoPark Ltd","GPRK","뉴욕","에너지","석유와 가스 운용"
"Newpark Res","NR","뉴욕","에너지","유정 서비스와 장비"
"Stone Energy","SGY","뉴욕","에너지","석유와 가스 운용"
"California Resources Corp","CRC","뉴욕","에너지","석유와 가스 – 통합"
"NCS Multistage","NCSM","나스닥","에너지","유정 서비스와 장비"
"Contura Energy","CNTE","OTC Markets","에너지","석탄"
"Tidewater Inc.","TDW","뉴욕","에너지","유정 서비스와 장비"
"Baytex Energy Corp","BTE","뉴욕","에너지","석유와 가스 운용"
"Archrock","AROC","뉴욕","에너지","유정 서비스와 장비"
"Earthstone Energy Inc","ESTE","뉴욕","에너지","석유와 가스 운용"
"W&T Offshore","WTI","뉴욕","에너지","석유와 가스 운용"
"Bonanza Creek","BCEI","뉴욕","에너지","석유와 가스 운용"
"Advantage","AAV","뉴욕","에너지","석유와 가스 운용"
"Nine Energy","NINE","뉴욕","에너지","유정 서비스와 장비"
"Penn Virginia","PVAC","나스닥","에너지","석유와 가스 운용"
"SandRidge Energy","SD","뉴욕","에너지","석유와 가스 운용"
"Obsidian Energy","OBE","뉴욕","에너지","석유와 가스 운용"
"Bristow Group","BRS","뉴욕","에너지","유정 서비스와 장비"
"Tetra Tech","TTI","뉴욕","에너지","유정 서비스와 장비"
"Basic Nrg Ser","BAS","뉴욕","에너지","유정 서비스와 장비"
"Abraxas Petrol","AXAS","나스닥","에너지","석유와 가스 운용"
"Eclps Rsrcs","ECR","뉴욕","에너지","석유와 가스 – 통합"
"Matrix Service","MTRX","나스닥","에너지","유정 서비스와 장비"
"Ion Geophysical","IO","뉴욕","에너지","유정 서비스와 장비"
"Flotek Ind.","FTK","뉴욕","에너지","유정 서비스와 장비"
"Pengrowth","PGH","뉴욕","에너지","석유와 가스 운용"
"SilverBow","SBOW","뉴욕","에너지","석유와 가스 운용"
"Midstates Petro","MPO","뉴욕","에너지","석유와 가스 운용"
"Panhandle","PHX","뉴욕","에너지","석유와 가스 운용"
"Ep Energy C","EPE","뉴욕","에너지","석유와 가스 운용"
"Natural Gas Ser","NGS","뉴욕","에너지","유정 서비스와 장비"
"Quintana Energy Services","QES","뉴욕","에너지","유정 서비스와 장비"
"Ramaco Resources","METC","나스닥","에너지","석탄"
"Isramco Inc","ISRL","나스닥","에너지","석유와 가스 운용"
"Amyris","AMRS","나스닥","에너지","석유와 가스 운용"
"Evolution Petro","EPM","뉴욕","에너지","석유와 가스 운용"
"Sanchez Energy","SN","뉴욕","에너지","석유와 가스 운용"
"ADES","ADES","나스닥","에너지","석탄"
"Clean Nrg Fuel","CLNE","나스닥","에너지","석유와 가스 운용"
"NACCO Ind.","NC","뉴욕","에너지","석탄"
"Cloud Peak Nrg","CLD","뉴욕","에너지","석탄"
"RigNet","RNET","나스닥","에너지","유정 서비스와 장비"
"Approach Res","AREX","나스닥","에너지","석유와 가스 운용"
"Key Nrg Ser","KEG","뉴욕","에너지","유정 서비스와 장비"
"Vanguard Natural Resources","VNRR","OTC Markets","에너지","석유와 가스 – 통합"
"Zion Oil & Gas Inc","ZN","나스닥","에너지","석유와 가스 운용"
"Lilis Energy","LLEX","뉴욕","에너지","석유와 가스 운용"
"Hallador Energy","HNRG","나스닥","에너지","석탄"
"CARBO Ceramics Inc","CRR","뉴욕","에너지","유정 서비스와 장비"
"Pioneer Energy Services","PES","뉴욕","에너지","유정 서비스와 장비"
"Adams Res & Nrg","AE","뉴욕","에너지","석유와 가스 운용"
"EOS Petro","EOPT","OTC Markets","에너지","석유와 가스 운용"
"PHI","PHII","나스닥","에너지","유정 서비스와 장비"
"PHI","PHIIK","나스닥","에너지","유정 서비스와 장비"
"North American Energy Partners","NOA","뉴욕","에너지","유정 서비스와 장비"
"Gastar Explo.","GST","뉴욕","에너지","석유와 가스 – 통합"
"Independence Contract Drilling","ICD","뉴욕","에너지","유정 서비스와 장비"
"Energy XXI Gulf Coast","EGC","나스닥","에너지","석유와 가스 – 통합"
"Northern O&G","NOG","뉴욕","에너지","석유와 가스 운용"
"Genie Energy","GNE","뉴욕","에너지","석유와 가스 – 통합"
"PrimeEnergy Corp","PNRG","나스닥","에너지","석유와 가스 운용"
"Seadrill Ltd","SDRL","뉴욕","에너지","유정 서비스와 장비"
"Goodrich Petrol","GDP","뉴욕","에너지","석유와 가스 운용"
"Comstock Res","CRK","뉴욕","에너지","석유와 가스 운용"
"Lonestar Resources","LONE","나스닥","에너지","석유와 가스 운용"
"Aegean Marine Petroleum Network","ANW","뉴욕","에너지","석유와 가스 운용"
"TransGlobe","TGA","나스닥","에너지","석유와 가스 운용"
"Contango O&G","MCF","뉴욕","에너지","석유와 가스 – 통합"
"Parker Drilling","PKD","뉴욕","에너지","유정 서비스와 장비"
"Jones Energy","JONE","뉴욕","에너지","석유와 가스 운용"
"Torchlight Energ","TRCH","나스닥","에너지","석유와 가스 운용"
"Trans Atlantic Petroleum Ltd.","TAT","뉴욕","에너지","석유와 가스 운용"
"Eco Stim Energy Solutions Inc","ESES","나스닥","에너지","유정 서비스와 장비"
"Vaalco Energy","EGY","뉴욕","에너지","석유와 가스 운용"
"Trans Energy Inc","TENG","OTC Markets","에너지","석유와 가스 운용"
"Enservco Co","ENSV","뉴욕","에너지","유정 서비스와 장비"
"Superior Drilling Products Inc","SDPI","뉴욕","에너지","유정 서비스와 장비"
"Mitcham Ind.","MIND","나스닥","에너지","유정 서비스와 장비"
"CPSM Inc","SWMM","OTC Markets","에너지","석유와 가스 운용"
"Rosehill Resources A","ROSE","나스닥","에너지","석유와 가스 – 통합"
"Willbros Group","WGRP","OTC Markets","에너지","유정 서비스와 장비"
"QS Energy","QSEP","OTC Markets","에너지","석유와 가스 운용"
"Synthesis Energy","SES","나스닥","에너지","석유와 가스 – 통합"
"Spindletop O&G","SPND","OTC Markets","에너지","석유와 가스 운용"
"Yuma Energy Inc","YUMA","뉴욕","에너지","석유와 가스 – 통합"
"Recon Technology","RCON","나스닥","에너지","유정 서비스와 장비"
"SAExploration Holdings","SAEX","나스닥","에너지","유정 서비스와 장비"
"FairWind Energy","FWDR","OTC Markets","에너지","유정 서비스와 장비"
"Houston American Energy Corp","HUSA","뉴욕","에너지","석유와 가스 운용"
"Vantage Drill.","VTGDF","OTC Markets","에너지","유정 서비스와 장비"
"Barnwell Industries Inc","BRN","뉴욕","에너지","석유와 가스 운용"
"Petroquest Nrg","PQ","뉴욕","에너지","석유와 가스 – 통합"
"Black Ridge Oil Gas","ANFC","OTC Markets","에너지","석유와 가스 – 통합"
"Petro River Oil Corp","PTRC","OTC Markets","에너지","석유와 가스 운용"
"RDX Technologies","RGDEF","OTC Markets","에너지","유정 서비스와 장비"
"Viking Energy","VKIN","OTC Markets","에너지","석유와 가스 – 통합"
"Pacific Drilling SA","PACDQ","OTC Markets","에너지","유정 서비스와 장비"
"Ivanhoe Energy","IVANF","OTC Markets","에너지","유정 서비스와 장비"
"Neon Capital","NEOEF","OTC Markets","에너지","석유와 가스 운용"
"Rockdale Resources","BBLS","OTC Markets","에너지","석유와 가스 – 통합"
"Blue Dolphin Energy","BDCO","OTC Markets","에너지","석유와 가스 운용"
"Quest Solution","QUES","OTC Markets","에너지","석유와 가스 – 통합"
"Royale Energy","ROYL","OTC Markets","에너지","유정 서비스와 장비"
"Deep Well Oil & Gas","DWOG","OTC Markets","에너지","석유와 가스 운용"
"Rex Energy Corp","REXX","나스닥","에너지","석유와 가스 운용"
"EXCO Resources","XCOOQ","OTC Markets","에너지","석유와 가스 운용"
"Tengasco","TGC","뉴욕","에너지","석유와 가스 운용"
"Sigma Labs","SGLB","나스닥","에너지","석유와 가스 운용"
"Westmor. Coal","WLB","나스닥","에너지","석탄"
"Mexco Energy Corp","MXC","뉴욕","에너지","석유와 가스 운용"
"Galenfeha","GLFH","OTC Markets","에너지","유정 서비스와 장비"
"Genoil","GNOLF","OTC Markets","에너지","유정 서비스와 장비"
"Ageagle Aerial Systems","UAVS","뉴욕","에너지","석유와 가스 운용"
"MMEX Resources","MMEX","OTC Markets","에너지","석탄"
"Yinhang Internet Tech","YITD","OTC Markets","에너지","석유와 가스 운용"
"Brookside Energy","RDFEF","OTC Markets","에너지","석유와 가스 운용"
"Green Planet Grp","GNPG","OTC Markets","에너지","석유와 가스 – 통합"
"Saratoga Resources","SARA","OTC Markets","에너지","석유와 가스 운용"
"Camber Energy","CEI","뉴욕","에너지","석유와 가스 – 통합"
"Exosphere Technolog","ESPH","OTC Markets","에너지","유정 서비스와 장비"
"Holloman Energy Corp","HENC","OTC Markets","에너지","석유와 가스 – 통합"
"New Concept Energy Inc","GBR","뉴욕","에너지","석유와 가스 운용"
"Victory Energy","VYEY","OTC Markets","에너지","석유와 가스 운용"
"Longwei Petroleum","LPIH","OTC Markets","에너지","석유와 가스 운용"
"엑슨 모빌","XOM","뉴욕","에너지","석유와 가스 운용"
"셰브론","CVX","뉴욕","에너지","석유와 가스 – 통합"
"슐럼버거","SLB","뉴욕","에너지","유정 서비스와 장비"
"코노코필립스","COP","뉴욕","에너지","석유와 가스 – 통합"
"EOG 리소시스","EOG","뉴욕","에너지","석유와 가스 운용"
"Suncor Energy Inc.","SU","뉴욕","에너지","석유와 가스 운용"
"옥시덴탈","OXY","뉴욕","에너지","석유와 가스 – 통합"
"필립스 66","PSX","뉴욕","에너지","석유와 가스 운용"
"핼리버튼","HAL","뉴욕","에너지","유정 서비스와 장비"
"발레로 에너지","VLO","뉴욕","에너지","석유와 가스 운용"
"Can Nat. Res.","CNQ","뉴욕","에너지","석유와 가스 운용"
"TransCanada","TRP","뉴욕","에너지","유정 서비스와 장비"
"마라톤 페트롤륨","MPC","뉴욕","에너지","석유와 가스 운용"
"Baker Hughes A","BHGE","뉴욕","에너지","석유와 가스 – 통합"
"아나다코 페트롤리엄","APC","뉴욕","에너지","석유와 가스 – 통합"
"파이오니어 내츄럴 리소시스","PXD","뉴욕","에너지","석유와 가스 – 통합"
"원오크","OKE","뉴욕","에너지","석유와 가스 – 통합"
"Imperial Oil","IMO","뉴욕","에너지","석유와 가스 운용"
"Continental Resources Inc","CLR","뉴욕","에너지","석유와 가스 운용"
"Concho Resources Inc","CXO","뉴욕","에너지","석유와 가스 운용"
"윌리엄스 컴퍼니스","WMB","뉴욕","에너지","석유와 가스 운용"
"데본 에너지","DVN","뉴욕","에너지","석유와 가스 운용"
"헤스","HES","뉴욕","에너지","석유와 가스 운용"
"Andeavor","ANDV","뉴욕","에너지","석유와 가스 운용"
"노블 에너지","NBL","뉴욕","에너지","석유와 가스 – 통합"
"아파치","APA","뉴욕","에너지","석유와 가스 운용"
"Teck Resources B","TECK","뉴욕","에너지","석탄"
"Husky","HUSKF","OTC Markets","에너지","석유와 가스 운용"
"내셔날 오일웰 바르코","NOV","뉴욕","에너지","유정 서비스와 장비"
"TechnipFMC","FTI","뉴욕","에너지","석유와 가스 – 통합"
"마라톤 오일","MRO","뉴욕","에너지","석유와 가스 – 통합"
"Cheniere Energy","LNG","뉴욕","에너지","석유와 가스 운용"
"EQT","EQT","뉴욕","에너지","석유와 가스 운용"
"Diamondback Energy Inc","FANG","나스닥","에너지","석유와 가스 운용"
"캐봇 오일 & 가스","COG","뉴욕","에너지","석유와 가스 운용"
"Encana Corporation","ECA","뉴욕","에너지","석유와 가스 운용"
"Cenovus Energy","CVE","뉴욕","에너지","석유와 가스 운용"
"Cimarex Energy","XEC","뉴욕","에너지","석유와 가스 운용"
"Parsley Energy","PE","뉴욕","에너지","석유와 가스 – 통합"
"HollyFrontier Co","HFC","뉴욕","에너지","석유와 가스 운용"
"Rsp Permian","RSPP","뉴욕","에너지","석유와 가스 – 통합"
"헬머리치 앤 페인","HP","뉴욕","에너지","유정 서비스와 장비"
"Plains GP Holdings","PAGP","뉴욕","에너지","유정 서비스와 장비"
"Antero Resources Corp","AR","뉴욕","에너지","석유와 가스 – 통합"
"Energen Corp","EGN","뉴욕","에너지","석유와 가스 – 통합"
"WPX 에너지","WPX","뉴욕","에너지","석유와 가스 운용"
"Centennial Res Dev","CDEV","나스닥","에너지","석유와 가스 – 통합"
"Peabody Energy","BTU","뉴욕","에너지","석탄"
"뉴필드 익스플로레이션","NFX","뉴욕","에너지","석유와 가스 운용"
"Core Laboratories","CLB","뉴욕","에너지","유정 서비스와 장비"
"Triangle Petrol","TPLM","OTC Markets","에너지","석유와 가스 운용"
"Pledge Petroleum","PROP","OTC Markets","에너지","석유와 가스 – 통합"
"Next Generation Management","NGMC","OTC Markets","에너지","석유와 가스 운용"
"FieldPoint Petroleum Corp","FPPP","OTC Markets","에너지","석유와 가스 운용"
"PEDEVCO","PED","뉴욕","에너지","유정 서비스와 장비"
"1st NRG Corp","FNRC","OTC Markets","에너지","석유와 가스 운용"
"CanAm Coal","COECF","OTC Markets","에너지","석탄"
"MNP Petroleum","MNAP","OTC Markets","에너지","석유와 가스 운용"
"Cobalt International Energy","CIEIQ","OTC Markets","에너지","석유와 가스 운용"
"Cross Border Res","XBOR","OTC Markets","에너지","석유와 가스 운용"
"Gase Energy","GASE","OTC Markets","에너지","석유와 가스 – 통합"
"Eagle Oil Hld Co","EGOH","OTC Markets","에너지","석유와 가스 운용"
"Arete Industries Inc","ARET","OTC Markets","에너지","석유와 가스 운용"
"Pioneer Oil & Gas","POGS","OTC Markets","에너지","석유와 가스 운용"
"Quest Oil Corp","QOIL","OTC Markets","에너지","석유와 가스 운용"
"Walter Industries Inc","WLTGQ","OTC Markets","에너지","석탄"
"Virginia Hills Oil","VFGGF","OTC Markets","에너지","석유와 가스 운용"
"Bayport Int","BAYP","OTC Markets","에너지","석유와 가스 – 통합"
"Kodiak Energy Inc","KDKN","OTC Markets","에너지","석유와 가스 운용"
"Legend Oil & Gas","LOGL","OTC Markets","에너지","석유와 가스 운용"
"Delta Oil & Gas Inc","DLTA","OTC Markets","에너지","석유와 가스 운용"
"Abby, Inc","ABBY","OTC Markets","에너지","석유와 가스 운용"
"ERHC Energy","ERHE","OTC Markets","에너지","석유와 가스 운용"
"Oct 88 Res Inc","OCTX","OTC Markets","에너지","석유와 가스 – 통합"
"NovaDX Ventures","NDXFF","OTC Markets","에너지","석탄"
