"종목","기호","거래소","부문","산업"
"Craft Brewers","BREW","나스닥","소비재/ 경기 방어형","음료(알코올성)"
"Limoneira Co","LMNR","나스닥","소비재/ 경기 방어형","곡물"
"Essendant Inc","ESND","나스닥","소비재/ 경기 방어형","사무용품"
"Oil-Dri Corp","ODC","뉴욕","소비재/ 경기 방어형","개인과 가계용 제품"
"Seneca Foods","SENEA","나스닥","소비재/ 경기 방어형","식품 가공"
"Seneca Foods Corp (B)","SENEB","나스닥","소비재/ 경기 방어형","식품 가공"
"Farmland Partners","FPI","뉴욕","소비재/ 경기 방어형","곡물"
"Crimson Wine","CWGL","OTC Markets","소비재/ 경기 방어형","음료(알코올성)"
"Pingtan Marine Enterprise Ltd","PME","나스닥","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Alico","ALCO","나스닥","소비재/ 경기 방어형","곡물"
"Alliance One Int","AOI","뉴욕","소비재/ 경기 방어형","담배"
"Castle Brands Inc","ROX","뉴욕","소비재/ 경기 방어형","음료(알코올성)"
"Celsius","CELH","나스닥","소비재/ 경기 방어형","음료 (비알코올성)"
"Lifetime Brands","LCUT","나스닥","소비재/ 경기 방어형","개인과 가계용 제품"
"Amira Nature Fds","ANFI","뉴욕","소비재/ 경기 방어형","식품 가공"
"Bridgford Foods C","BRID","나스닥","소비재/ 경기 방어형","식품 가공"
"Jamba Inc","JMBA","나스닥","소비재/ 경기 방어형","식품 가공"
"Lifeway Foods","LWAY","나스닥","소비재/ 경기 방어형","식품 가공"
"G. Willi-Food Int","WILC","나스닥","소비재/ 경기 방어형","식품 가공"
"S&W Seed Company","SANW","나스닥","소비재/ 경기 방어형","곡물"
"New Age Beverages","NBEV","나스닥","소비재/ 경기 방어형","음료(알코올성)"
"Armanino Foods New","AMNF","OTC Markets","소비재/ 경기 방어형","식품 가공"
"Lexaria Bioscience","LXRP","OTC Markets","소비재/ 경기 방어형","식품 가공"
"Youngevity International","YGYI","나스닥","소비재/ 경기 방어형","식품 가공"
"Cannabis Sativa","CBDS","OTC Markets","소비재/ 경기 방어형","개인과 가계용 제품"
"United-Guardian","UG","나스닥","소비재/ 경기 방어형","개인과 가계용 제품"
"Mcig Inc","MCIG","OTC Markets","소비재/ 경기 방어형","담배"
"Farmmi","FAMI","나스닥","소비재/ 경기 방어형","곡물"
"Rocky Mountain Ch","RMCF","나스닥","소비재/ 경기 방어형","식품 가공"
"Tandy Leather Fac","TLF","나스닥","소비재/ 경기 방어형","개인과 가계용 제품"
"Acme United Corp","ACU","뉴욕","소비재/ 경기 방어형","개인과 가계용 제품"
"Fuling Global Inc","FORK","나스닥","소비재/ 경기 방어형","개인과 가계용 제품"
"HPC Acquisitions","VEGL","OTC Markets","소비재/ 경기 방어형","개인과 가계용 제품"
"AMCON Distributing Co","DIT","뉴욕","소비재/ 경기 방어형","담배"
"Pure Bioscience, Inc","PURE","OTC Markets","소비재/ 경기 방어형","개인과 가계용 제품"
"Scotts Liquid Gold","SLGD","OTC Markets","소비재/ 경기 방어형","개인과 가계용 제품"
"TDH Holdings","PETZ","나스닥","소비재/ 경기 방어형","식품 가공"
"Willamette Valley","WVVI","나스닥","소비재/ 경기 방어형","음료(알코올성)"
"Ocean Bio-Chem","OBCI","나스닥","소비재/ 경기 방어형","개인과 가계용 제품"
"Innovative Food Hldg","IVFH","OTC Markets","소비재/ 경기 방어형","식품 가공"
"Eastside Distilling","EAST","나스닥","소비재/ 경기 방어형","음료(알코올성)"
"Ricebran Tech","RIBT","나스닥","소비재/ 경기 방어형","식품 가공"
"Long Blockchain","LBCC","나스닥","소비재/ 경기 방어형","음료 (비알코올성)"
"Coffee Holding","JVA","나스닥","소비재/ 경기 방어형","식품 가공"
"Reeds Inc","REED","뉴욕","소비재/ 경기 방어형","음료 (비알코올성)"
"Vitaxel","VXEL","OTC Markets","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
