"종목","기호","거래소","부문","산업"
"Alimentation Couchen A","ANCTF","OTC Markets","서비스","소매(식료잡화)"
"에쿼티 레지덴셜","EQR","뉴욕","서비스","부동산 운용"
"Rogers Communications","RCI","뉴욕","서비스","통신 서비스"
"아발론베이","AVB","뉴욕","서비스","부동산 운용"
"달러트리","DLTR","나스닥","서비스","소매(백화점과 할인점)"
"Liberty Media Formula A","FWONA","나스닥","서비스","방송과 케이블 티브이"
"Liberty Media Braves A","BATRA","나스닥","서비스","방송과 케이블 티브이"
"Liberty Media SiriusXM B","LSXMB","나스닥","서비스","방송과 케이블 티브이"
"Liberty Media SiriusXM A","LSXMA","나스닥","서비스","방송과 케이블 티브이"
"Liberty Media Formula C","FWONK","나스닥","서비스","방송과 케이블 티브이"
"Liberty Media SiriusXM C","LSXMK","나스닥","서비스","방송과 케이블 티브이"
"Liberty Media Braves C","BATRK","나스닥","서비스","방송과 케이블 티브이"
"리퍼블릭 서비스","RSG","뉴욕","서비스","폐기물 관리 서비스"
"페이첵스","PAYX","나스닥","서비스","사업 서비스"
"Digital Realty Trust Inc","DLR","뉴욕","서비스","부동산 운용"
"크로거","KR","뉴욕","서비스","소매(식료잡화)"
"TELUS","TU","뉴욕","서비스","통신 서비스"
"Welltower Inc","WELL","뉴욕","서비스","부동산 운용"
"베스트바이","BBY","뉴욕","서비스","소매(기술제품)"
"CBS","CBS","뉴욕","서비스","방송과 케이블 티브이"
"CBS A","CBSa","뉴욕","서비스","방송과 케이블 티브이"
"SBA Communications","SBAC","나스닥","서비스","렌탈과 리스"
"GGP","GGP","뉴욕","서비스","부동산 운용"
"Sprint Nextel","S","뉴욕","서비스","통신 서비스"
"MGM Resorts International","MGM","뉴욕","서비스","카지노와 게임"
"IHS Markit Ltd","INFO","나스닥","서비스","사업 서비스"
"보스턴프로퍼티즈","BXP","뉴욕","서비스","부동산 운용"
"Waste Connections Inc","WCN","뉴욕","서비스","폐기물 관리 서비스"
"윈 리조트","WYNN","나스닥","서비스","카지노와 게임"
"신타스","CTAS","나스닥","서비스","개인 서비스"
"벤타스","VTR","뉴욕","서비스","부동산 운용"
"Fleetcor Tech","FLT","뉴욕","서비스","사업 서비스"
"DISH Network Corp","DISH","나스닥","서비스","방송과 케이블 티브이"
"센츄리링크","CTL","뉴욕","서비스","통신 서비스"
"옴니콤","OMC","뉴욕","서비스","광고"
"익스피디어","EXPE","나스닥","서비스","개인 서비스"
"CBRE A","CBRE","뉴욕","서비스","부동산 운용"
"Essex Property Trust Inc","ESS","뉴욕","서비스","부동산 운용"
"Yum China Holdings","YUMC","뉴욕","서비스","레스토랑"
"Liberty Broadband Srs C","LBRDK","나스닥","서비스","방송과 케이블 티브이"
"Liberty Broadband Srs A","LBRDA","나스닥","서비스","방송과 케이블 티브이"
"Realty Income","O","뉴욕","서비스","부동산 운용"
"에퀴팩스","EFX","뉴욕","서비스","사업 서비스"
"United Rentals","URI","뉴욕","서비스","렌탈과 리스"
"Host Hotels Resorts","HST","뉴욕","서비스","부동산 운용"
"Altice USA","ATUS","뉴욕","서비스","통신 서비스"
"CoStar Group","CSGP","나스닥","서비스","부동산 운용"
"보나도","VNO","뉴욕","서비스","부동산 운용"
"바이어컴","VIAB","나스닥","서비스","영화"
"Viacom Inc","VIA","나스닥","서비스","영화"
"Alexandria RE","ARE","뉴욕","서비스","부동산 운용"
"Ulta Beauty","ULTA","나스닥","서비스","소매(전문)"
"티파니","TIF","뉴욕","서비스","소매(전문)"
"갭","GPS","뉴욕","서비스","소매(의복)"
"Liberty Interactive A","QRTEA","나스닥","서비스","소매(카탈로그와 메일 주문)"
"Liberty Interactive B","QRTEB","나스닥","서비스","소매(카탈로그와 메일 주문)"
"Match Group","MTCH","나스닥","서비스","개인 서비스"
"Norwegian Cruise Line","NCLH","뉴욕","서비스","여가 활동"
"Invitation Homes","INVH","뉴욕","서비스","부동산 운용"
"Lululemon Athletica","LULU","나스닥","서비스","소매(의복)"
"Nielsen Holdings","NLSN","뉴욕","서비스","사업 서비스"
"윈댐","WYN","뉴욕","서비스","호텔과 모텔"
"Rollins Inc","ROL","뉴욕","서비스","사업 서비스"
"HCP","HCP","뉴욕","서비스","부동산 운용"
"카맥스","KMX","뉴욕","서비스","소매(전문)"
"콜스","KSS","뉴욕","서비스","소매(백화점과 할인점)"
"L 브랜즈","LB","뉴욕","서비스","소매(의복)"
"Gartner","IT","뉴욕","서비스","사업 서비스"
"다든 레스토랑","DRI","뉴욕","서비스","레스토랑"
"Dominos Pizza","DPZ","뉴욕","서비스","레스토랑"
