"종목","기호","거래소","부문","산업"
"Veeva Sys Inc","VEEV","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"Godaddy Inc","GDDY","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"SAIC","LDOS","뉴욕","테크놀로지","컴퓨터 서비스"
"Keysight Technologies","KEYS","뉴욕","테크놀로지","과학과 기술 장비"
"Amdocs","DOX","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"Advanced Micro","AMD","나스닥","테크놀로지","반도체"
"Jack Henry & Asso","JKHY","나스닥","테크놀로지","컴퓨터 네트워크"
"Open Text","OTEX","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"Parametric Tech","PTC","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"F5 네트웍스","FFIV","나스닥","테크놀로지","컴퓨터 네트워크"
"Fortinet","FTNT","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"Cognex Corp","CGNX","나스닥","테크놀로지","과학과 기술 장비"
"테라다인","TER","뉴욕","테크놀로지","반도체"
"Qorvo Inc","QRVO","나스닥","테크놀로지","반도체"
"Bio-Rad Laboratories B","BIOb","뉴욕","테크놀로지","과학과 기술 장비"
"Bio-Rad Laboratories Inc","BIO","뉴욕","테크놀로지","과학과 기술 장비"
"Trimble","TRMB","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"Flex","FLEX","나스닥","테크놀로지","반도체"
"CDK Global Holdings LLC","CDK","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"퍼킨엘머","PKI","뉴욕","테크놀로지","과학과 기술 장비"
"주니퍼 네트웍스","JNPR","뉴욕","테크놀로지","통신 장비"
"Allegion PLC","ALLE","뉴욕","테크놀로지","과학과 기술 장비"
"Nutanix","NTNX","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"Tyler Tech","TYL","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"FactSet Research Systems Inc","FDS","뉴욕","테크놀로지","컴퓨터 서비스"
"Microsemi Corp","MSCC","나스닥","테크놀로지","반도체"
"제록스","XRX","뉴욕","테크놀로지","컴퓨터 서비스"
"Ultimate Soft.","ULTI","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"퍼스트 솔라","FSLR","나스닥","테크놀로지","반도체"
"SINA Corp","SINA","나스닥","테크놀로지","컴퓨터 서비스"
"Black Knight","BKI","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"HD Supply","HDS","나스닥","테크놀로지","전자 장비와 제어기"
"CSRA Inc","CSRA","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"Arrow Electronics","ARW","뉴욕","테크놀로지","전자 장비와 제어기"
"리서치인모션","BB","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"Hubbell","HUBB","뉴욕","테크놀로지","전자 장비와 제어기"
"Teledyne Tech","TDY","뉴욕","테크놀로지","통신 장비"
"ANGI Homeservices","ANGI","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"Tableau Software","DATA","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"National Instrume","NATI","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"BWX Technologies","BWXT","뉴욕","테크놀로지","전자 장비와 제어기"
"Logitech","LOGI","나스닥","테크놀로지","컴퓨터 주변기기"
"Paycom Soft","PAYC","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"Guidewire SWare","GWRE","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"MKS Instruments","MKSI","나스닥","테크놀로지","과학과 기술 장비"
"Epam Systems","EPAM","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"Cypress semiconductor","CY","나스닥","테크놀로지","반도체"
"LogMeIn","LOGM","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"Sabre Corpo","SABR","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"Hexcel Corp","HXL","뉴욕","테크놀로지","전자 장비와 제어기"
"Hill-Rom Holdings Inc","HRC","뉴욕","테크놀로지","과학과 기술 장비"
"Mulesoft","MULE","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"Proofpoint Inc","PFPT","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"athenahealth","ATHN","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"Aspen Technology Inc","AZPN","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"Cavium","CAVM","나스닥","테크놀로지","반도체"
"Ubiquiti Ntwrk","UBNT","나스닥","테크놀로지","통신 장비"
"Elbit Systems","ESLT","나스닥","테크놀로지","통신 장비"
"Fair Isaac Corp","FICO","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"EchoStar Corp","SATS","나스닥","테크놀로지","통신 장비"
"Littelfuse","LFUS","나스닥","테크놀로지","전자 장비와 제어기"
"재빌 서킷","JBL","뉴욕","테크놀로지","반도체"
"Avnet Inc","AVT","뉴욕","테크놀로지","전자 장비와 제어기"
"DST Systems Inc","DST","뉴욕","테크놀로지","컴퓨터 서비스"
"CyrusOne Inc","CONE","나스닥","테크놀로지","컴퓨터 서비스"
"CAE","CAE","뉴욕","테크놀로지","전자 장비와 제어기"
"Ringcentral Inc","RNG","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"ARRIS Group Inc","ARRS","나스닥","테크놀로지","통신 장비"
"Monolithic Pwr","MPWR","나스닥","테크놀로지","반도체"
"Zendesk Inc","ZEN","뉴욕","테크놀로지","소프트웨어와 프로그래밍"
"테라데이타","TDC","뉴욕","테크놀로지","컴퓨터 서비스"
"Blackbaud","BLKB","나스닥","테크놀로지","소프트웨어와 프로그래밍"
"Univ. Display","OLED","나스닥","테크놀로지","반도체"
