"종목","기호","거래소","부문","산업"
"유니온 퍼시픽","UNP","뉴욕","운송","철도"
"유나이티드파슬서비스","UPS","뉴욕","운송","항공 우편"
"페덱스","FDX","뉴욕","운송","항공 우편"
"Canadian National Railway","CNI","뉴욕","운송","철도"
"CSX","CSX","나스닥","운송","철도"
"델타항공","DAL","뉴욕","운송","항공사"
"노퍽 서던","NSC","뉴욕","운송","철도"
"퍼블릭 스토리지","PSA","뉴욕","운송","다종 운송"
"사우스웨스트 에어라인","LUV","뉴욕","운송","항공사"
"Canadian Pacific","CP","뉴욕","운송","철도"
"Royal Caribbean","RCL","뉴욕","운송","수상 운송"
"American Airlines","AAL","나스닥","운송","항공사"
"United Continental Holdings","UAL","뉴욕","운송","항공사"
"C.H.로빈슨","CHRW","나스닥","운송","다종 운송"
"J.B. Hunt Transport Services Inc","JBHT","나스닥","운송","트럭 운송"
"XPO Logistics","XPO","뉴욕","운송","트럭 운송"
"Old Dominion Freight Line Inc","ODFL","나스닥","운송","트럭 운송"
"Huntington Ingalls Industries Inc","HII","뉴욕","운송","수상 운송"
"캔자스 시티 서던","KSU","뉴욕","운송","철도"
"Extra Space Storage","EXR","뉴욕","운송","다종 운송"
"익스피다이터스","EXPD","나스닥","운송","다종 운송"
"아이언마운틴","IRM","뉴욕","운송","다종 운송"
"Knight Transp","KNX","뉴욕","운송","트럭 운송"
"Westinghouse Air Brake Tech","WAB","뉴욕","운송","철도"
"Alaska Air","ALK","뉴욕","운송","항공사"
"Amerco","UHAL","나스닥","운송","트럭 운송"
"JetBlue Airways","JBLU","나스닥","운송","항공사"
"Copa Holdings SA","CPA","뉴욕","운송","항공사"
"CubeSmart","CUBE","뉴욕","운송","다종 운송"
"Trinity Industries","TRN","뉴욕","운송","철도"
"Schneider National","SNDR","뉴욕","운송","트럭 운송"
"Landstar System","LSTR","나스닥","운송","트럭 운송"
"Kirby Corp","KEX","뉴욕","운송","수상 운송"
"Genesee & Wyomin","GWR","뉴욕","운송","철도"
"KLX Inc","KLXI","나스닥","운송","철도"
"Macquarie Infrastructure Co","MIC","뉴욕","운송","다종 운송"
"SkyWest","SKYW","나스닥","운송","항공사"
"Allegiant Trvl","ALGT","나스닥","운송","항공사"
"Golar LNG Ltd","GLNG","나스닥","운송","수상 운송"
"Werner Enter","WERN","나스닥","운송","트럭 운송"
"Americold Realty","COLD","뉴욕","운송","다종 운송"
"Spirit Airlines","SAVE","뉴욕","운송","항공사"
"Hawaiian Hldg","HA","나스닥","운송","항공사"
"Advanced Disposal","ADSW","뉴욕","운송","트럭 운송"
"Mobile Mini","MINI","나스닥","운송","다종 운송"
"Corporacion America Airports","CAAP","뉴욕","운송","다종 운송"
"Saia","SAIA","나스닥","운송","트럭 운송"
"Forward Air","FWRD","나스닥","운송","항공 우편"
"A.A.W.W. Inc","AAWW","나스닥","운송","다종 운송"
"Heartland Exp.","HTLD","나스닥","운송","트럭 운송"
"Navios Maritime Acquisition","NNA","뉴욕","운송","수상 운송"
"Pangaea Logistic","PANL","나스닥","운송","트럭 운송"
"Hornbeck Offsh.","HOS","뉴욕","운송","수상 운송"
"Celadon Group","CGI","뉴욕","운송","트럭 운송"
"RRTS Inc","RRTS","뉴욕","운송","트럭 운송"
"Conrad Industries","CNRD","OTC Markets","운송","수상 운송"
"Nordic American Offshore","NAO","뉴욕","운송","수상 운송"
"Patriot Transportation","PATI","나스닥","운송","트럭 운송"
"Global Ship Lease Inc","GSL","뉴욕","운송","수상 운송"
"Air T","AIRT","나스닥","운송","항공 우편"
"Pioneer Railcorp","PRRR","OTC Markets","운송","철도"
"Canada Jetlines","JETMF","OTC Markets","운송","항공사"
"Global Self Storage","SELF","나스닥","운송","다종 운송"
"Seanergy Maritime","SHIP","나스닥","운송","수상 운송"
"Top Ships","TOPS","나스닥","운송","수상 운송"
