"종목","기호","거래소","부문","산업"
"Wind Works Power","WWPW","OTC Markets","유틸러티","전기 유틸러티"
"Bioshaft Water Tech","BSHF","OTC Markets","유틸러티","수도 유틸러티"
"American Energy","AEPT","OTC Markets","유틸러티","수도 유틸러티"
"China Natural Cmn","CHNGQ","OTC Markets","유틸러티","천연가스 유틸러티"
"Nacel Energy Corp","NCEN","OTC Markets","유틸러티","전기 유틸러티"
"RenuEn Corp","RENU","OTC Markets","유틸러티","전기 유틸러티"
"Solar Energy Initiat","SNRY","OTC Markets","유틸러티","전기 유틸러티"
"XR Energy","XREG","OTC Markets","유틸러티","전기 유틸러티"
"AusNet Services","SAUNF","OTC Markets","유틸러티","전기 유틸러티"
"Severn Trent","SVTRF","OTC Markets","유틸러티","수도 유틸러티"
"도쿄전력","TKECF","OTC Markets","유틸러티","전기 유틸러티"
"CLP 홀딩스","CLPHF","OTC Markets","유틸러티","전기 유틸러티"
"Fortis Inc","FTS","뉴욕","유틸러티","전기 유틸러티"
"Just Energy","JE","뉴욕","유틸러티","전기 유틸러티"
"China Everbright Water Ltd","BOTRF","OTC Markets","유틸러티","수도 유틸러티"
"Uniper SE","UNPRF","OTC Markets","유틸러티","전기 유틸러티"
"Engie","ENGQF","OTC Markets","유틸러티","전기 유틸러티"
"홍콩중화가스","HOKCF","OTC Markets","유틸러티","천연가스 유틸러티"
"CK Infrastructure","CKISF","OTC Markets","유틸러티","전기 유틸러티"
"Oersted","DOGEF","OTC Markets","유틸러티","전기 유틸러티"
"Hyflux","HYFXF","OTC Markets","유틸러티","수도 유틸러티"
"EDP Renovaveis","EDRVF","OTC Markets","유틸러티","전기 유틸러티"
"Algonquin","AQN","뉴욕","유틸러티","전기 유틸러티"
"Red Electrica","RDEIF","OTC Markets","유틸러티","전기 유틸러티"
"넥스테라 에너지","NEE","뉴욕","유틸러티","전기 유틸러티"
"듀크 에너지","DUK","뉴욕","유틸러티","전기 유틸러티"
"Enbridge Inc.","ENB","뉴욕","유틸러티","천연가스 유틸러티"
"서던 컴퍼니","SO","뉴욕","유틸러티","전기 유틸러티"
"도미니언 리소시스","D","뉴욕","유틸러티","전기 유틸러티"
"엑셀론","EXC","뉴욕","유틸러티","전기 유틸러티"
"아메리칸 일렉트릭 파워","AEP","뉴욕","유틸러티","전기 유틸러티"
"킨더 모건","KMI","뉴욕","유틸러티","천연가스 유틸러티"
"셈프라 에너지","SRE","뉴욕","유틸러티","전기 유틸러티"
"퍼블릭 서비스 엔터프라이즈","PEG","뉴욕","유틸러티","전기 유틸러티"
"콘 에디슨","ED","뉴욕","유틸러티","전기 유틸러티"
"엑셀 에너지","XEL","나스닥","유틸러티","전기 유틸러티"
"PG&E","PCG","뉴욕","유틸러티","전기 유틸러티"
"에디슨 인터내셔널","EIX","뉴욕","유틸러티","전기 유틸러티"
"WEC Energy","WEC","뉴욕","유틸러티","전기 유틸러티"
"PPL 코퍼레이션","PPL","뉴욕","유틸러티","전기 유틸러티"
"DTE 에너지","DTE","뉴욕","유틸러티","전기 유틸러티"
"Eversource Energy","ES","뉴욕","유틸러티","전기 유틸러티"
"퍼스트에너지","FE","뉴욕","유틸러티","전기 유틸러티"
"Avangrid Inc","AGR","뉴욕","유틸러티","전기 유틸러티"
"American Water Works Inc","AWK","뉴욕","유틸러티","수도 유틸러티"
"엔터지","ETR","뉴욕","유틸러티","전기 유틸러티"
"애머렌","AEE","뉴욕","유틸러티","전기 유틸러티"
"CMS","CMS","뉴욕","유틸러티","전기 유틸러티"
"센터포인트 에너지","CNP","뉴욕","유틸러티","천연가스 유틸러티"
"NRG 에너지","NRG","뉴욕","유틸러티","전기 유틸러티"
"Targa Resources","TRGP","뉴욕","유틸러티","천연가스 유틸러티"
"Alliant Energy","LNT","뉴욕","유틸러티","전기 유틸러티"
"Atmos Energy Corp","ATO","뉴욕","유틸러티","천연가스 유틸러티"
"Vistra Energy","VST","뉴욕","유틸러티","전기 유틸러티"
"피너클 웨스트","PNW","뉴욕","유틸러티","전기 유틸러티"
"니소스","NI","뉴욕","유틸러티","전기 유틸러티"
"UGI","UGI","뉴욕","유틸러티","천연가스 유틸러티"
"AES","AES","뉴욕","유틸러티","전기 유틸러티"
"Westar Energy","WR","뉴욕","유틸러티","전기 유틸러티"
"Great Plains Energy Inc","GXP","뉴욕","유틸러티","전기 유틸러티"
"OGE Energy","OGE","뉴욕","유틸러티","전기 유틸러티"
"Cheniere Energy Partners LP","CQH","뉴욕","유틸러티","천연가스 유틸러티"
"Aqua America Inc.","WTR","뉴욕","유틸러티","수도 유틸러티"
"Mdu Res Group Inc","MDU","뉴욕","유틸러티","전기 유틸러티"
"스카나","SCG","뉴욕","유틸러티","전기 유틸러티"
"Vectren Corp","VVC","뉴욕","유틸러티","천연가스 유틸러티"
"IDACORP Inc","IDA","뉴욕","유틸러티","전기 유틸러티"
"National Fuel Gas Comp","NFG","뉴욕","유틸러티","천연가스 유틸러티"
"WGL Holdings","WGL","뉴욕","유틸러티","천연가스 유틸러티"
"Hawaiian Electric Industries Inc","HE","뉴욕","유틸러티","전기 유틸러티"
"Allete Inc","ALE","뉴욕","유틸러티","전기 유틸러티"
