"종목","기호","거래소","부문","산업"
"Faros Construction","ROS","Ho Chi Minh","자본재","건설 서비스"
"No Va Land Invest","NVL","Ho Chi Minh","자본재","건설 서비스"
"Advanced Compound Stone JSC","VCS","하노이","자본재","건설 – 원자재"
"Cotec Construction JSC","CTD","Ho Chi Minh","자본재","건설 서비스"
"Refrigeration Electrical Engineerin","REE","Ho Chi Minh","자본재","건설 서비스"
"Viglacera Corp","VGC","하노이","자본재","건설 – 용품과 비품"
"VINACONEX","VCG","하노이","자본재","건설 서비스"
"Hoang Huy Investment","TCH","Ho Chi Minh","자본재","건설 서비스"
"Van Phu Invest","VPI","하노이","자본재","건설 서비스"
"Kinh Bac City Development Share","KBC","Ho Chi Minh","자본재","건설 서비스"
"Sonadezi","SNZ","하노이","자본재","건설 서비스"
"Ha Tien 1 Cement JSC","HT1","Ho Chi Minh","자본재","건설 – 원자재"
"Development Investment Construction","DIG","Ho Chi Minh","자본재","건설 서비스"
"Nam Long Investment Corp","NLG","Ho Chi Minh","자본재","건설 서비스"
"Hoa Binh Construction & Real Estate","HBC","Ho Chi Minh","자본재","건설 서비스"
"Power Construction No 1","PC1","Ho Chi Minh","자본재","건설 서비스"
"CII Bridges and Roads Investment","LGC","Ho Chi Minh","자본재","건설 서비스"
"Ha Do Group JSC","HDG","Ho Chi Minh","자본재","건설 서비스"
"NBB Investment Corp","NBB","Ho Chi Minh","자본재","건설 서비스"
"HUD - TASCO","HUT","하노이","자본재","건설 서비스"
"CEO Group JSC","CEO","하노이","자본재","건설 서비스"
"CuongThuan Idico Development Invest","CTI","Ho Chi Minh","자본재","건설 – 원자재"
"Saigon Co.op","SID","하노이","자본재","건설 서비스"
"Binh Duong Mineral and Construction","KSB","Ho Chi Minh","자본재","건설 – 원자재"
"Fecon Foundation Engineering","FCN","Ho Chi Minh","자본재","건설 서비스"
"Construction 1","CC1","하노이","자본재","건설 서비스"
"Sacom Development and Investment","SAM","Ho Chi Minh","자본재","건설 서비스"
"Dat Phuong","DPG","하노이","자본재","건설 서비스"
"Bien Hoa Building Materials","VLB","하노이","자본재","건설 – 원자재"
"Vietnam Machinery Installation","LLM","하노이","자본재","건설 서비스"
"Vinacomin Viet Bac Mining","MVB","하노이","자본재","건설 – 원자재"
