"종목","기호","거래소","부문","산업"
"Vinamilk","VNM","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Saigon Beer Alcohol Beverage","SAB","Ho Chi Minh","소비재/ 경기 방어형","음료(알코올성)"
"Masan Group Corp","MSN","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Masan Consumer","MCH","하노이","소비재/ 경기 방어형","식품 가공"
"Hanoi Beer Alcohol","BHN","Ho Chi Minh","소비재/ 경기 방어형","음료(알코올성)"
"Quang Ngai Sugar","QNS","하노이","소비재/ 경기 방어형","식품 가공"
"Thanh Thanh Cong Tay Ninh","SBT","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Kinh Do Corp","KDC","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Minh Phu Seafood","MPC","하노이","소비재/ 경기 방어형","식품 가공"
"Pan Pacific Corp","PAN","Ho Chi Minh","소비재/ 경기 방어형","곡물"
"Hoang Anh Gia Lai JSC","HAG","Ho Chi Minh","소비재/ 경기 방어형","곡물"
"Thien Long Group Corp","TLG","Ho Chi Minh","소비재/ 경기 방어형","사무용품"
"Vinacafe Bien Hoa JSC","VCF","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Hoang Anh Gia Lai Agricultural JSC","HNG","Ho Chi Minh","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Vinh Hoan Corp","VHC","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Vissan","VSN","하노이","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Kido Frozen Foods","KDF","하노이","소비재/ 경기 방어형","식품 가공"
"Thong Nhat Production and Investmen","GTN","Ho Chi Minh","소비재/ 경기 방어형","개인과 가계용 제품"
"International Development & Investm","IDI","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Viet Nam Vegetable Oils","VOC","하노이","소비재/ 경기 방어형","곡물"
"Nam Viet Corp","ANV","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Viet Nam Seaproducts","SEA","하노이","소비재/ 경기 방어형","식품 가공"
"Dabaco","DBC","하노이","소비재/ 경기 방어형","식품 가공"
"Tuong An Vegetable Oil JSC","TAC","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"National Seed JSC","NSC","Ho Chi Minh","소비재/ 경기 방어형","곡물"
"Hai Ha Confectionery JSC","HHC","하노이","소비재/ 경기 방어형","식품 가공"
"Lix Detergent JSC","LIX","Ho Chi Minh","소비재/ 경기 방어형","개인과 가계용 제품"
"Ipa Investments","IPA","하노이","소비재/ 경기 방어형","개인과 가계용 제품"
"Bibica Corp","BBC","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Hung Vuong Corp","HVG","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Vietnam Livestock","VLC","하노이","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Sunstar Investment","SJF","Ho Chi Minh","소비재/ 경기 방어형","곡물"
"Travel Investment and Seafood Devel","DAT","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Sao Ta Foods JSC","FMC","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Sai Gon Quang Ngai Beer","BSQ","하노이","소비재/ 경기 방어형","음료(알코올성)"
"Cholimex Food","CMF","하노이","소비재/ 경기 방어형","식품 가공"
"Sai Gon  Mien Trung Beer","SMB","하노이","소비재/ 경기 방어형","음료(알코올성)"
"Southern Seed Corp","SSC","Ho Chi Minh","소비재/ 경기 방어형","곡물"
"Cat Loi JSC","CLC","Ho Chi Minh","소비재/ 경기 방어형","담배"
"An Phu Irradiation JSC","APC","Ho Chi Minh","소비재/ 경기 방어형","곡물"
"Western Sai Gon Beer JSC","WSB","하노이","소비재/ 경기 방어형","음료(알코올성)"
"Lam Son Sugar JSC","LSS","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"Sagiang Import&Export Corporation","SGC","하노이","소비재/ 경기 방어형","식품 가공"
"Hong Ha Stationery JSC","HHA","하노이","소비재/ 경기 방어형","사무용품"
"SON LA SUGAR","SLS","하노이","소비재/ 경기 방어형","식품 가공"
"HuuNghi Food JSC","HNF","하노이","소비재/ 경기 방어형","식품 가공"
"Saigon-Songlam Beer","BSL","하노이","소비재/ 경기 방어형","음료(알코올성)"
"Quang Ngai Agricultural","APF","하노이","소비재/ 경기 방어형","식품 가공"
"NETCO","NET","하노이","소비재/ 경기 방어형","개인과 가계용 제품"
"Nafoods Group JSC","NAF","Ho Chi Minh","소비재/ 경기 방어형","음료 (비알코올성)"
"Mitraco Livestock","MLS","하노이","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Saigon Industrial Foodstuffs","IFC","하노이","소비재/ 경기 방어형","식품 가공"
"Bac Lieu Fis","BLF","하노이","소비재/ 경기 방어형","식품 가공"
"Top One Allot","TOP","하노이","소비재/ 경기 방어형","식품 가공"
"Cafico Viet Nam","CFC","하노이","소비재/ 경기 방어형","식품 가공"
"Sai Gon Vegetable Oil JSC","SGO","하노이","소비재/ 경기 방어형","개인과 가계용 제품"
"Investment Commerce Fisheries Corp","ICF","Ho Chi Minh","소비재/ 경기 방어형","식품 가공"
"NGOPREXCO","NGC","하노이","소비재/ 경기 방어형","식품 가공"
"Nam Dinh Export Foodstuff Agri Prod","NDF","하노이","소비재/ 경기 방어형","식품 가공"
"Hung Viet Green Agriculture JSC","HVA","하노이","소비재/ 경기 방어형","식품 가공"
"Dongthap Trading","FDG","하노이","소비재/ 경기 방어형","식품 가공"
"NTACO","ATA","하노이","소비재/ 경기 방어형","식품 가공"
"Cadovimex Seafood Import Export","CAD","하노이","소비재/ 경기 방어형","식품 가공"
"Hiep Khanh Tea","HKT","하노이","소비재/ 경기 방어형","식품 가공"
