"종목","기호","거래소","부문","산업"
"Ha Tien Transport JSC","HTV","Ho Chi Minh","운송","수상 운송"
"Duyen Hai Multi Modal Transport JSC","TCO","Ho Chi Minh","운송","트럭 운송"
"Petrolimex Joint Stock Tanker Co","PJT","Ho Chi Minh","운송","수상 운송"
"VAN CARGOES","VNT","하노이","운송","다종 운송"
"CGT","PCT","하노이","운송","다종 운송"
"MHC JSC","MHC","Ho Chi Minh","운송","수상 운송"
"Riverway Management 3","DS3","하노이","운송","다종 운송"
"Ha Noi Transport Station","HNB","하노이","운송","다종 운송"
"Vegetable Port JSC","VGP","하노이","운송","다종 운송"
"Vinalink International Freight Forw","VNL","Ho Chi Minh","운송","다종 운송"
"HOANG HA JSC","HHG","하노이","운송","다종 운송"
"HAMI CORP","HMH","하노이","운송","트럭 운송"
"Nghe An Bus Station JSC","NBS","하노이","운송","다종 운송"
"MASERCO","MAC","하노이","운송","수상 운송"
"Sai Gon Transport","TPS","하노이","운송","다종 운송"
"Vietnam Maritime Development JSC","VMS","하노이","운송","다종 운송"
"VP Petrochemical","VPA","하노이","운송","수상 운송"
"Saigon Tourist Transport Corp","STT","Ho Chi Minh","운송","다종 운송"
"Quy Nhon New Port","QSP","하노이","운송","다종 운송"
"Transport Chartering","VFR","하노이","운송","수상 운송"
"Indochina Petroleum Transportation","PTT","하노이","운송","다종 운송"
"Ha Dong Environment Public Service","MTH","하노이","운송","트럭 운송"
"Da Nang Logistics JSC","DNL","하노이","운송","트럭 운송"
"Saigon Transport Agency","STS","하노이","운송","다종 운송"
"Vietnam Sea Transport and Charterin","VST","하노이","운송","수상 운송"
"Transportation&Trading Services JSC","TJC","하노이","운송","수상 운송"
"Central Container","VSM","하노이","운송","트럭 운송"
"MLC-INC","MNC","하노이","운송","다종 운송"
"Viet Hai Shipping Real Properties","VSP","하노이","운송","수상 운송"
"Vinaship","VNA","하노이","운송","수상 운송"
"PORTSERCO","PRC","하노이","운송","트럭 운송"
"Seaproducts Mechanical","SCO","하노이","운송","수상 운송"
"Thuan Thao Corp","GTT","하노이","운송","다종 운송"
"Haiphong Port Tugboat","TUG","하노이","운송","다종 운송"
"Northern Shipping JSC","NOS","하노이","운송","수상 운송"
"DongDo Marine","DDM","하노이","운송","수상 운송"
"Const and Infra Dev","CID","하노이","운송","다종 운송"
"Airports Corporation of Viet Nam","ACV","하노이","운송","다종 운송"
"Vietjet Aviation","VJC","Ho Chi Minh","운송","항공사"
"Vietnam Airlines","HVN","하노이","운송","항공사"
"Gemadept Corp","GMD","Ho Chi Minh","운송","다종 운송"
"Sai Gon Cargo Service","SCS","하노이","운송","다종 운송"
"Ho Chi Minh City Infrastructure Inv","CII","Ho Chi Minh","운송","다종 운송"
"PetroVietnam Transportation Corp","PVT","Ho Chi Minh","운송","수상 운송"
"DLGL INDPS","DL1","하노이","운송","다종 운송"
