Name,Symbol,Exchange,Sector,Industry
Jintex,1787,TPEX,기초 소재,화학제조
텍스트론,TXT,멕시코,복합기업,복합기업
텍스트론,TXT,뉴욕,복합기업,복합기업
USANA Hlth Sci,USNA,뉴욕,복합기업,복합기업
TGB Banquets Hotels Ltd,TGBB,NSE,복합기업,복합기업
TGB Banquets Hotels Ltd,TGBB,BSE,복합기업,복합기업
Sungrow Power Supply,300274,심천,복합기업,복합기업
SunCoke Energy,SXC,뉴욕,복합기업,복합기업
SkyNet,8176,홍콩,복합기업,복합기업
Shenzhen Jiawei Photovoltaic Lighting,300317,심천,복합기업,복합기업
Sakurai,7255,도쿄,복합기업,복합기업
Newton Resources,1231,홍콩,복합기업,복합기업
Lypsa Gems,LYPS,BSE,복합기업,복합기업
Lypsa Gems,LYPS,NSE,복합기업,복합기업
Jiajia Food A,2650,심천,복합기업,복합기업
Guangdong Delian Group A,2666,심천,복합기업,복합기업
GeneOne Life Science,11000,서울,복합기업,복합기업
Eidai Kako,7877,도쿄,복합기업,복합기업
BSE,BSEL,NSE,복합기업,복합기업
Bright Smart Securities & Commodities,1428,홍콩,복합기업,복합기업
Bloomin' Brands Inc,BLMN,나스닥,복합기업,복합기업
Alstom,GEPO,BSE,복합기업,복합기업
Alstom,GEPO,NSE,복합기업,복합기업
Alstom,AOMFF,OTC Markets,복합기업,복합기업
