"종목","기호","거래소","부문","산업"
"Zhongsheng Pharm A","002317","심천","보건의료","생물공학 및 약품"
"Tianjin Zhongxin Pharm","600329","상하이","보건의료","기간 약품"
"Guilin Sanjin A","002275","심천","보건의료","기간 약품"
"China Husbandry","600195","상하이","보건의료","생물공학 및 약품"
"Amoy Diagnostics","300685","심천","보건의료","생물공학 및 약품"
"Hainan Poly Pharm","300630","심천","보건의료","생물공학 및 약품"
"Shanghai Runda Medical Tech","603108","상하이","보건의료","생물공학 및 약품"
"Zhejiang Wolwo Bio-Pharma","300357","심천","보건의료","생물공학 및 약품"
"Zhongyuan Unio","600645","상하이","보건의료","생물공학 및 약품"
"Guangxi Liuzhou Pharm","603368","상하이","보건의료","기간 약품"
"Zhejiang Garden Bio-chemical","300401","심천","보건의료","생물공학 및 약품"
"Blue Sail Medical A","002382","심천","보건의료","의료 장비와 용품"
"Chongqing Taiji Industry","600129","상하이","보건의료","생물공학 및 약품"
"Guizhou Yibai Pharm","600594","상하이","보건의료","생물공학 및 약품"
"Hisoar Pharm A","002099","심천","보건의료","기간 약품"
"Beijing Strong Biotech","300406","심천","보건의료","생물공학 및 약품"
"S Zhenxing Bio A","000403","심천","보건의료","생물공학 및 약품"
"Runfa Machinery A","002435","심천","보건의료","생물공학 및 약품"
"Jiangsu Kanion Pharm","600557","상하이","보건의료","생물공학 및 약품"
"Xianju Pharm A","002332","심천","보건의료","생물공학 및 약품"
"Mayinglong Pharm","600993","상하이","보건의료","기간 약품"
"Jingxin Pharm A","002020","심천","보건의료","생물공학 및 약품"
"KPC Pharm","600422","상하이","보건의료","생물공학 및 약품"
"Shanxi Zhendong Pharmaceutical","300158","심천","보건의료","생물공학 및 약품"
"Qianhong Biophar A","002550","심천","보건의료","생물공학 및 약품"
"Jiangzhong Pharm","600750","상하이","보건의료","기간 약품"
"PharmaBlock Sciences A","300725","심천","보건의료","기간 약품"
"Tibet Weixinkang Medicine","603676","상하이","보건의료","생물공학 및 약품"
"Yantai Dongcheng Pharma","002675","심천","보건의료","기간 약품"
"Huaren Pharma","300110","심천","보건의료","생물공학 및 약품"
"Zhejiang Jiuzhou Pharm","603456","상하이","보건의료","생물공학 및 약품"
"North China Pharm","600812","상하이","보건의료","생물공학 및 약품"
"China Resources Wandong Med","600055","상하이","보건의료","의료 장비와 용품"
"Getein Biotech","603387","상하이","보건의료","생물공학 및 약품"
"Shandong Jincheng Pharma Chemical","300233","심천","보건의료","생물공학 및 약품"
"Kehua Bio-Engine A","002022","심천","보건의료","생물공학 및 약품"
"Beijing Science Sun Pharma","300485","심천","보건의료","생물공학 및 약품"
"Shandong Intco Medical","300677","심천","보건의료","의료 장비와 용품"
"Autek China","300595","심천","보건의료","의료 장비와 용품"
"Apeloa A","000739","심천","보건의료","생물공학 및 약품"
"Zhuhai Hokai Med Instruments","300273","심천","보건의료","의료 장비와 용품"
