"종목","기호","거래소","부문","산업"
"CRRC A","601766","상하이","운송","철도"
"Shanghai International Port","600018","상하이","운송","다종 운송"
"Air China A","601111","상하이","운송","항공사"
"Daqin Railway","601006","상하이","운송","철도"
"China Shipbuilding","601989","상하이","운송","수상 운송"
"Shanghai International Airport","600009","상하이","운송","다종 운송"
"China Southern Airlines A","600029","상하이","운송","항공사"
"China Eastern Airlines","600115","상하이","운송","항공사"
"Ningbo Zhoushan Port","601018","상하이","운송","다종 운송"
"Giant Network","002558","심천","운송","수상 운송"
"Hainan Airlines A","600221","상하이","운송","항공사"
"Hainan Airlines B","900945","상하이","운송","항공사"
"COSCO Shipping","601919","상하이","운송","수상 운송"
"Jiangsu Expressway","600377","상하이","운송","다종 운송"
"YTO Express","600233","상하이","운송","항공 우편"
"Guangzhou Port","601228","상하이","운송","다종 운송"
"Guangzhou Baiyun Airport","600004","상하이","운송","다종 운송"
"Guangshen Railway","601333","상하이","운송","철도"
"Sainty Marine A","002608","심천","운송","수상 운송"
"Spring Airlines","601021","상하이","운송","항공사"
"Qinhuangdao Port","601326","상하이","운송","다종 운송"
"Shandong Hi-speed","600350","상하이","운송","다종 운송"
"JUNEYAO Airlines","603885","상하이","운송","항공사"
"China CSSC","600150","상하이","운송","수상 운송"
"Dalian Port PDA","601880","상하이","운송","다종 운송"
"Baotou Beifang Chuangye","600967","상하이","운송","철도"
"CSSC Offshore & Marine Engineering","600685","상하이","운송","수상 운송"
"Tangshan Port","601000","상하이","운송","다종 운송"
"China Merchants Energy Shipping","601872","상하이","운송","수상 운송"
"Yingkou Port Liability","600317","상하이","운송","다종 운송"
"High-Speed Railway","000008","심천","운송","다종 운송"
"COSCO Shipping Energy Trans","600026","상하이","운송","수상 운송"
"Antong","600179","상하이","운송","트럭 운송"
"Sz Airport A","000089","심천","운송","다종 운송"
"Shenzhen Expressway","600548","상하이","운송","다종 운송"
"Sinotrans Air Transport","600270","상하이","운송","항공사"
"Shenzhen Chiwan Wharf","200022","심천","운송","다종 운송"
"Chiwan Wharf A","000022","심천","운송","다종 운송"
"Tianjin Port","600717","상하이","운송","다종 운송"
"Guangdong Provincial Expressway","200429","심천","운송","다종 운송"
"Gd Express Dev A","000429","심천","운송","다종 운송"
"Strait Shipping A","002320","심천","운송","수상 운송"
"Yantian Port A","000088","심천","운송","다종 운송"
"Anhui Expressway","600012","상하이","운송","다종 운송"
"Shanghai Environment","601200","상하이","운송","트럭 운송"
"Beibuwan Port A","000582","심천","운송","다종 운송"
"China Railway Tielong","600125","상하이","운송","철도"
"Bright Real Estate","600708","상하이","운송","다종 운송"
"Zhejiang Mizuda A","002034","심천","운송","트럭 운송"
"Rizhao Port","600017","상하이","운송","다종 운송"
"Fulin Transport A","002357","심천","운송","다종 운송"
"Hunan Invest A","000548","심천","운송","다종 운송"
"Nj Zhongbei A","000421","심천","운송","다종 운송"
"Winbase Chemical A","002492","심천","운송","다종 운송"
"Hengtong Logistics","603223","상하이","운송","트럭 운송"
"GuangDong GenSho Logistics","603813","상하이","운송","트럭 운송"
"Xinjiang Tianshun Supply","002800","심천","운송","트럭 운송"
"Jiangxi Changyun","600561","상하이","운송","다종 운송"
"Jiangxi Ganyue Expressway","600269","상하이","운송","다종 운송"
"Dongguan Devel A","000828","심천","운송","다종 운송"
"Europol Intelligent Network","002711","심천","운송","트럭 운송"
"Henan Zhongyuan Expressway","600020","상하이","운송","다종 운송"
"Dazhong Transportation B","900903","상하이","운송","다종 운송"
"Dazhong Transportation A","600611","상하이","운송","다종 운송"
"Sichuan Expressway","601107","상하이","운송","다종 운송"
"COSCO Shipping Specialized","600428","상하이","운송","수상 운송"
"Fujian Expressway Dev","600033","상하이","운송","다종 운송"
"Xiandai Invest A","000900","심천","운송","다종 운송"
"Beijing Changjiu Logistics","603569","상하이","운송","트럭 운송"
"Haite High-Tech A","002023","심천","운송","다종 운송"
"CTS International Logistics","603128","상하이","운송","항공 우편"
"Beibu Gulf Tourism","603869","상하이","운송","수상 운송"
