"종목","기호","거래소","부문","산업"
"Kaisa Holdings","1638","홍콩","자본재","건설 서비스"
"China National Materials","1893","홍콩","자본재","다종 자본재"
"Greentown China","3900","홍콩","자본재","건설 서비스"
"Yuexiu Property Co","0123","홍콩","자본재","건설 서비스"
"Chinese Estates","0127","홍콩","자본재","건설 서비스"
"Yuzhou Properties","1628","홍콩","자본재","건설 서비스"
"Times Property","1233","홍콩","자본재","건설 서비스"
"China Shanshui Cement","0691","홍콩","자본재","건설 – 원자재"
"Zhenro Properties","6158","홍콩","자본재","건설 서비스"
"China High Speed Transmission Equip","0658","홍콩","자본재","다종 자본재"
"Hopson Development","0754","홍콩","자본재","건설 서비스"
"China Aoyuan Property","3883","홍콩","자본재","건설 서비스"
"Wang On Properties","1243","홍콩","자본재","건설 서비스"
"Shui On Land Ltd","0272","홍콩","자본재","건설 서비스"
"China Machinery Engineering","1829","홍콩","자본재","건설 서비스"
"Ronshine China","3301","홍콩","자본재","건설 서비스"
"China Tianrui Cement","1252","홍콩","자본재","건설 – 원자재"
"Fu Shou Yuan Int","1448","홍콩","자본재","건설 서비스"
"Anhui Expressway Co","0995","홍콩","자본재","건설 서비스"
"Powerlong Real Estate","1238","홍콩","자본재","건설 서비스"
"Beijing North Star","0588","홍콩","자본재","건설 서비스"
"China SCE Property","1966","홍콩","자본재","건설 서비스"
"LVGEM China Real Estate","0095","홍콩","자본재","건설 서비스"
"Skyfame Realty","0059","홍콩","자본재","건설 서비스"
"Gemdale Properties & Investment","0535","홍콩","자본재","건설 서비스"
"Redco Properties","1622","홍콩","자본재","건설 서비스"
"Beijing Capital Land","2868","홍콩","자본재","건설 서비스"
"Lonking Holdings","3339","홍콩","자본재","건설과 농업용 기계"
"China South City","1668","홍콩","자본재","건설 서비스"
"Poly Property Group","0119","홍콩","자본재","건설 서비스"
"Zhengzhou Coal Mining Machinery","0564","홍콩","자본재","다종 자본재"
"China Overseas Grand Oceans","0081","홍콩","자본재","건설 서비스"
"Road King Infrastructure","1098","홍콩","자본재","건설 서비스"
"Zhuguang","1176","홍콩","자본재","건설 서비스"
"Greenland Hong Kong Holdings","0337","홍콩","자본재","건설 서비스"
"Kowloon Develop","0034","홍콩","자본재","건설 서비스"
"Gold-Finance","1462","홍콩","자본재","건설 서비스"
"Far East Consortium Int","0035","홍콩","자본재","건설 서비스"
"Shun Tak","0242","홍콩","자본재","건설 서비스"
"Hebei Construction Group","1727","홍콩","자본재","건설 서비스"
"Sundart","1568","홍콩","자본재","건설 서비스"
"Guorui Properties","2329","홍콩","자본재","건설 서비스"
"Central China Real Estate","0832","홍콩","자본재","건설 서비스"
"Fantasia Holdings Group","1777","홍콩","자본재","건설 서비스"
"Sunshine 100 China","2608","홍콩","자본재","건설 서비스"
"Shanghai Industrial Urban Develop","0563","홍콩","자본재","건설 서비스"
"Datang Environment Industry","1272","홍콩","자본재","건설 서비스"
"Wing Tai Properties","0369","홍콩","자본재","건설 서비스"
"West China Cement","2233","홍콩","자본재","건설 – 원자재"
"China Merchants Land","0978","홍콩","자본재","건설 서비스"
"China VAST Industrial Urban Develop","6166","홍콩","자본재","건설 서비스"
"Tomson","0258","홍콩","자본재","건설 서비스"
"Luoyang Glass","1108","홍콩","자본재","건설 – 용품과 비품"
"Hong Kong Int Construction Invest","0687","홍콩","자본재","건설 서비스"
"Yida China","3639","홍콩","자본재","건설 서비스"
"C C Land Holdings","1224","홍콩","자본재","건설 서비스"
"Sany Heavy Equipment Int","0631","홍콩","자본재","건설과 농업용 기계"
"Renhemmercial","1387","홍콩","자본재","건설 서비스"
"HKR International","0480","홍콩","자본재","건설 서비스"
"Sun Century","1383","홍콩","자본재","건설 서비스"
"First Tractor Co","0038","홍콩","자본재","건설과 농업용 기계"
"Kin Shing","1630","홍콩","자본재","건설 서비스"
"Beijing Urban Construction Design","1599","홍콩","자본재","건설 서비스"
"Wanda Hotel Develop","0169","홍콩","자본재","건설 서비스"
"Unisplendour Technology","0365","홍콩","자본재","다종 자본재"
"Sanroc International","1660","홍콩","자본재","건설과 농업용 기계"
"C&D Intl Investment","1908","홍콩","자본재","건설 서비스"
"Asia Cement China","0743","홍콩","자본재","건설 – 원자재"
