"종목","기호","거래소","부문","산업"
"Luen Thai Holdings","0311","홍콩","경기 민감형 소비재","의복/액세서리"
"National Electronics","0213","홍콩","경기 민감형 소비재","보석 및 은제품"
"Sinomax","1418","홍콩","경기 민감형 소비재","가구와 비품"
"Ruifeng Power","2025","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
"Tesson","1201","홍콩","경기 민감형 소비재","오디오와 비디오 장비"
"Pak Tak Intl","2668","홍콩","경기 민감형 소비재","의복/액세서리"
"Wuling Motors","0305","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
"Jia Meng","8101","홍콩","경기 민감형 소비재","가구와 비품"
"Playmates Toys","0869","홍콩","경기 민감형 소비재","여가용 제품"
"Win Hanverky Holdings","3322","홍콩","경기 민감형 소비재","의복/액세서리"
"Kenford","0464","홍콩","경기 민감형 소비재","가전과 공구"
"Quali-Smart","1348","홍콩","경기 민감형 소비재","여가용 제품"
"SKY Light","3882","홍콩","경기 민감형 소비재","사진술"
"China Outfitters","1146","홍콩","경기 민감형 소비재","의복/액세서리"
"China Healthwise","0348","홍콩","경기 민감형 소비재","여가용 제품"
"Huiyin Smart Community","1280","홍콩","경기 민감형 소비재","가전과 공구"
"Continental","0513","홍콩","경기 민감형 소비재","보석 및 은제품"
"Le Saunda","0738","홍콩","경기 민감형 소비재","신발"
"Winox","6838","홍콩","경기 민감형 소비재","보석 및 은제품"
"Man Sang Intl","0938","홍콩","경기 민감형 소비재","보석 및 은제품"
"Sun Hing Vision","0125","홍콩","경기 민감형 소비재","여가용 제품"
"Far East Intl","0036","홍콩","경기 민감형 소비재","의복/액세서리"
"China Ting","3398","홍콩","경기 민감형 소비재","의복/액세서리"
"Starrise Media","1616","홍콩","경기 민감형 소비재","직물 – 비의류"
"King’s Flair Intl","6822","홍콩","경기 민감형 소비재","가구와 비품"
"Alco","0328","홍콩","경기 민감형 소비재","오디오와 비디오 장비"
"Pegasus Intl","0676","홍콩","경기 민감형 소비재","신발"
"Daphne Int Holdings","0210","홍콩","경기 민감형 소비재","신발"
"Shaw Brothers","0953","홍콩","경기 민감형 소비재","신발"
"Crocodile Garments","0122","홍콩","경기 민감형 소비재","의복/액세서리"
"Superactive","0176","홍콩","경기 민감형 소비재","가전과 공구"
"TOMO","8463","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
"Elegance Optical Intl","0907","홍콩","경기 민감형 소비재","여가용 제품"
"Yongsheng Advanced Materials","3608","홍콩","경기 민감형 소비재","의복/액세서리"
"Million Stars","8093","홍콩","경기 민감형 소비재","의복/액세서리"
"Allan Intl","0684","홍콩","경기 민감형 소비재","가전과 공구"
"China Singyes New Materials","8073","홍콩","경기 민감형 소비재","사진술"
"Gemilang Intl","6163","홍콩","경기 민감형 소비재","자동차와 트럭 제조"
"Ever Smart Intl","8187","홍콩","경기 민감형 소비재","신발"
"Beijingwest Industries","2339","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
"Synergy Group Holdings Internation","1539","홍콩","경기 민감형 소비재","가구와 비품"
"Herald","0114","홍콩","경기 민감형 소비재","여가용 제품"
"China Weaving Materials","3778","홍콩","경기 민감형 소비재","의복/액세서리"
"CEFC Hong Kong Financial","1520","홍콩","경기 민감형 소비재","의복/액세서리"
"Suga Intl","0912","홍콩","경기 민감형 소비재","오디오와 비디오 장비"
"Carry Wealth","0643","홍콩","경기 민감형 소비재","의복/액세서리"
"High Fashion Intl","0608","홍콩","경기 민감형 소비재","의복/액세서리"
"Green Intl","2700","홍콩","경기 민감형 소비재","여가용 제품"
"Yangtzekiang Garment","0294","홍콩","경기 민감형 소비재","의복/액세서리"
"Sincere Watch Hong Kong","0444","홍콩","경기 민감형 소비재","보석 및 은제품"
"Victory City Intl","0539","홍콩","경기 민감형 소비재","의복/액세서리"
"China Best","0370","홍콩","경기 민감형 소비재","가전과 공구"
"Speedy Global","0540","홍콩","경기 민감형 소비재","의복/액세서리"
"Kingdom","0528","홍콩","경기 민감형 소비재","직물 – 비의류"
"Kam Hing Intl","2307","홍콩","경기 민감형 소비재","직물 – 비의류"
"Baofeng Modern Intl","1121","홍콩","경기 민감형 소비재","신발"
"Primeview","0789","홍콩","경기 민감형 소비재","보석 및 은제품"
"Ulferts International","1711","홍콩","경기 민감형 소비재","가구와 비품"
"Tse Sui Luen Jewellery Intl","0417","홍콩","경기 민감형 소비재","보석 및 은제품"
"Greatime","0844","홍콩","경기 민감형 소비재","의복/액세서리"
"Zhi Sheng Group","8370","홍콩","경기 민감형 소비재","가구와 비품"
"Fujikon Industrial","0927","홍콩","경기 민감형 소비재","오디오와 비디오 장비"
"Raymond Industrial","0229","홍콩","경기 민감형 소비재","가전과 공구"
"TUS Intl","0872","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
"China Sinostar Group","0485","홍콩","경기 민감형 소비재","오디오와 비디오 장비"
"Mainland Headwear","1100","홍콩","경기 민감형 소비재","의복/액세서리"
"Kee","2011","홍콩","경기 민감형 소비재","의복/액세서리"
"Perfectech Intl","0765","홍콩","경기 민감형 소비재","여가용 제품"
"Highlight China IoT Intl","1682","홍콩","경기 민감형 소비재","의복/액세서리"
"Tristate","0458","홍콩","경기 민감형 소비재","의복/액세서리"
"Ernest Borel","1856","홍콩","경기 민감형 소비재","보석 및 은제품"
"Hing Lee HK","0396","홍콩","경기 민감형 소비재","가구와 비품"
"China Hongkong Photo Products","1123","홍콩","경기 민감형 소비재","사진술"
"China Environmental Tech and Bioenergy","1237","홍콩","경기 민감형 소비재","가구와 비품"
"Infinity Financial","1152","홍콩","경기 민감형 소비재","의복/액세서리"
"Sino Energy Intl","1096","홍콩","경기 민감형 소비재","신발"
"Veeko Intl","1173","홍콩","경기 민감형 소비재","의복/액세서리"
"Zhong Fa Zhan","0475","홍콩","경기 민감형 소비재","보석 및 은제품"
"Guangdong Tannery","1058","홍콩","경기 민감형 소비재","의복/액세서리"
"Champion Tech","0092","홍콩","경기 민감형 소비재","여가용 제품"
"China Partytime Culture","1532","홍콩","경기 민감형 소비재","의복/액세서리"
"Tungtex","0518","홍콩","경기 민감형 소비재","의복/액세서리"
"Vietnam Manufacturing and Export","0422","홍콩","경기 민감형 소비재","여가용 제품"
"Ares Asia","0645","홍콩","경기 민감형 소비재","신발"
"Top Form Intl","0333","홍콩","경기 민감형 소비재","의복/액세서리"
"Season Pacific","1709","홍콩","경기 민감형 소비재","의복/액세서리"
"Kiddieland International","3830","홍콩","경기 민감형 소비재","여가용 제품"
"Ascent Intl","0264","홍콩","경기 민감형 소비재","의복/액세서리"
"Tai Ping Carpets Intl","0146","홍콩","경기 민감형 소비재","직물 – 비의류"
"Shen You","8377","홍콩","경기 민감형 소비재","의복/액세서리"
"State Energy","0918","홍콩","경기 민감형 소비재","의복/액세서리"
"Winshine Science","0209","홍콩","경기 민감형 소비재","여가용 제품"
"Sandmartin Intl","0482","홍콩","경기 민감형 소비재","가전과 공구"
"China Agroforestry Low-Carbon","1069","홍콩","경기 민감형 소비재","의복/액세서리"
"Celestial Asia Securities","1049","홍콩","경기 민감형 소비재","가구와 비품"
"Kiu Hung Intl","0381","홍콩","경기 민감형 소비재","여가용 제품"
"Combest","8190","홍콩","경기 민감형 소비재","가구와 비품"
"Speed Apparel","8183","홍콩","경기 민감형 소비재","의복/액세서리"
"China Hanya","8312","홍콩","경기 민감형 소비재","의복/액세서리"
"Zhejiang Yonglong Enterprises","8211","홍콩","경기 민감형 소비재","의복/액세서리"
"China Automotive Interior Decoration","0048","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
"Victory","1139","홍콩","경기 민감형 소비재","자동차와 트럭 제조"
"G.A. LTD","8126","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
"Furniweb","8480","홍콩","경기 민감형 소비재","의복/액세서리"
"Seamless Green China","8150","홍콩","경기 민감형 소비재","보석 및 은제품"
"Tree Holdings","8395","홍콩","경기 민감형 소비재","가구와 비품"
"Eminence Enterprise","0616","홍콩","경기 민감형 소비재","의복/액세서리"
"Mansion International","8456","홍콩","경기 민감형 소비재","의복/액세서리"
"Miko Intl","1247","홍콩","경기 민감형 소비재","의복/액세서리"
"Time2U Intl","1327","홍콩","경기 민감형 소비재","보석 및 은제품"
"Sling Group","8285","홍콩","경기 민감형 소비재","의복/액세서리"
"Bortex Global","8118","홍콩","경기 민감형 소비재","가구와 비품"
"Wang Tai","1400","홍콩","경기 민감형 소비재","직물 – 비의류"
"My Heart Bodibra","8297","홍콩","경기 민감형 소비재","의복/액세서리"
"Zhejiang Prospect","8273","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
"E Lighting","8222","홍콩","경기 민감형 소비재","가구와 비품"
"Grand Peace Group","8108","홍콩","경기 민감형 소비재","가구와 비품"
"Geely Automobile","0175","홍콩","경기 민감형 소비재","자동차와 트럭 제조"
"Guangzhou Automobile Group","2238","홍콩","경기 민감형 소비재","자동차와 트럭 제조"
"Shenzhou Int","2313","홍콩","경기 민감형 소비재","의복/액세서리"
"Great Wall Motor","2333","홍콩","경기 민감형 소비재","자동차와 트럭 제조"
"ANTA Sports Products","2020","홍콩","경기 민감형 소비재","신발"
"Prada SpA","1913","홍콩","경기 민감형 소비재","의복/액세서리"
"Techtronic Industries","0669","홍콩","경기 민감형 소비재","가전과 공구"
"Brilliance China Automotive","1114","홍콩","경기 민감형 소비재","자동차와 트럭 제조"
"Weichai Power Co","2338","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
"Dongfeng Motor Group","0489","홍콩","경기 민감형 소비재","자동차와 트럭 제조"
"Haier Electronics","1169","홍콩","경기 민감형 소비재","가전과 공구"
"BAIC Motor Corp Ltd","1958","홍콩","경기 민감형 소비재","자동차와 트럭 제조"
"Yue yuen ind","0551","홍콩","경기 민감형 소비재","신발"
"Samsonite International SA","1910","홍콩","경기 민감형 소비재","의복/액세서리"
"Minth Group Ltd","0425","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
"이풍","0494","홍콩","경기 민감형 소비재","의복/액세서리"
"Landing Int Development","0582","홍콩","경기 민감형 소비재","가구와 비품"
"Nexteer Automotive Group Ltd","1316","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
"Sinotruk Hong Kong","3808","홍콩","경기 민감형 소비재","자동차와 트럭 제조"
"HengTen Networks","0136","홍콩","경기 민감형 소비재","사진술"
"Man Wah Holdings","1999","홍콩","경기 민감형 소비재","가구와 비품"
"Crystal International","2232","홍콩","경기 민감형 소비재","의복/액세서리"
"Billion Industrial Holdings","2299","홍콩","경기 민감형 소비재","직물 – 비의류"
"China First Capital","1269","홍콩","경기 민감형 소비재","자동차와 트럭 부품"
