"종목","기호","거래소","부문","산업"
"China Green","0904","홍콩","소비재/ 경기 방어형","식품 가공"
"China Candy Holdings Ltd","8182","홍콩","소비재/ 경기 방어형","식품 가공"
"Asia Pioneer","8400","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"Winning Tower","8362","홍콩","소비재/ 경기 방어형","식품 가공"
"Asia Grocery","8413","홍콩","소비재/ 경기 방어형","식품 가공"
"China Demeter Financial","8120","홍콩","소비재/ 경기 방어형","식품 가공"
"Wealth Glory","8269","홍콩","소비재/ 경기 방어형","식품 가공"
"WH Group Ltd","0288","홍콩","소비재/ 경기 방어형","식품 가공"
"China Mengniu Dairy Co.","2319","홍콩","소비재/ 경기 방어형","식품 가공"
"강사부홀딩스","0322","홍콩","소비재/ 경기 방어형","음료 (비알코올성)"
"Dali Foods Co","3799","홍콩","소비재/ 경기 방어형","식품 가공"
"항안국제","1044","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"왕왕차이나","0151","홍콩","소비재/ 경기 방어형","식품 가공"
"Tsingtao Brewery","0168","홍콩","소비재/ 경기 방어형","음료(알코올성)"
"H&H","1112","홍콩","소비재/ 경기 방어형","식품 가공"
"Uni-President China","0220","홍콩","소비재/ 경기 방어형","음료 (비알코올성)"
"Goldin Financial","0530","홍콩","소비재/ 경기 방어형","음료(알코올성)"
"L’Occitane International","0973","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"Vitasoy International","0345","홍콩","소비재/ 경기 방어형","식품 가공"
"First Pacific Co","0142","홍콩","소비재/ 경기 방어형","식품 가공"
"China Lesso Group","2128","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"China Agri-Industries","0606","홍콩","소비재/ 경기 방어형","곡물"
"Zhou Hei Ya Intl","1458","홍콩","소비재/ 경기 방어형","식품 가공"
"Vinda Int Holdings","3331","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"C.P. Pokphand","0043","홍콩","소비재/ 경기 방어형","식품 가공"
"Imperial Pacific Int","1076","홍콩","소비재/ 경기 방어형","식품 가공"
"Yihai Intl","1579","홍콩","소비재/ 경기 방어형","식품 가공"
"China Foods Ltd","0506","홍콩","소비재/ 경기 방어형","식품 가공"
"Yashili Int Holdings","1230","홍콩","소비재/ 경기 방어형","식품 가공"
"China Modern Dairy","1117","홍콩","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Tibet Water Resources","1115","홍콩","소비재/ 경기 방어형","음료 (비알코올성)"
"Ausnutria Dairy Corp","1717","홍콩","소비재/ 경기 방어형","식품 가공"
"Madison Holdings","8057","홍콩","소비재/ 경기 방어형","음료(알코올성)"
"Sinofert Holdings","0297","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"China Shengmu Organic Milk","1432","홍콩","소비재/ 경기 방어형","식품 가공"
"HC International","2280","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"China Huishan Dairy","6863","홍콩","소비재/ 경기 방어형","식품 가공"
"China Huiyuan Juice","1886","홍콩","소비재/ 경기 방어형","음료 (비알코올성)"
"Leyou Tech","1089","홍콩","소비재/ 경기 방어형","식품 가공"
"COFCO Meat","1610","홍콩","소비재/ 경기 방어형","식품 가공"
"Tenfu Cayman","6868","홍콩","소비재/ 경기 방어형","식품 가공"
"Lanzhou Zhuangyuan Pasture","1533","홍콩","소비재/ 경기 방어형","식품 가공"
"Nissin Foods","1475","홍콩","소비재/ 경기 방어형","식품 가공"
"Lam Soon Hong Kong","0411","홍콩","소비재/ 경기 방어형","식품 가공"
"Tenwow Int","1219","홍콩","소비재/ 경기 방어형","음료(알코올성)"
"New Silkroad Cultura","0472","홍콩","소비재/ 경기 방어형","음료(알코올성)"
"China Mining Resources","0340","홍콩","소비재/ 경기 방어형","식품 가공"
"Lippo China Resources","0156","홍콩","소비재/ 경기 방어형","식품 가공"
"China Hengshi Foundation","1197","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"China U-Ton","6168","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"Changshouhua Food","1006","홍콩","소비재/ 경기 방어형","식품 가공"
"Honworld","2226","홍콩","소비재/ 경기 방어형","식품 가공"
"China Yurun Food","1068","홍콩","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"China Starch Holdings","3838","홍콩","소비재/ 경기 방어형","식품 가공"
"China Flavors Fragrances","3318","홍콩","소비재/ 경기 방어형","식품 가공"
"YuanShengTai Dairy Farm","1431","홍콩","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Silver Base Group Holdings","0886","홍콩","소비재/ 경기 방어형","음료(알코올성)"
"Shenguan Group","0829","홍콩","소비재/ 경기 방어형","식품 가공"
"China Zhongdi Dairy","1492","홍콩","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Yantai North Andre Juice","2218","홍콩","소비재/ 경기 방어형","식품 가공"
"China Greenfresh","6183","홍콩","소비재/ 경기 방어형","곡물"
"Qinqin Foodstuffs","1583","홍콩","소비재/ 경기 방어형","식품 가공"
"Tianyun Intl","6836","홍콩","소비재/ 경기 방어형","식품 가공"
"Four Seas Mercantile","0374","홍콩","소비재/ 경기 방어형","식품 가공"
"Tianyi Summi","0756","홍콩","소비재/ 경기 방어형","식품 가공"
"Natural Beauty Bio-Tech","0157","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"Yorkey Optical Intl Cayman","2788","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"UKF","1468","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"Evergreen Products","1962","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"Heng Tainsumables","0197","홍콩","소비재/ 경기 방어형","곡물"
"Wai Chun Mining Industry","0660","홍콩","소비재/ 경기 방어형","식품 가공"
"Ming Fai Intl","3828","홍콩","소비재/ 경기 방어형","개인과 가계용 제품"
"Golden Resources Development Intl","0677","홍콩","소비재/ 경기 방어형","식품 가공"
