"종목","기호","거래소","부문","산업"
"홍콩중화가스","0003","홍콩","유틸러티","천연가스 유틸러티"
"CLP 홀딩스","0002","홍콩","유틸러티","전기 유틸러티"
"CK Infrastructure","1038","홍콩","유틸러티","전기 유틸러티"
"홍콩전등","0006","홍콩","유틸러티","전기 유틸러티"
"China Gas Holdings","0384","홍콩","유틸러티","천연가스 유틸러티"
"Huaneng Power International","0902","홍콩","유틸러티","전기 유틸러티"
"CGN Power Co Ltd","1816","홍콩","유틸러티","전기 유틸러티"
"Guangdong Investment","0270","홍콩","유틸러티","수도 유틸러티"
"ENN Energy","2688","홍콩","유틸러티","천연가스 유틸러티"
"화윤전력","0836","홍콩","유틸러티","전기 유틸러티"
"중국(홍콩)석유","0135","홍콩","유틸러티","천연가스 유틸러티"
"Datang International Power","0991","홍콩","유틸러티","전기 유틸러티"
"Beijing Enterprises Holdings","0392","홍콩","유틸러티","천연가스 유틸러티"
"China Longyuan Power","0916","홍콩","유틸러티","전기 유틸러티"
"Huadian Power Int","1071","홍콩","유틸러티","전기 유틸러티"
"China Conch Venture","0586","홍콩","유틸러티","전기 유틸러티"
"Beijing Enterprises Water","0371","홍콩","유틸러티","수도 유틸러티"
"Huaneng Renewables","0958","홍콩","유틸러티","전기 유틸러티"
"China Power Int Develop","2380","홍콩","유틸러티","전기 유틸러티"
"Zhongyu Gas","3633","홍콩","유틸러티","천연가스 유틸러티"
"Huadian Fuxin Energy","0816","홍콩","유틸러티","전기 유틸러티"
"Shanghai DaZhong Public Utilities","1635","홍콩","유틸러티","천연가스 유틸러티"
"China Everbright Greentech","1257","홍콩","유틸러티","전기 유틸러티"
"Beijing Jingneng Clean Energy","0579","홍콩","유틸러티","전기 유틸러티"
"China Water Affairs Group Ltd","0855","홍콩","유틸러티","수도 유틸러티"
"Canvest Environmental Protection","1381","홍콩","유틸러티","전기 유틸러티"
"China Suntien Green Energy Corp","0956","홍콩","유틸러티","천연가스 유틸러티"
"Panda Green Energy","0686","홍콩","유틸러티","전기 유틸러티"
"China Datang Corp Renewable Power","1798","홍콩","유틸러티","전기 유틸러티"
"China Tian Lun Gas","1600","홍콩","유틸러티","천연가스 유틸러티"
"China Power Clean Energy","0735","홍콩","유틸러티","전기 유틸러티"
"CGN New Energy","1811","홍콩","유틸러티","전기 유틸러티"
"Sound Global Ltd","0967","홍콩","유틸러티","수도 유틸러티"
"Tianjin Develop","0882","홍콩","유틸러티","전기 유틸러티"
"China Oil and Gas","0603","홍콩","유틸러티","천연가스 유틸러티"
"Kong Sun Holdings Ltd","0295","홍콩","유틸러티","전기 유틸러티"
"Guodian Techn Environment","1296","홍콩","유틸러티","전기 유틸러티"
"Haitian Energy","1659","홍콩","유틸러티","전기 유틸러티"
"Suchuang Gas Corp","1430","홍콩","유틸러티","천연가스 유틸러티"
"Luzhou Xinglu Water","2281","홍콩","유틸러티","수도 유틸러티"
"Tianjin Jinran Public Utilities","1265","홍콩","유틸러티","천연가스 유틸러티"
"China Renewable Energy Investment","0987","홍콩","유틸러티","전기 유틸러티"
"Amber Energy","0090","홍콩","유틸러티","전기 유틸러티"
"China Tech Solar Power","8111","홍콩","유틸러티","전기 유틸러티"
